region_bld,year,pop
C-EEU-ROU,2065,16.453129990881184
C-EEU-ROU,2070,16.200132990985114
C-EEU-ROU,2075,16.0151739910496
C-EEU-ROU,2080,15.900911991072592
C-EEU-ROU,2085,15.854611991054668
C-EEU-ROU,2090,15.869584990999087
C-EEU-ROU,2095,15.931646990913228
C-EEU-ROU,2100,16.018027990809177
C-EEU-SVK,2020,5.457542
C-EEU-SVK,2025,5.514597
C-EEU-SVK,2030,5.502173
C-EEU-SVK,2035,5.476786000000001
C-EEU-SVK,2040,5.447828
C-EEU-SVK,2045,5.421303
C-EEU-SVK,2050,5.4038509999999995
C-EEU-SVK,2055,5.3940969999999995
C-EEU-SVK,2060,5.38777699999999
C-EEU-SVK,2065,5.377889000000001
C-EEU-SVK,2070,5.366643
C-EEU-SVK,2075,5.360295
C-EEU-SVK,2080,5.37047
C-EEU-SVK,2085,5.403296
C-EEU-SVK,2090,5.460411000000001
C-EEU-SVK,2095,5.53909500000001
C-EEU-SVK,2100,5.633189000000001
C-EEU-SVN,2020,2.116256
C-EEU-SVN,2025,2.114548
C-EEU-SVN,2030,2.106397
C-EEU-SVN,2035,2.098262
C-EEU-SVN,2040,2.0935970000000004
C-EEU-SVN,2045,2.090179
C-EEU-SVN,2050,2.0864399999999996
C-EEU-SVN,2055,2.08165
C-EEU-SVN,2060,2.078205
C-EEU-SVN,2065,2.076883
C-EEU-SVN,2070,2.080264
C-EEU-SVN,2075,2.088765
C-EEU-SVN,2080,2.1022130000000003
C-EEU-SVN,2085,2.1204549999999998
C-EEU-SVN,2090,2.143687
C-EEU-SVN,2095,2.171809
C-EEU-SVN,2100,2.203513
C-WEU-AUT,2020,8.901099999999989
C-WEU-AUT,2025,9.01559099999999
C-WEU-AUT,2030,9.060341000000001
C-WEU-AUT,2035,9.099247
C-WEU-AUT,2040,9.1382929999999991
C-WEU-AUT,2045,9.178263000000001
C-WEU-AUT,2050,9.218697
C-WEU-AUT,2055,9.250090000000009
C-WEU-AUT,2060,9.28172
C-WEU-AUT,2065,9.320071
C-WEU-AUT,2070,9.37902799999999
C-WEU-AUT,2075,9.453527000000001
C-WEU-AUT,2080,9.529473000000012
C-WEU-AUT,2085,9.602123000000011
C-WEU-AUT,2090,9.6784770000000009
C-WEU-AUT,2095,9.76664999999999
C-WEU-AUT,2100,9.870338000000011
C-WEU-BEL,2020,11.54127
C-WEU-BEL,2025,11.666831
C-WEU-BEL,2030,11.780733
C-WEU-BEL,2035,11.920937
C-WEU-BEL,2040,12.091674000000001
C-WEU-BEL,2045,12.2685
C-WEU-BEL,2050,12.454535
C-WEU-BEL,2055,12.627585999999999
C-WEU-BEL,2060,12.814701
C-WEU-BEL,2065,13.027719999999999
C-WEU-BEL,2070,13.276731
C-WEU-BEL,2075,13.556524
C-WEU-BEL,2080,13.850335
C-WEU-BEL,2085,14.147429
C-WEU-BEL,2090,14.450279
C-WEU-BEL,2095,14.77014
C-WEU-BEL,2100,15.112760000000002
C-WEU-CHE,2020,8.606425999999999
C-WEU-CHE,2025,8.805604999999991
C-WEU-CHE,2030,8.942232
C-WEU-CHE,2035,9.07092100000001
C-WEU-CHE,2040,9.204874
C-WEU-CHE,2045,9.349769000000009
C-WEU-CHE,2050,9.52094900000001
C-WEU-CHE,2055,9.68670899999999
C-WEU-CHE,2060,9.847863
C-WEU-CHE,2065,10.004413000000001
C-WEU-CHE,2070,10.174762999999999
C-WEU-CHE,2075,10.364031
C-WEU-CHE,2080,10.565919000000001
C-WEU-CHE,2085,10.773921999999999
C-WEU-CHE,2090,10.987016
C-WEU-CHE,2095,11.207052
C-WEU-CHE,2100,11.43438
C-WEU-CYP,2020,1.2337770000000001
C-WEU-CYP,2025,1.276113
C-WEU-CYP,2030,1.299888
C-WEU-CYP,2035,1.320383
C-WEU-CYP,2040,1.3414670000000002
C-WEU-CYP,2045,1.363782
C-WEU-CYP,2050,1.3880439999999998
C-WEU-CYP,2055,1.4092799999999999
C-WEU-CYP,2060,1.426937
C-WEU-CYP,2065,1.4394019999999998
C-WEU-CYP,2070,1.44779
C-WEU-CYP,2075,1.4528600000000003
C-WEU-CYP,2080,1.454559
C-WEU-CYP,2085,1.454127
C-WEU-CYP,2090,1.4543789999999999
C-WEU-CYP,2095,1.458302
C-WEU-CYP,2100,1.466202
C-WEU-DEU,2020,83.26765200000001
C-WEU-DEU,2025,83.451837
C-WEU-DEU,2030,82.879975
C-WEU-DEU,2035,82.38105100000001
C-WEU-DEU,2040,82.016867
C-WEU-DEU,2045,81.711607
C-WEU-DEU,2050,81.4553879999999
C-WEU-DEU,2055,81.25684
C-WEU-DEU,2060,81.18668
C-WEU-DEU,2065,81.270484
C-WEU-DEU,2070,81.5883619999999
C-WEU-DEU,2075,82.07168700000001
C-WEU-DEU,2080,82.59079200000002
C-WEU-DEU,2085,83.11334500000011
C-WEU-DEU,2090,83.72001700000001
C-WEU-DEU,2095,84.477386
C-WEU-DEU,2100,85.370304
C-WEU-DNK,2020,5.810771
C-WEU-DNK,2025,5.8995619999999995
C-WEU-DNK,2030,5.970798
C-WEU-DNK,2035,6.04647
C-WEU-DNK,2040,6.125647
C-WEU-DNK,2045,6.20559
C-WEU-DNK,2050,6.304951
C-WEU-DNK,2055,6.416683
C-WEU-DNK,2060,6.550815
C-WEU-DNK,2065,6.70500899999999
C-WEU-DNK,2070,6.879233
C-WEU-DNK,2075,7.069548
C-WEU-DNK,2080,7.270944000000001
C-WEU-DNK,2085,7.477257
C-WEU-DNK,2090,7.688012
C-WEU-DNK,2095,7.909841
C-WEU-DNK,2100,8.148216
C-WEU-ESP,2020,47.329955037760314
C-WEU-ESP,2025,47.33065403785222
C-WEU-ESP,2030,47.32915303794946
C-WEU-ESP,2035,47.43170103813889
C-WEU-ESP,2040,47.690999038463275
C-WEU-ESP,2045,48.03516703886621
C-WEU-ESP,2050,48.46296003934805
C-WEU-ESP,2055,48.652527039648405
C-WEU-ESP,2060,48.63477203979054
C-WEU-ESP,2065,48.47584003982726
C-WEU-ESP,2070,48.33471903988823
C-WEU-ESP,2075,48.34038204008046
C-WEU-ESP,2080,48.58758604048561
C-WEU-ESP,2085,49.06967404110028
C-WEU-ESP,2090,49.664541041825984
C-WEU-ESP,2095,50.24728304255744
C-WEU-ESP,2100,50.766455043251504
C-WEU-FIN,2020,5.525213
C-WEU-FIN,2025,5.531938
C-WEU-FIN,2030,5.514787999999999
C-WEU-FIN,2035,5.510103
C-WEU-FIN,2040,5.521363
C-WEU-FIN,2045,5.542669
C-WEU-FIN,2050,5.588032
C-WEU-FIN,2055,5.630736
C-WEU-FIN,2060,5.689109
C-WEU-FIN,2065,5.7732920000000005
C-WEU-FIN,2070,5.884585
C-WEU-FIN,2075,6.011225999999999
C-WEU-FIN,2080,6.141648
C-WEU-FIN,2085,6.272702000000001
C-WEU-FIN,2090,6.408663000000001
C-WEU-FIN,2095,6.559233000000001
C-WEU-FIN,2100,6.730555000000002
C-WEU-FRA,2020,64.45775499999999
C-WEU-FRA,2025,65.16687900000001
C-WEU-FRA,2030,66.035931
