REGION_GEA,RegNum,arch,rural,urban
AFR,1,new,0,1
CPA,2,new,2,3
EEU,3,new,4,5
FSU,4,new,6,7
LAC,5,new,8,9
MEA,6,new,10,11
NAM,7,new,12,13
PAO,8,new,14,15
PAS,9,new,16,17
SAS,10,new,18,19
WEU,11,new,20,21
