region_bld,region_gea,sector,scenario,scenario_name,scenario_supply,fuel,type,year,ems_op
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,biomass_solid,direct,2020,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,biomass_solid,direct,2025,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,biomass_solid,direct,2030,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,biomass_solid,direct,2035,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,biomass_solid,direct,2040,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,biomass_solid,direct,2045,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,biomass_solid,direct,2050,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,biomass_solid,direct,2055,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,biomass_solid,direct,2060,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,biomass_solid,direct,2070,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,biomass_solid,direct,2080,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,biomass_solid,direct,2090,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,biomass_solid,direct,2100,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,coal,direct,2020,2.010451705646596
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,coal,direct,2025,1.9953336576568323
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,coal,direct,2030,1.8080940751421588
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,coal,direct,2035,1.6571785387801443
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,coal,direct,2040,1.5203470980692724
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,coal,direct,2045,1.4004112675265095
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,coal,direct,2050,1.2923564037216255
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,coal,direct,2055,1.2331368595206167
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,coal,direct,2060,1.1070337024055628
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,coal,direct,2070,0.8656998117184099
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,coal,direct,2080,0.6733806004724793
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,coal,direct,2090,0.5333958613721775
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,coal,direct,2100,0.4277702307248134
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,district_heat,indirect,2020,0.7915802351400892
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,district_heat,indirect,2025,0.500528707081439
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,district_heat,indirect,2030,0.5849919796994544
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,district_heat,indirect,2035,0.4933382661182641
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,district_heat,indirect,2040,0.5780468946642486
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,district_heat,indirect,2045,0.5847393331857461
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,district_heat,indirect,2050,1.1924265847500959
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,district_heat,indirect,2055,0.9611439413096672
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,district_heat,indirect,2060,0.7259012932109568
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,district_heat,indirect,2070,0.23938044386708346
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,district_heat,indirect,2080,0.09762990571641827
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,district_heat,indirect,2090,0.05751464380898944
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,district_heat,indirect,2100,0.05150825893361035
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,electricity,indirect,2020,0.5237450387990479
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,electricity,indirect,2025,0.7758582185181793
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,electricity,indirect,2030,0.8526095457464462
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,electricity,indirect,2035,0.9139264061818508
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,electricity,indirect,2040,0.8390800973914159
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,electricity,indirect,2045,0.9212129670141609
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,electricity,indirect,2050,1.0012155763807935
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,electricity,indirect,2055,0.9911114621314804
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,electricity,indirect,2060,1.0294868359181535
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,electricity,indirect,2070,1.1373841783923295
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,electricity,indirect,2080,1.1759658831286686
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,electricity,indirect,2090,1.2612798811330943
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,electricity,indirect,2100,1.3040864088720066
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,gas,direct,2020,1.217578687552282
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,gas,direct,2025,1.1429169570496336
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,gas,direct,2030,0.9481799099547078
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,gas,direct,2035,0.7915488110325057
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,gas,direct,2040,0.6637140702106298
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,gas,direct,2045,0.5574179248976053
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,gas,direct,2050,0.4725228318214176
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,gas,direct,2055,0.4216524161721902
