region_bld,region_gea,sector,scenario,scenario_name,scenario_supply,material,type,year,ems_emb
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,aluminum,embodied,2025,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,aluminum,embodied,2030,9.623915998276216e-4
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,aluminum,embodied,2035,5.217847670227002e-4
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,aluminum,embodied,2040,2.1110734197530897e-4
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,aluminum,embodied,2045,7.432705333445134e-5
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,aluminum,embodied,2050,2.5980597200150507e-6
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,aluminum,embodied,2055,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,aluminum,embodied,2060,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,aluminum,embodied,2070,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,aluminum,embodied,2080,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,aluminum,embodied,2090,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,aluminum,embodied,2100,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,brick,embodied,2025,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,brick,embodied,2030,0.01531516698948384
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,brick,embodied,2035,0.008924627930172147
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,brick,embodied,2040,0.003999933055863548
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,brick,embodied,2045,0.0015051194839305348
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,brick,embodied,2050,5.598177620839563e-5
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,brick,embodied,2055,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,brick,embodied,2060,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,brick,embodied,2070,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,brick,embodied,2080,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,brick,embodied,2090,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,brick,embodied,2100,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,concrete,embodied,2025,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,concrete,embodied,2030,0.17967442305200784
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,concrete,embodied,2035,0.10166756090236119
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,concrete,embodied,2040,0.04414772602747584
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,concrete,embodied,2045,0.016096459971287204
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,concrete,embodied,2050,5.817239188346757e-4
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,concrete,embodied,2055,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,concrete,embodied,2060,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,concrete,embodied,2070,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,concrete,embodied,2080,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,concrete,embodied,2090,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,concrete,embodied,2100,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,copper,embodied,2025,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,copper,embodied,2030,1.4754584975578344e-4
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,copper,embodied,2035,8.301910867141484e-5
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,copper,embodied,2040,3.492138368784183e-5
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,copper,embodied,2045,1.2977387624550668e-5
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,copper,embodied,2050,4.769896949772233e-7
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,copper,embodied,2055,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,copper,embodied,2060,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,copper,embodied,2070,0
C-EEU-BGR,EEU,Residential,A_r,Combined R,NPi,copper,embodied,2080,0
