sector,scenario,scenario_name,year,embodied_MtCO2e,operational_MtCO2e,total_MtCO2e
Residential,CP_tp,Climate policy TP,2070,1.3927736581469814,29.933606564836268,31.32638022298325
Residential,CP_tp,Climate policy TP,2080,1.8835612575538208,25.509301246049333,27.392862503603155
Residential,CP_tp,Climate policy TP,2090,2.0432694720020903,22.610698314958253,24.653967786960344
Residential,CP_tp,Climate policy TP,2100,1.9704794802011756,19.880850199439873,21.851329679641047
Residential,C_r,Close R,2020,NA,456.84136301865493,NA
Residential,C_r,Close R,2025,75.26959785297329,425.9519810515878,501.22157890456106
Residential,C_r,Close R,2030,60.69274666038098,397.2937443730008,457.98649103338175
Residential,C_r,Close R,2035,59.44227961569897,364.7174889779972,424.1597685936962
Residential,C_r,Close R,2040,59.67054307351379,326.7619628658525,386.4325059393663
Residential,C_r,Close R,2045,59.9454992762348,305.4128903908873,365.3583896671221
Residential,C_r,Close R,2050,60.33359831128331,307.504479444907,367.83807775619033
Residential,C_r,Close R,2055,56.86476833008449,284.3533325645985,341.21810089468295
Residential,C_r,Close R,2060,54.04011272662765,261.50232833793916,315.5424410645668
Residential,C_r,Close R,2070,52.20378512037276,210.66271347358318,262.86649859395595
Residential,C_r,Close R,2080,53.794881305310724,184.09267242663958,237.8875537319503
Residential,C_r,Close R,2090,52.74512721070849,167.1062072401797,219.8513344508882
Residential,C_r,Close R,2100,47.56890776070796,154.1358145042503,201.70472226495826
Residential,C_tp,Close TP,2020,NA,456.84136301865493,NA
Residential,C_tp,Close TP,2025,75.26959785297329,425.9519810515878,501.22157890456106
Residential,C_tp,Close TP,2030,60.69274666038098,397.2937443730008,457.98649103338175
Residential,C_tp,Close TP,2035,59.44227961569897,364.7174889779972,424.1597685936962
Residential,C_tp,Close TP,2040,59.67054307351379,326.7619628658525,386.4325059393663
Residential,C_tp,Close TP,2045,59.9454992762348,305.4128903908873,365.3583896671221
Residential,C_tp,Close TP,2050,60.33359831128331,307.504479444907,367.83807775619033
Residential,C_tp,Close TP,2055,56.86476833008449,284.3533325645985,341.21810089468295
Residential,C_tp,Close TP,2060,54.04011272662765,261.50232833793916,315.5424410645668
Residential,C_tp,Close TP,2070,52.20378512037276,210.66271347358318,262.86649859395595
Residential,C_tp,Close TP,2080,53.794881305310724,184.09267242663958,237.8875537319503
Residential,C_tp,Close TP,2090,52.74512721070849,167.1062072401797,219.8513344508882
Residential,C_tp,Close TP,2100,47.56890776070796,154.1358145042503,201.70472226495826
Residential,E_r,Efficiency R,2020,NA,456.84136301865493,NA
Residential,E_r,Efficiency R,2025,75.2695914394202,423.25931927888473,498.5289107183049
Residential,E_r,Efficiency R,2030,55.42112503268928,334.9838199798346,390.4049450125239
Residential,E_r,Efficiency R,2035,45.93776658973163,268.9476300754331,314.8853966651647
Residential,E_r,Efficiency R,2040,38.40900901936345,211.53015199970392,249.93916101906737
Residential,E_r,Efficiency R,2045,32.20008087731602,184.3561013495163,216.55618222683233
Residential,E_r,Efficiency R,2050,27.34608442098099,184.69296563077563,212.03905005175662
Residential,E_r,Efficiency R,2055,19.00790046960942,170.99558567447485,190.00348614408426
Residential,E_r,Efficiency R,2060,17.803107080145914,158.40471166299446,176.20781874314036
Residential,E_r,Efficiency R,2070,17.340553620163472,126.13021170745716,143.47076532762063
Residential,E_r,Efficiency R,2080,18.17432831491738,115.96513621708947,134.13946453200685
Residential,E_r,Efficiency R,2090,17.441455120486236,111.81085710910153,129.25231222958777
Residential,E_r,Efficiency R,2100,15.497052512277227,108.23305559809494,123.73010811037216
Residential,E_tp,Efficiency TP,2020,NA,456.84136301865493,NA
Residential,E_tp,Efficiency TP,2025,75.2695914394202,423.25931927888473,498.5289107183049
Residential,E_tp,Efficiency TP,2030,69.26456952803188,314.18215150718686,383.44672103521873
Residential,E_tp,Efficiency TP,2035,45.76715541573166,239.4901214077959,285.25727682352755
Residential,E_tp,Efficiency TP,2040,28.939020644232812,180.90816736692935,209.84718801116216
Residential,E_tp,Efficiency TP,2045,18.17179402282467,154.30213559698277,172.47392961980745
Residential,E_tp,Efficiency TP,2050,12.854127400880646,152.7611271052771,165.61525450615775
Residential,E_tp,Efficiency TP,2055,1.6458441017585435,145.4438744334255,147.08971853518403
Residential,E_tp,Efficiency TP,2060,1.6775171566451668,137.9996667135102,139.67718387015537
Residential,E_tp,Efficiency TP,2070,2.0765322275844342,115.31994759809905,117.39647982568349
Residential,E_tp,Efficiency TP,2080,2.693990197886837,108.53774228705183,111.23173248493866
Residential,E_tp,Efficiency TP,2090,2.7951497458500842,105.69326256753875,108.48841231338884
Residential,E_tp,Efficiency TP,2100,2.6568570126946254,103.09263512878461,105.74949214147924
Residential,N_r,Narrow R,2020,NA,456.84136301865493,NA
Residential,N_r,Narrow R,2025,75.26959785216046,425.9519810515878,501.22157890374825
Residential,N_r,Narrow R,2030,55.42119440073533,381.335800624726,436.7569950254613
Residential,N_r,Narrow R,2035,50.97747616593032,337.26331572315405,388.2407918890844
Residential,N_r,Narrow R,2040,47.56151464333842,292.0816721607297,339.6431868040681
Residential,N_r,Narrow R,2045,44.54786225377937,264.90518406823134,309.4530463220107
Residential,N_r,Narrow R,2050,42.3435488409196,258.27956485175235,300.62311369267195
Residential,N_r,Narrow R,2055,40.15193215205719,241.77855784442465,281.93048999648187
Residential,N_r,Narrow R,2060,38.232634853962566,224.8052471142765,263.03788196823905
Residential,N_r,Narrow R,2070,37.05658586392107,185.47378500562755,222.53037086954862
Residential,N_r,Narrow R,2080,38.198474871976956,164.7803958764837,202.97887074846068
Residential,N_r,Narrow R,2090,37.22082250043317,151.3390269399913,188.55984944042447
Residential,N_r,Narrow R,2100,33.45449118286024,140.85237071930766,174.3068619021679
Residential,N_tp,Narrow TP,2020,NA,456.84136301865493,NA
Residential,N_tp,Narrow TP,2025,75.26959785216046,425.9519810515878,501.22157890374825
Residential,N_tp,Narrow TP,2030,69.26457231690534,356.60433066836606,425.8689029852714
Residential,N_tp,Narrow TP,2035,56.39298786812051,295.8823166908681,352.2753045589886
Residential,N_tp,Narrow TP,2040,44.17386823328639,241.74326462288033,285.91713285616675
Residential,N_tp,Narrow TP,2045,34.31220028699767,208.17543668222123,242.4876369692189
Residential,N_tp,Narrow TP,2050,27.56282847946877,194.62672401854996,222.18955249801874
Residential,N_tp,Narrow TP,2055,15.601499293871372,186.06590306465569,201.66740235852706
Residential,N_tp,Narrow TP,2060,14.657229366102085,176.77716235070912,191.4343917168112
Residential,N_tp,Narrow TP,2070,13.994002049429517,152.94193623963542,166.93593828906495
Residential,N_tp,Narrow TP,2080,14.57974180849582,141.01148394752755,155.59122575602336
Residential,N_tp,Narrow TP,2090,14.62411383884273,133.00738103028309,147.63149486912582
Residential,N_tp,Narrow TP,2100,13.34989482263358,126.00203471829853,139.3519295409321
Residential,R,Reference,2020,NA,456.84136301865493,NA
Residential,R,Reference,2025,75.26959785297329,425.9519810515878,501.22157890456106
Residential,R,Reference,2030,60.69274666038098,397.2937443730008,457.98649103338175
Residential,R,Reference,2035,59.44227961569897,364.7174889779972,424.1597685936962
Residential,R,Reference,2040,59.67054307351379,326.7619628658525,386.4325059393663
Residential,R,Reference,2045,59.9454992762348,305.4128903908873,365.3583896671221
Residential,R,Reference,2050,60.33359831128331,307.504479444907,367.83807775619033
Residential,R,Reference,2055,56.86476833008449,284.3533325645985,341.21810089468295
Residential,R,Reference,2060,54.04011272662765,261.50232833793916,315.5424410645668
Residential,R,Reference,2070,52.20378512037276,210.66271347358318,262.86649859395595
Residential,R,Reference,2080,53.794881305310724,184.09267242663958,237.8875537319503
Residential,R,Reference,2090,52.74512721070849,167.1062072401797,219.8513344508882
Residential,R,Reference,2100,47.56890776070796,154.1358145042503,201.70472226495826
Residential,S_r,Slow R,2020,NA,456.84136301865493,NA
Residential,S_r,Slow R,2025,75.26959785297329,425.9519810515878,501.22157890456106
Residential,S_r,Slow R,2030,60.69274666038098,397.2937443730008,457.98649103338175
Residential,S_r,Slow R,2035,52.526455045745436,365.37597197883747,417.9024270245829
Residential,S_r,Slow R,2040,46.08798047430311,328.58421925188617,374.67219972618926
Residential,S_r,Slow R,2045,40.09987542256574,308.77598337240755,348.8758587949733
Residential,S_r,Slow R,2050,34.80128507741113,312.80798577154184,347.609270848953
Residential,S_r,Slow R,2055,27.116093562271832,291.43289434767354,318.54898790994537
Residential,S_r,Slow R,2060,25.29697893527948,269.83325202450715,295.1302309597866
Residential,S_r,Slow R,2070,24.396372058619797,220.2063365269263,244.60270858554608
Residential,S_r,Slow R,2080,25.62397647096739,194.2438367211735,219.8678131921409
Residential,S_r,Slow R,2090,24.830203324988798,177.35067137028864,202.18087469527742
Residential,S_r,Slow R,2100,22.210599542785705,164.03010244832527,186.24070199111097
Residential,S_tp,Slow TP,2020,NA,456.84136301865493,NA
Residential,S_tp,Slow TP,2025,75.26959785297329,425.9519810515878,501.22157890456106
Residential,S_tp,Slow TP,2030,60.69274666038098,397.2937443730008,457.98649103338175
Residential,S_tp,Slow TP,2035,39.71032905015885,366.4552593808624,406.16558843102126
Residential,S_tp,Slow TP,2040,26.965644997233134,331.2786346643785,358.24427966161164
Residential,S_tp,Slow TP,2045,19.421918960731396,313.16974869880664,332.591667659538
Residential,S_tp,Slow TP,2050,14.65578458586743,318.9144470318219,333.57023161768933
Residential,S_tp,Slow TP,2055,10.170967969233999,298.6156659801175,308.78663394935154
Residential,S_tp,Slow TP,2060,10.068999248421422,277.62898360746874,287.6979828558902
Residential,S_tp,Slow TP,2070,11.350605819276105,228.05507521553903,239.40568103481513
Residential,S_tp,Slow TP,2080,13.404392409846912,201.80444814085263,215.20884055069953
Residential,S_tp,Slow TP,2090,12.98446092808827,184.43719211810674,197.42165304619502
Residential,S_tp,Slow TP,2100,12.18973359294244,170.46616306793445,182.6558966608769
