region_bld,region_gea,sector,scenario,scenario_name,scenario_supply,material,type,year,ems_emb
EEU,EEU,Commercial,A_r,Combined R,NPi,aluminum,embodied,2025,0.6948823289555921
EEU,EEU,Commercial,A_r,Combined R,NPi,aluminum,embodied,2030,0.39569170508785917
EEU,EEU,Commercial,A_r,Combined R,NPi,aluminum,embodied,2035,0.2375217564715612
EEU,EEU,Commercial,A_r,Combined R,NPi,aluminum,embodied,2040,0.13537365836951243
EEU,EEU,Commercial,A_r,Combined R,NPi,aluminum,embodied,2045,0.08272648300495065
EEU,EEU,Commercial,A_r,Combined R,NPi,aluminum,embodied,2050,0.056933912446204646
EEU,EEU,Commercial,A_r,Combined R,NPi,aluminum,embodied,2055,0.03930939794106937
EEU,EEU,Commercial,A_r,Combined R,NPi,aluminum,embodied,2060,0.030142222489243687
EEU,EEU,Commercial,A_r,Combined R,NPi,aluminum,embodied,2070,0.02032956620325741
EEU,EEU,Commercial,A_r,Combined R,NPi,aluminum,embodied,2080,0.012091006112306357
EEU,EEU,Commercial,A_r,Combined R,NPi,aluminum,embodied,2090,0.007654968069332315
EEU,EEU,Commercial,A_r,Combined R,NPi,aluminum,embodied,2100,0.007604080870372697
EEU,EEU,Commercial,A_r,Combined R,NPi,brick,embodied,2025,6.083356514810285
EEU,EEU,Commercial,A_r,Combined R,NPi,brick,embodied,2030,3.634768380405352
EEU,EEU,Commercial,A_r,Combined R,NPi,brick,embodied,2035,2.3487764899095396
EEU,EEU,Commercial,A_r,Combined R,NPi,brick,embodied,2040,1.4858520505974981
EEU,EEU,Commercial,A_r,Combined R,NPi,brick,embodied,2045,0.9720769927611974
EEU,EEU,Commercial,A_r,Combined R,NPi,brick,embodied,2050,0.7123907223176795
EEU,EEU,Commercial,A_r,Combined R,NPi,brick,embodied,2055,0.5308216048451425
EEU,EEU,Commercial,A_r,Combined R,NPi,brick,embodied,2060,0.45453557243614234
EEU,EEU,Commercial,A_r,Combined R,NPi,brick,embodied,2070,0.36926417161828934
EEU,EEU,Commercial,A_r,Combined R,NPi,brick,embodied,2080,0.3332283921993405
EEU,EEU,Commercial,A_r,Combined R,NPi,brick,embodied,2090,0.40135500798303364
EEU,EEU,Commercial,A_r,Combined R,NPi,brick,embodied,2100,0.4025727187939622
EEU,EEU,Commercial,A_r,Combined R,NPi,concrete,embodied,2025,138.89654788089945
EEU,EEU,Commercial,A_r,Combined R,NPi,concrete,embodied,2030,81.64308434720002
EEU,EEU,Commercial,A_r,Combined R,NPi,concrete,embodied,2035,51.13302833554303
EEU,EEU,Commercial,A_r,Combined R,NPi,concrete,embodied,2040,31.267598534506703
EEU,EEU,Commercial,A_r,Combined R,NPi,concrete,embodied,2045,19.781058656574515
EEU,EEU,Commercial,A_r,Combined R,NPi,concrete,embodied,2050,14.073504805032238
EEU,EEU,Commercial,A_r,Combined R,NPi,concrete,embodied,2055,10.465131268446616
EEU,EEU,Commercial,A_r,Combined R,NPi,concrete,embodied,2060,8.942337378512038
EEU,EEU,Commercial,A_r,Combined R,NPi,concrete,embodied,2070,7.252685462341318
EEU,EEU,Commercial,A_r,Combined R,NPi,concrete,embodied,2080,6.530891556055103
EEU,EEU,Commercial,A_r,Combined R,NPi,concrete,embodied,2090,7.848991804103141
EEU,EEU,Commercial,A_r,Combined R,NPi,concrete,embodied,2100,7.907589080911757
EEU,EEU,Commercial,A_r,Combined R,NPi,copper,embodied,2025,0.10481002592230222
EEU,EEU,Commercial,A_r,Combined R,NPi,copper,embodied,2030,0.06066415051727405
EEU,EEU,Commercial,A_r,Combined R,NPi,copper,embodied,2035,0.03779114638561306
EEU,EEU,Commercial,A_r,Combined R,NPi,copper,embodied,2040,0.0223935151705973
EEU,EEU,Commercial,A_r,Combined R,NPi,copper,embodied,2045,0.01444391494897906
EEU,EEU,Commercial,A_r,Combined R,NPi,copper,embodied,2050,0.010452758003352491
EEU,EEU,Commercial,A_r,Combined R,NPi,copper,embodied,2055,0.0074636054248950106
EEU,EEU,Commercial,A_r,Combined R,NPi,copper,embodied,2060,0.006060071497147686
EEU,EEU,Commercial,A_r,Combined R,NPi,copper,embodied,2070,0.0046006540819364785
EEU,EEU,Commercial,A_r,Combined R,NPi,copper,embodied,2080,0.003754533890088718
EEU,EEU,Commercial,A_r,Combined R,NPi,copper,embodied,2090,0.003713728931368249
EEU,EEU,Commercial,A_r,Combined R,NPi,copper,embodied,2100,0.003438097481796717
EEU,EEU,Commercial,A_r,Combined R,NPi,glass,embodied,2025,0.46096808196748307
EEU,EEU,Commercial,A_r,Combined R,NPi,glass,embodied,2030,0.27173309514435545
EEU,EEU,Commercial,A_r,Combined R,NPi,glass,embodied,2035,0.17096217335312355
EEU,EEU,Commercial,A_r,Combined R,NPi,glass,embodied,2040,0.10498479075819356
EEU,EEU,Commercial,A_r,Combined R,NPi,glass,embodied,2045,0.06674978046955628
EEU,EEU,Commercial,A_r,Combined R,NPi,glass,embodied,2050,0.0478275643178516
EEU,EEU,Commercial,A_r,Combined R,NPi,glass,embodied,2055,0.0356120168142809
EEU,EEU,Commercial,A_r,Combined R,NPi,glass,embodied,2060,0.030471615080063817
EEU,EEU,Commercial,A_r,Combined R,NPi,glass,embodied,2070,0.024750828706826603
EEU,EEU,Commercial,A_r,Combined R,NPi,glass,embodied,2080,0.022310130493058838
EEU,EEU,Commercial,A_r,Combined R,NPi,glass,embodied,2090,0.026840425546767435
EEU,EEU,Commercial,A_r,Combined R,NPi,glass,embodied,2100,0.027033653873315678
EEU,EEU,Commercial,A_r,Combined R,NPi,steel,embodied,2025,8.07095919962046
EEU,EEU,Commercial,A_r,Combined R,NPi,steel,embodied,2030,4.842494147339822
EEU,EEU,Commercial,A_r,Combined R,NPi,steel,embodied,2035,3.151569109377428
EEU,EEU,Commercial,A_r,Combined R,NPi,steel,embodied,2040,2.032794263992861
EEU,EEU,Commercial,A_r,Combined R,NPi,steel,embodied,2045,1.3659532646204877
EEU,EEU,Commercial,A_r,Combined R,NPi,steel,embodied,2050,1.0444926900437588
EEU,EEU,Commercial,A_r,Combined R,NPi,steel,embodied,2055,0.8082969481529494
EEU,EEU,Commercial,A_r,Combined R,NPi,steel,embodied,2060,0.7252697853343041
EEU,EEU,Commercial,A_r,Combined R,NPi,steel,embodied,2070,0.6103809917400164
EEU,EEU,Commercial,A_r,Combined R,NPi,steel,embodied,2080,0.5709159297455755
EEU,EEU,Commercial,A_r,Combined R,NPi,steel,embodied,2090,0.6774585144687969
EEU,EEU,Commercial,A_r,Combined R,NPi,steel,embodied,2100,0.6703877839562854
EEU,EEU,Commercial,A_r,Combined R,NPi,wood,embodied,2025,0.5362425384535588
EEU,EEU,Commercial,A_r,Combined R,NPi,wood,embodied,2030,0.33164506770955854
EEU,EEU,Commercial,A_r,Combined R,NPi,wood,embodied,2035,0.2338978996201451
