sector,scenario,scenario_name,year,operational_MtCO2e
Commercial,R,Reference,2035,763.5979475954105
Commercial,R,Reference,2040,673.6646697914678
Commercial,R,Reference,2045,627.7266580220751
Commercial,R,Reference,2050,618.4597665099395
Commercial,R,Reference,2055,574.1527690350102
Commercial,R,Reference,2060,532.0259376132009
Commercial,R,Reference,2070,429.85581269122287
Commercial,R,Reference,2080,372.8916015070547
Commercial,R,Reference,2090,332.34422645099687
Commercial,R,Reference,2100,298.2503256677296
Commercial,S_r,Slow R,2020,899.0160490980055
Commercial,S_r,Slow R,2025,866.6481834528458
Commercial,S_r,Slow R,2030,824.2585196358714
Commercial,S_r,Slow R,2035,765.2562132444913
Commercial,S_r,Slow R,2040,677.9710091635794
Commercial,S_r,Slow R,2045,635.0994425574039
Commercial,S_r,Slow R,2050,628.914688594645
Commercial,S_r,Slow R,2055,587.4266850783258
Commercial,S_r,Slow R,2060,546.9847128640166
Commercial,S_r,Slow R,2070,445.46428242939226
Commercial,S_r,Slow R,2080,386.77091961327295
Commercial,S_r,Slow R,2090,343.35732537911633
Commercial,S_r,Slow R,2100,306.22667485281215
Commercial,S_tp,Slow TP,2020,899.0160490980055
Commercial,S_tp,Slow TP,2025,866.6481834528458
Commercial,S_tp,Slow TP,2030,824.2585196358714
Commercial,S_tp,Slow TP,2035,766.8111145573624
Commercial,S_tp,Slow TP,2040,681.8979788179798
Commercial,S_tp,Slow TP,2045,641.7049637489772
Commercial,S_tp,Slow TP,2050,638.2343835945932
Commercial,S_tp,Slow TP,2055,599.2375722350117
Commercial,S_tp,Slow TP,2060,560.616171311859
Commercial,S_tp,Slow TP,2070,460.879056120501
Commercial,S_tp,Slow TP,2080,402.15545786460416
Commercial,S_tp,Slow TP,2090,357.51151122261314
Commercial,S_tp,Slow TP,2100,318.49094933306816
