region_bld,region_gea,sector,scenario,scenario_name,scenario_supply,fuel,type,year,ems_op
EEU,EEU,Commercial,A_r,Combined R,NPi,biomass_solid,direct,2020,0
EEU,EEU,Commercial,A_r,Combined R,NPi,biomass_solid,direct,2025,0
EEU,EEU,Commercial,A_r,Combined R,NPi,biomass_solid,direct,2030,0
EEU,EEU,Commercial,A_r,Combined R,NPi,biomass_solid,direct,2035,0
EEU,EEU,Commercial,A_r,Combined R,NPi,biomass_solid,direct,2040,0
EEU,EEU,Commercial,A_r,Combined R,NPi,biomass_solid,direct,2045,0
EEU,EEU,Commercial,A_r,Combined R,NPi,biomass_solid,direct,2050,0
EEU,EEU,Commercial,A_r,Combined R,NPi,biomass_solid,direct,2055,0
EEU,EEU,Commercial,A_r,Combined R,NPi,biomass_solid,direct,2060,0
EEU,EEU,Commercial,A_r,Combined R,NPi,biomass_solid,direct,2070,0
EEU,EEU,Commercial,A_r,Combined R,NPi,biomass_solid,direct,2080,0
EEU,EEU,Commercial,A_r,Combined R,NPi,biomass_solid,direct,2090,0
EEU,EEU,Commercial,A_r,Combined R,NPi,biomass_solid,direct,2100,0
EEU,EEU,Commercial,A_r,Combined R,NPi,coal,direct,2020,56.03911232504033
EEU,EEU,Commercial,A_r,Combined R,NPi,coal,direct,2025,50.6221652482943
EEU,EEU,Commercial,A_r,Combined R,NPi,coal,direct,2030,44.52466542912477
EEU,EEU,Commercial,A_r,Combined R,NPi,coal,direct,2035,39.25374951382295
EEU,EEU,Commercial,A_r,Combined R,NPi,coal,direct,2040,34.686207987004885
EEU,EEU,Commercial,A_r,Combined R,NPi,coal,direct,2045,30.719584614694895
EEU,EEU,Commercial,A_r,Combined R,NPi,coal,direct,2050,27.267535244371935
EEU,EEU,Commercial,A_r,Combined R,NPi,coal,direct,2055,24.254996497360146
EEU,EEU,Commercial,A_r,Combined R,NPi,coal,direct,2060,21.598158184853933
EEU,EEU,Commercial,A_r,Combined R,NPi,coal,direct,2070,17.08108548286709
EEU,EEU,Commercial,A_r,Combined R,NPi,coal,direct,2080,13.657794419062506
EEU,EEU,Commercial,A_r,Combined R,NPi,coal,direct,2090,11.023415236729878
EEU,EEU,Commercial,A_r,Combined R,NPi,coal,direct,2100,8.967348022018156
EEU,EEU,Commercial,A_r,Combined R,NPi,district_heat,indirect,2020,10.623597405072484
EEU,EEU,Commercial,A_r,Combined R,NPi,district_heat,indirect,2025,6.8945011713681295
EEU,EEU,Commercial,A_r,Combined R,NPi,district_heat,indirect,2030,8.554408266090302
EEU,EEU,Commercial,A_r,Combined R,NPi,district_heat,indirect,2035,7.512803554175544
EEU,EEU,Commercial,A_r,Combined R,NPi,district_heat,indirect,2040,9.067632731748946
EEU,EEU,Commercial,A_r,Combined R,NPi,district_heat,indirect,2045,9.402934381478488
EEU,EEU,Commercial,A_r,Combined R,NPi,district_heat,indirect,2050,19.61204926861166
EEU,EEU,Commercial,A_r,Combined R,NPi,district_heat,indirect,2055,15.274757323711007
EEU,EEU,Commercial,A_r,Combined R,NPi,district_heat,indirect,2060,11.18076814485057
EEU,EEU,Commercial,A_r,Combined R,NPi,district_heat,indirect,2070,3.4959925709969455
EEU,EEU,Commercial,A_r,Combined R,NPi,district_heat,indirect,2080,1.3692362281809254
EEU,EEU,Commercial,A_r,Combined R,NPi,district_heat,indirect,2090,0.7742944420997391
EEU,EEU,Commercial,A_r,Combined R,NPi,district_heat,indirect,2100,0.6655495935723373
EEU,EEU,Commercial,A_r,Combined R,NPi,electricity,indirect,2020,23.649605095371683
EEU,EEU,Commercial,A_r,Combined R,NPi,electricity,indirect,2025,41.035098837849034
EEU,EEU,Commercial,A_r,Combined R,NPi,electricity,indirect,2030,47.845193739684056
EEU,EEU,Commercial,A_r,Combined R,NPi,electricity,indirect,2035,52.54727760809258
EEU,EEU,Commercial,A_r,Combined R,NPi,electricity,indirect,2040,48.290714178375815
EEU,EEU,Commercial,A_r,Combined R,NPi,electricity,indirect,2045,53.0461716681578
EEU,EEU,Commercial,A_r,Combined R,NPi,electricity,indirect,2050,56.904992386401965
EEU,EEU,Commercial,A_r,Combined R,NPi,electricity,indirect,2055,53.09341489382259
EEU,EEU,Commercial,A_r,Combined R,NPi,electricity,indirect,2060,50.25975666969958
EEU,EEU,Commercial,A_r,Combined R,NPi,electricity,indirect,2070,47.60040176833112
EEU,EEU,Commercial,A_r,Combined R,NPi,electricity,indirect,2080,43.772901276605694
EEU,EEU,Commercial,A_r,Combined R,NPi,electricity,indirect,2090,43.03853298723876
EEU,EEU,Commercial,A_r,Combined R,NPi,electricity,indirect,2100,41.9726698615457
EEU,EEU,Commercial,A_r,Combined R,NPi,gas,direct,2020,37.92082402962148
EEU,EEU,Commercial,A_r,Combined R,NPi,gas,direct,2025,34.25525745745337
EEU,EEU,Commercial,A_r,Combined R,NPi,gas,direct,2030,30.129171085506623
EEU,EEU,Commercial,A_r,Combined R,NPi,gas,direct,2035,26.56242160278713
EEU,EEU,Commercial,A_r,Combined R,NPi,gas,direct,2040,23.471634984312722
EEU,EEU,Commercial,A_r,Combined R,NPi,gas,direct,2045,20.787480638321554
EEU,EEU,Commercial,A_r,Combined R,NPi,gas,direct,2050,18.451530776118286
EEU,EEU,Commercial,A_r,Combined R,NPi,gas,direct,2055,16.412991138924227
EEU,EEU,Commercial,A_r,Combined R,NPi,gas,direct,2060,14.615148633146841
EEU,EEU,Commercial,A_r,Combined R,NPi,gas,direct,2070,11.558513508955224
EEU,EEU,Commercial,A_r,Combined R,NPi,gas,direct,2080,9.242023960011407
EEU,EEU,Commercial,A_r,Combined R,NPi,gas,direct,2090,7.45937920963266
EEU,EEU,Commercial,A_r,Combined R,NPi,gas,direct,2100,6.06806946527174
EEU,EEU,Commercial,A_r,Combined R,NPi,oil,direct,2020,6.267112009829767
EEU,EEU,Commercial,A_r,Combined R,NPi,oil,direct,2025,5.6613098716836365
EEU,EEU,Commercial,A_r,Combined R,NPi,oil,direct,2030,4.9793983861121145
EEU,EEU,Commercial,A_r,Combined R,NPi,oil,direct,2035,4.389927585133296
EEU,EEU,Commercial,A_r,Combined R,NPi,oil,direct,2040,3.8791183812497287
EEU,EEU,Commercial,A_r,Combined R,NPi,oil,direct,2045,3.435512621978839
EEU,EEU,Commercial,A_r,Combined R,NPi,oil,direct,2050,3.0494540431170853
EEU,EEU,Commercial,A_r,Combined R,NPi,oil,direct,2055,2.712547961326568
EEU,EEU,Commercial,A_r,Combined R,NPi,oil,direct,2060,2.415421497208392
EEU,EEU,Commercial,A_r,Combined R,NPi,oil,direct,2070,1.9102564542716278
EEU,EEU,Commercial,A_r,Combined R,NPi,oil,direct,2080,1.52741404912613
EEU,EEU,Commercial,A_r,Combined R,NPi,oil,direct,2090,1.2327992928728562
EEU,EEU,Commercial,A_r,Combined R,NPi,oil,direct,2100,1.0028598272810296
EEU,EEU,Commercial,A_tp,Combined TP,NPi,biomass_solid,direct,2020,0
EEU,EEU,Commercial,A_tp,Combined TP,NPi,biomass_solid,direct,2025,0
EEU,EEU,Commercial,A_tp,Combined TP,NPi,biomass_solid,direct,2030,0
EEU,EEU,Commercial,A_tp,Combined TP,NPi,biomass_solid,direct,2035,0
EEU,EEU,Commercial,A_tp,Combined TP,NPi,biomass_solid,direct,2040,0
EEU,EEU,Commercial,A_tp,Combined TP,NPi,biomass_solid,direct,2045,0
EEU,EEU,Commercial,A_tp,Combined TP,NPi,biomass_solid,direct,2050,0
EEU,EEU,Commercial,A_tp,Combined TP,NPi,biomass_solid,direct,2055,0
EEU,EEU,Commercial,A_tp,Combined TP,NPi,biomass_solid,direct,2060,0
EEU,EEU,Commercial,A_tp,Combined TP,NPi,biomass_solid,direct,2070,0
EEU,EEU,Commercial,A_tp,Combined TP,NPi,biomass_solid,direct,2080,0
EEU,EEU,Commercial,A_tp,Combined TP,NPi,biomass_solid,direct,2090,0
EEU,EEU,Commercial,A_tp,Combined TP,NPi,biomass_solid,direct,2100,0
EEU,EEU,Commercial,A_tp,Combined TP,NPi,coal,direct,2020,56.03911232504033
EEU,EEU,Commercial,A_tp,Combined TP,NPi,coal,direct,2025,50.6221652482943
EEU,EEU,Commercial,A_tp,Combined TP,NPi,coal,direct,2030,44.52466542912477
EEU,EEU,Commercial,A_tp,Combined TP,NPi,coal,direct,2035,39.32221076131027
EEU,EEU,Commercial,A_tp,Combined TP,NPi,coal,direct,2040,34.851422513823024
EEU,EEU,Commercial,A_tp,Combined TP,NPi,coal,direct,2045,30.985197718479096
EEU,EEU,Commercial,A_tp,Combined TP,NPi,coal,direct,2050,27.608625956185918
EEU,EEU,Commercial,A_tp,Combined TP,NPi,coal,direct,2055,24.635091208931026
EEU,EEU,Commercial,A_tp,Combined TP,NPi,coal,direct,2060,21.973400814136323
EEU,EEU,Commercial,A_tp,Combined TP,NPi,coal,direct,2070,17.358815444887718
EEU,EEU,Commercial,A_tp,Combined TP,NPi,coal,direct,2080,13.817885782238777
EEU,EEU,Commercial,A_tp,Combined TP,NPi,coal,direct,2090,11.099346222590949
EEU,EEU,Commercial,A_tp,Combined TP,NPi,coal,direct,2100,8.98477367811552
EEU,EEU,Commercial,A_tp,Combined TP,NPi,district_heat,indirect,2020,10.623597405072484
EEU,EEU,Commercial,A_tp,Combined TP,NPi,district_heat,indirect,2025,6.8945011713681295
EEU,EEU,Commercial,A_tp,Combined TP,NPi,district_heat,indirect,2030,8.394862781615107
EEU,EEU,Commercial,A_tp,Combined TP,NPi,district_heat,indirect,2035,7.287780207319436
EEU,EEU,Commercial,A_tp,Combined TP,NPi,district_heat,indirect,2040,8.735738096302528
EEU,EEU,Commercial,A_tp,Combined TP,NPi,district_heat,indirect,2045,9.022107185698976
EEU,EEU,Commercial,A_tp,Combined TP,NPi,district_heat,indirect,2050,18.770314000075775
EEU,EEU,Commercial,A_tp,Combined TP,NPi,district_heat,indirect,2055,14.59485112468664
EEU,EEU,Commercial,A_tp,Combined TP,NPi,district_heat,indirect,2060,10.666265173255468
EEU,EEU,Commercial,A_tp,Combined TP,NPi,district_heat,indirect,2070,3.32443512135794
EEU,EEU,Commercial,A_tp,Combined TP,NPi,district_heat,indirect,2080,1.298418997869183
EEU,EEU,Commercial,A_tp,Combined TP,NPi,district_heat,indirect,2090,0.732260100385341
EEU,EEU,Commercial,A_tp,Combined TP,NPi,district_heat,indirect,2100,0.6278980415621301
EEU,EEU,Commercial,A_tp,Combined TP,NPi,electricity,indirect,2020,23.649605095371683
EEU,EEU,Commercial,A_tp,Combined TP,NPi,electricity,indirect,2025,41.035098837849034
EEU,EEU,Commercial,A_tp,Combined TP,NPi,electricity,indirect,2030,46.327350082269035
EEU,EEU,Commercial,A_tp,Combined TP,NPi,electricity,indirect,2035,50.054349102597214
