region_bld,urt,arch,mat,year,value
C-EEU-CZE,rur,sfh,perm,2040,45.20254586
C-EEU-CZE,rur,sfh,perm,2045,46.0475524
C-EEU-CZE,rur,sfh,perm,2050,46.87408911
C-EEU-CZE,rur,sfh,perm,2055,47.68019206
C-EEU-CZE,rur,sfh,perm,2060,48.46406764
C-EEU-CZE,rur,sfh,perm,2065,49.22419149
C-EEU-CZE,rur,sfh,perm,2070,49.95921641
C-EEU-CZE,rur,sfh,perm,2075,50.66804314
C-EEU-CZE,rur,sfh,perm,2080,51.34983633
C-EEU-CZE,rur,sfh,perm,2085,52.00394458
C-EEU-CZE,rur,sfh,perm,2090,52.62998397
C-EEU-CZE,rur,sfh,perm,2095,53.22773001
C-EEU-CZE,rur,sfh,perm,2100,53.79721441
C-EEU-CZE,urb,mfh,perm,2015,22.93805886
C-EEU-CZE,urb,mfh,perm,2020,23.44585185
C-EEU-CZE,urb,mfh,perm,2025,23.94990671
C-EEU-CZE,urb,mfh,perm,2030,24.44881997
C-EEU-CZE,urb,mfh,perm,2035,24.94119986
C-EEU-CZE,urb,mfh,perm,2040,25.42568531
C-EEU-CZE,urb,mfh,perm,2045,25.90098753
C-EEU-CZE,urb,mfh,perm,2050,26.36590078
C-EEU-CZE,urb,mfh,perm,2055,26.81932037
C-EEU-CZE,urb,mfh,perm,2060,27.26023743
C-EEU-CZE,urb,mfh,perm,2065,27.68779454
C-EEU-CZE,urb,mfh,perm,2070,28.10123392
C-EEU-CZE,urb,mfh,perm,2075,28.49993724
C-EEU-CZE,urb,mfh,perm,2080,28.88343465
C-EEU-CZE,urb,mfh,perm,2085,29.25135973
C-EEU-CZE,urb,mfh,perm,2090,29.60349655
C-EEU-CZE,urb,mfh,perm,2095,29.93971882
C-EEU-CZE,urb,mfh,perm,2100,30.26004439
C-EEU-CZE,urb,sfh,perm,2015,40.07032945
C-EEU-CZE,urb,sfh,perm,2020,40.95738936
C-EEU-CZE,urb,sfh,perm,2025,41.83791916
C-EEU-CZE,urb,sfh,perm,2030,42.70946714
C-EEU-CZE,urb,sfh,perm,2035,43.56960201
C-EEU-CZE,urb,sfh,perm,2040,44.41594615
C-EEU-CZE,urb,sfh,perm,2045,45.24624817
C-EEU-CZE,urb,sfh,perm,2050,46.05840176
C-EEU-CZE,urb,sfh,perm,2055,46.85047717
C-EEU-CZE,urb,sfh,perm,2060,47.62071201
C-EEU-CZE,urb,sfh,perm,2065,48.36760843
C-EEU-CZE,urb,sfh,perm,2070,49.0898427
C-EEU-CZE,urb,sfh,perm,2075,49.78633466
C-EEU-CZE,urb,sfh,perm,2080,50.4562635
C-EEU-CZE,urb,sfh,perm,2085,51.09898918
C-EEU-CZE,urb,sfh,perm,2090,51.71413444
C-EEU-CZE,urb,sfh,perm,2095,52.3014787
C-EEU-CZE,urb,sfh,perm,2100,52.86105312
C-EEU-EST,rur,mfh,perm,2015,19.02845945
C-EEU-EST,rur,mfh,perm,2020,19.74419101
C-EEU-EST,rur,mfh,perm,2025,20.45584113
C-EEU-EST,rur,mfh,perm,2030,21.16118749
C-EEU-EST,rur,mfh,perm,2035,21.85807227
C-EEU-EST,rur,mfh,perm,2040,22.54439054
C-EEU-EST,rur,mfh,perm,2045,23.21817335
C-EEU-EST,rur,mfh,perm,2050,23.87756652
C-EEU-EST,rur,mfh,perm,2055,24.52088061
C-EEU-EST,rur,mfh,perm,2060,25.14660063
C-EEU-EST,rur,mfh,perm,2065,25.75339532
C-EEU-EST,rur,mfh,perm,2070,26.34014221
C-EEU-EST,rur,mfh,perm,2075,26.90591247
C-EEU-EST,rur,mfh,perm,2080,27.44997162
C-EEU-EST,rur,mfh,perm,2085,27.97178006
C-EEU-EST,rur,mfh,perm,2090,28.47099353
C-EEU-EST,rur,mfh,perm,2095,28.94743957
C-EEU-EST,rur,mfh,perm,2100,29.40110182
C-EEU-EST,rur,sfh,perm,2015,31.81093308
C-EEU-EST,rur,sfh,perm,2020,33.00746131
C-EEU-EST,rur,sfh,perm,2025,34.19716637
C-EEU-EST,rur,sfh,perm,2030,35.37633308
C-EEU-EST,rur,sfh,perm,2035,36.54135408
C-EEU-EST,rur,sfh,perm,2040,37.68871049
C-EEU-EST,rur,sfh,perm,2045,38.81511065
C-EEU-EST,rur,sfh,perm,2050,39.91745485
C-EEU-EST,rur,sfh,perm,2055,40.99291877
C-EEU-EST,rur,sfh,perm,2060,42.03896969
C-EEU-EST,rur,sfh,perm,2065,43.0533821
C-EEU-EST,rur,sfh,perm,2070,44.03427948
C-EEU-EST,rur,sfh,perm,2075,44.98010907
C-EEU-EST,rur,sfh,perm,2080,45.88964298
C-EEU-EST,rur,sfh,perm,2085,46.76197914
C-EEU-EST,rur,sfh,perm,2090,47.59654205
C-EEU-EST,rur,sfh,perm,2095,48.39304337
C-EEU-EST,rur,sfh,perm,2100,49.15145576
C-EEU-EST,urb,mfh,perm,2015,17.89312435
C-EEU-EST,urb,mfh,perm,2020,18.56615171
C-EEU-EST,urb,mfh,perm,2025,19.23534115
C-EEU-EST,urb,mfh,perm,2030,19.89860295
C-EEU-EST,urb,mfh,perm,2035,20.55390802
C-EEU-EST,urb,mfh,perm,2040,21.19927704
C-EEU-EST,urb,mfh,perm,2045,21.83285852
C-EEU-EST,urb,mfh,perm,2050,22.45290893
C-EEU-EST,urb,mfh,perm,2055,23.05783961
C-EEU-EST,urb,mfh,perm,2060,23.64622597
C-EEU-EST,urb,mfh,perm,2065,24.2168162
C-EEU-EST,urb,mfh,perm,2070,24.76855477
C-EEU-EST,urb,mfh,perm,2075,25.30056829
C-EEU-EST,urb,mfh,perm,2080,25.81216609
C-EEU-EST,urb,mfh,perm,2085,26.30284077
C-EEU-EST,urb,mfh,perm,2090,26.77226862
C-EEU-EST,urb,mfh,perm,2095,27.22028745
C-EEU-EST,urb,mfh,perm,2100,27.64688189
C-EEU-EST,urb,sfh,perm,2015,31.25736978
C-EEU-EST,urb,sfh,perm,2020,32.43307641
C-EEU-EST,urb,sfh,perm,2025,33.60207862
C-EEU-EST,urb,sfh,perm,2030,34.76072586
C-EEU-EST,urb,sfh,perm,2035,35.90547356
C-EEU-EST,urb,sfh,perm,2040,37.03286404
C-EEU-EST,urb,sfh,perm,2045,38.13966297
C-EEU-EST,urb,sfh,perm,2050,39.22282454
C-EEU-EST,urb,sfh,perm,2055,40.27957359
C-EEU-EST,urb,sfh,perm,2060,41.30742148
C-EEU-EST,urb,sfh,perm,2065,42.30418142
C-EEU-EST,urb,sfh,perm,2070,43.26800955
C-EEU-EST,urb,sfh,perm,2075,44.19738012
C-EEU-EST,urb,sfh,perm,2080,45.09108663
C-EEU-EST,urb,sfh,perm,2085,45.94824268
C-EEU-EST,urb,sfh,perm,2090,46.7682828
C-EEU-EST,urb,sfh,perm,2095,47.55092367
C-EEU-EST,urb,sfh,perm,2100,48.29613843
C-EEU-HUN,rur,mfh,perm,2015,24.8961273
C-EEU-HUN,rur,mfh,perm,2020,25.3844818
C-EEU-HUN,rur,mfh,perm,2025,25.86275203
C-EEU-HUN,rur,mfh,perm,2030,26.33129567
C-EEU-HUN,rur,mfh,perm,2035,26.79005054
C-EEU-HUN,rur,mfh,perm,2040,27.23870199
C-EEU-HUN,rur,mfh,perm,2045,27.67676754
C-EEU-HUN,rur,mfh,perm,2050,28.10365743
C-EEU-HUN,rur,mfh,perm,2055,28.51875858
C-EEU-HUN,rur,mfh,perm,2060,28.92145922
C-EEU-HUN,rur,mfh,perm,2065,29.31119721
C-EEU-HUN,rur,mfh,perm,2070,29.68747066
C-EEU-HUN,rur,mfh,perm,2075,30.0498441
C-EEU-HUN,rur,mfh,perm,2080,30.39798344
C-EEU-HUN,rur,mfh,perm,2085,30.73164861
C-EEU-HUN,rur,mfh,perm,2090,31.05070034
C-EEU-HUN,rur,mfh,perm,2095,31.35507362
C-EEU-HUN,rur,mfh,perm,2100,31.64480584
C-EEU-HUN,rur,sfh,perm,2015,41.62023951
C-EEU-HUN,rur,sfh,perm,2020,42.43664887
C-EEU-HUN,rur,sfh,perm,2025,43.23619979
C-EEU-HUN,rur,sfh,perm,2030,44.01949023
C-EEU-HUN,rur,sfh,perm,2035,44.78641623
C-EEU-HUN,rur,sfh,perm,2040,45.5364518
C-EEU-HUN,rur,sfh,perm,2045,46.26879032
C-EEU-HUN,rur,sfh,perm,2050,46.98244587
C-EEU-HUN,rur,sfh,perm,2055,47.67639353
C-EEU-HUN,rur,sfh,perm,2060,48.34961056
C-EEU-HUN,rur,sfh,perm,2065,49.00115724
C-EEU-HUN,rur,sfh,perm,2070,49.63019446
C-EEU-HUN,rur,sfh,perm,2075,50.23599428
C-EEU-HUN,rur,sfh,perm,2080,50.81799816
C-EEU-HUN,rur,sfh,perm,2085,51.37580478
C-EEU-HUN,rur,sfh,perm,2090,51.90918128
C-EEU-HUN,rur,sfh,perm,2095,52.418019
C-EEU-HUN,rur,sfh,perm,2100,52.90238045
C-EEU-HUN,urb,mfh,perm,2015,23.41069717
C-EEU-HUN,urb,mfh,perm,2020,23.86991394
C-EEU-HUN,urb,mfh,perm,2025,24.31964813
C-EEU-HUN,urb,mfh,perm,2030,24.76023606
C-EEU-HUN,urb,mfh,perm,2035,25.19161927
C-EEU-HUN,urb,mfh,perm,2040,25.61350189
C-EEU-HUN,urb,mfh,perm,2045,26.0254302
C-EEU-HUN,urb,mfh,perm,2050,26.42684966
C-EEU-HUN,urb,mfh,perm,2055,26.81718376
C-EEU-HUN,urb,mfh,perm,2060,27.19585722
C-EEU-HUN,urb,mfh,perm,2065,27.56234146
C-EEU-HUN,urb,mfh,perm,2070,27.91616451
C-EEU-HUN,urb,mfh,perm,2075,28.2569169
C-EEU-HUN,urb,mfh,perm,2080,28.58428446
C-EEU-HUN,urb,mfh,perm,2085,28.89804147
C-EEU-HUN,urb,mfh,perm,2090,29.19805694
C-EEU-HUN,urb,mfh,perm,2095,29.48426975
C-EEU-HUN,urb,mfh,perm,2100,29.75671507
C-EEU-HUN,urb,sfh,perm,2015,40.89597791
C-EEU-HUN,urb,sfh,perm,2020,41.69818038
C-EEU-HUN,urb,sfh,perm,2025,42.48381778
C-EEU-HUN,urb,sfh,perm,2030,43.25347765
C-EEU-HUN,urb,sfh,perm,2035,44.00705787
C-EEU-HUN,urb,sfh,perm,2040,44.74404157
C-EEU-HUN,urb,sfh,perm,2045,45.46363617
C-EEU-HUN,urb,sfh,perm,2050,46.16487293
C-EEU-HUN,urb,sfh,perm,2055,46.84674474
C-EEU-HUN,urb,sfh,perm,2060,47.50824667
C-EEU-HUN,urb,sfh,perm,2065,48.14845535
C-EEU-HUN,urb,sfh,perm,2070,48.76654628
C-EEU-HUN,urb,sfh,perm,2075,49.36180417
C-EEU-HUN,urb,sfh,perm,2080,49.93368021
C-EEU-HUN,urb,sfh,perm,2085,50.48178006
C-EEU-HUN,urb,sfh,perm,2090,51.00587492
C-EEU-HUN,urb,sfh,perm,2095,51.50585802
