region_bld,bld_age,value
C-WEU-AUT,p1,1.129279929
C-WEU-BEL,p1,0.702215951
C-EEU-BGR,p1,0.757651103
C-WEU-CYP,p1,1.882977866
C-EEU-CZE,p1,1.790129927
C-WEU-DNK,p1,0.926407178
C-EEU-EST,p1,0.5
C-WEU-FIN,p1,0.6
C-WEU-FRA,p1,1.914627228
C-WEU-DEU,p1,1.13609434
C-WEU-GRC,p1,2.486428814
C-EEU-HUN,p1,0.991096792
C-WEU-IRL,p1,1.540078056
C-WEU-ITA,p1,1.345851759
C-EEU-LVA,p1,0.9
C-EEU-LTU,p1,0.8
C-WEU-LUX,p1,1.8
C-WEU-MLT,p1,3
C-WEU-NLD,p1,2.017862924
C-EEU-POL,p1,2.010051618
C-WEU-PRT,p1,2.1
C-EEU-ROU,p1,1.6
C-EEU-SVK,p1,2
C-EEU-SVN,p1,1.117957533
C-WEU-ESP,p1,1.272484547
C-WEU-SWE,p1,0.298403401
C-WEU-GBR,p1,0.557083462
C-WEU-AUT,p2,1.000870506
C-WEU-BEL,p2,1.283239755
C-EEU-BGR,p2,1.350323495
C-WEU-CYP,p2,1.240919743
C-EEU-CZE,p2,0.996236101
C-WEU-DNK,p2,0.45607718
C-EEU-EST,p2,0.30713615
C-WEU-FIN,p2,0.408418453
C-WEU-FRA,p2,1.132922012
C-WEU-DEU,p2,0.910942567
C-WEU-GRC,p2,2.378613252
C-EEU-HUN,p2,0.772908144
C-WEU-IRL,p2,1.250025205
C-WEU-ITA,p2,1.090436001
C-EEU-LVA,p2,0.672256098
C-EEU-LTU,p2,0.518396226
C-WEU-LUX,p2,0.920992761
C-WEU-MLT,p2,2.308
C-WEU-NLD,p2,1.85367648
C-EEU-POL,p2,1.417027603
C-WEU-PRT,p2,2.026685487
C-EEU-ROU,p2,1.311934725
C-EEU-SVK,p2,1.625176104
C-EEU-SVN,p2,0.984588636
C-WEU-ESP,p2,1.112005046
C-WEU-SWE,p2,0.282014286
C-WEU-GBR,p2,0.430010762
C-WEU-AUT,p3,0.325035919
C-WEU-BEL,p3,0.436976864
C-EEU-BGR,p3,0.993992971
C-WEU-CYP,p3,0.897022179
C-EEU-CZE,p3,0.454527752
C-WEU-DNK,p3,0.202834026
C-EEU-EST,p3,0.207530516
C-WEU-FIN,p3,0.173981217
C-WEU-FRA,p3,0.329266287
C-WEU-DEU,p3,0.365497635
C-WEU-GRC,p3,1.551566878
C-EEU-HUN,p3,0.357515701
C-WEU-IRL,p3,0.566948185
C-WEU-ITA,p3,0.546962958
C-EEU-LVA,p3,0.371603774
C-EEU-LTU,p3,0.239280303
C-WEU-LUX,p3,0.442116631
C-WEU-MLT,p3,2.037935909
C-WEU-NLD,p3,0.337853195
C-EEU-POL,p3,0.652832257
C-WEU-PRT,p3,1.667509837
C-EEU-ROU,p3,0.796781892
C-EEU-SVK,p3,1.244934599
C-EEU-SVN,p3,0.23571134
C-WEU-ESP,p3,0.920636562
C-WEU-SWE,p3,0.223566764
C-WEU-GBR,p3,0.266135413
C-WEU-AUT,p5,0.370186
C-WEU-BEL,p5,0.21
C-EEU-BGR,p5,0.52
C-WEU-CYP,p5,0.876052706
C-EEU-CZE,p5,0.335542312
C-WEU-DNK,p5,0.07308607
C-EEU-EST,p5,0.2
C-WEU-FIN,p5,0.1
C-WEU-FRA,p5,0.203090433
C-WEU-DEU,p5,0.28213105
C-WEU-GRC,p5,0.684616631
C-EEU-HUN,p5,0.312524482
C-WEU-IRL,p5,0.312378704
C-WEU-ITA,p5,0.303686531
C-EEU-LVA,p5,0.15
C-EEU-LTU,p5,0.6
C-WEU-LUX,p5,0.37
C-WEU-MLT,p5,0.37
C-WEU-NLD,p5,0.269623494
C-EEU-POL,p5,0.446358792
C-WEU-PRT,p5,0.62
C-EEU-ROU,p5,0.22
C-EEU-SVK,p5,0.4
C-EEU-SVN,p5,0.289704641
C-WEU-ESP,p5,0.739988592
C-WEU-SWE,p5,0.15
C-WEU-GBR,p5,0.21
C-WEU-HRV,p1,1.1
C-WEU-HRV,p2,0.8
C-WEU-HRV,p3,0.2
C-WEU-HRV,p5,0.3
