region_bld,bld_age,value
C-WEU-AUT,p1,1.411810714
C-WEU-BEL,p1,2.050404742
C-EEU-BGR,p1,1.365632013
C-WEU-CYP,p1,1.39
C-EEU-CZE,p1,1.312270753
C-WEU-DNK,p1,1.146869708
C-EEU-EST,p1,0.5
C-WEU-FIN,p1,0.6
C-WEU-FRA,p1,1.613144581
C-WEU-DEU,p1,1.819249594
C-WEU-GRC,p1,2.375420661
C-EEU-HUN,p1,0.96698108
C-WEU-IRL,p1,2.014194067
C-WEU-ITA,p1,1.28688446
C-EEU-LVA,p1,1.039488636
C-EEU-LTU,p1,1
C-WEU-LUX,p1,1.6
C-WEU-MLT,p1,2
C-WEU-NLD,p1,1.886829308
C-EEU-POL,p1,1.716097545
C-WEU-PRT,p1,2
C-EEU-ROU,p1,1.9
C-EEU-SVK,p1,1.5
C-EEU-SVN,p1,1.799696663
C-WEU-ESP,p1,3.277675069
C-WEU-SWE,p1,0.593241259
C-WEU-GBR,p1,2.092163907
C-WEU-AUT,p2,1.260128992
C-WEU-BEL,p2,1.477333434
C-EEU-BGR,p2,1.177344914
C-WEU-CYP,p2,0.977429034
C-EEU-CZE,p2,1.255774039
C-WEU-DNK,p2,0.585073033
C-EEU-EST,p2,0.30713615
C-WEU-FIN,p2,0.408418453
C-WEU-FRA,p2,1.423045312
C-WEU-DEU,p2,1.045541686
C-WEU-GRC,p2,1.393416027
C-EEU-HUN,p2,1.359270729
C-WEU-IRL,p2,1.439530273
C-WEU-ITA,p2,1.113373809
C-EEU-LVA,p2,0.954275068
C-EEU-LTU,p2,0.55990566
C-WEU-LUX,p2,0.888262668
C-WEU-MLT,p2,1.65270073
C-WEU-NLD,p2,1.311723174
C-EEU-POL,p2,1.210677663
C-WEU-PRT,p2,1.446115844
C-EEU-ROU,p2,1.587557414
C-EEU-SVK,p2,1.042982931
C-EEU-SVN,p2,1.054427317
C-WEU-ESP,p2,1.462381039
C-WEU-SWE,p2,0.390356835
C-WEU-GBR,p2,1.27645528
C-WEU-AUT,p3,0.306711384
C-WEU-BEL,p3,0.542627372
C-EEU-BGR,p3,0.534002867
C-WEU-CYP,p3,0.757192868
C-EEU-CZE,p3,0.356737197
C-WEU-DNK,p3,0.307063342
C-EEU-EST,p3,0.207530516
C-WEU-FIN,p3,0.223981217
C-WEU-FRA,p3,0.3236254
C-WEU-DEU,p3,0.372057333
C-WEU-GRC,p3,0.79355099
C-EEU-HUN,p3,0.409986043
C-WEU-IRL,p3,0.36088499
C-WEU-ITA,p3,0.525522434
C-EEU-LVA,p3,0.906778302
C-EEU-LTU,p3,0.239280303
C-WEU-LUX,p3,0.442116631
C-WEU-MLT,p3,1.518967954
C-WEU-NLD,p3,0.320889649
C-EEU-POL,p3,0.230603016
C-WEU-PRT,p3,1.010005621
C-EEU-ROU,p3,1.091571172
C-EEU-SVK,p3,0.57348038
C-EEU-SVN,p3,0.279840206
C-WEU-ESP,p3,0.535520551
C-WEU-SWE,p3,0.206437925
C-WEU-GBR,p3,0.389627814
C-WEU-AUT,p5,0.3423605
C-WEU-BEL,p5,0.23
C-EEU-BGR,p5,0.409443549
C-WEU-CYP,p5,0.730848682
C-EEU-CZE,p5,0.315160906
C-WEU-DNK,p5,0.189034205
C-EEU-EST,p5,0.2
C-WEU-FIN,p5,0.13
C-WEU-FRA,p5,0.192351466
C-WEU-DEU,p5,0.245819558
C-WEU-GRC,p5,0.483212743
C-EEU-HUN,p5,0.22
C-WEU-IRL,p5,0.210911018
C-WEU-ITA,p5,0.34
C-EEU-LVA,p5,0.82192283
C-EEU-LTU,p5,0.78
C-WEU-LUX,p5,0.34
C-WEU-MLT,p5,0.34
C-WEU-NLD,p5,0.21
C-EEU-POL,p5,0.186672291
C-WEU-PRT,p5,0.54
C-EEU-ROU,p5,0.67
C-EEU-SVK,p5,0.32
C-EEU-SVN,p5,0.206638537
C-WEU-ESP,p5,0.489340239
C-WEU-SWE,p5,0.18
C-WEU-GBR,p5,0.28
C-WEU-HRV,p1,1.8
C-WEU-HRV,p2,1.0
C-WEU-HRV,p3,0.3
C-WEU-HRV,p5,0.2
