region_bld,bld_age,value
C-WEU-AUT,p1,2.005651707
C-WEU-BEL,p1,5
C-EEU-BGR,p1,4.911677183
C-WEU-CYP,p1,6.1
C-EEU-CZE,p1,2.7
C-WEU-DNK,p1,2.69122541
C-EEU-EST,p1,1.7
C-WEU-FIN,p1,2.2
C-WEU-FRA,p1,4.048660392
C-WEU-DEU,p1,2.798987241
C-WEU-GRC,p1,4.172478688
C-EEU-HUN,p1,3.5
C-WEU-IRL,p1,4.745677627
C-WEU-ITA,p1,4.971501723
C-EEU-LVA,p1,2.7
C-EEU-LTU,p1,2.2
C-WEU-LUX,p1,4.5
C-WEU-MLT,p1,5.8
C-WEU-NLD,p1,3.992725196
C-EEU-POL,p1,4.855522467
C-WEU-PRT,p1,4.3
C-EEU-ROU,p1,2.6
C-EEU-SVK,p1,3.7
C-EEU-SVN,p1,2.338321537
C-WEU-ESP,p1,4.954646101
C-WEU-SWE,p1,2.509542075
C-WEU-GBR,p1,4.8
C-WEU-AUT,p2,2.439252955
C-WEU-BEL,p2,4.321452822
C-EEU-BGR,p2,3.43855111
C-WEU-CYP,p2,4.244530326
C-EEU-CZE,p2,2.585491732
C-WEU-DNK,p2,2.537862875
C-EEU-EST,p2,1.318609155
C-WEU-FIN,p2,1.896228886
C-WEU-FRA,p2,3.372551865
C-WEU-DEU,p2,2.721568944
C-WEU-GRC,p2,4.647210875
C-EEU-HUN,p2,2.406687523
C-WEU-IRL,p2,4.897312721
C-WEU-ITA,p2,4.028013191
C-EEU-LVA,p2,2.549254743
C-EEU-LTU,p2,1.853773585
C-WEU-LUX,p2,3.069493278
C-WEU-MLT,p2,2.762554744
C-WEU-NLD,p2,2.563120671
C-EEU-POL,p2,3.246617133
C-WEU-PRT,p2,3.572586581
C-EEU-ROU,p2,2.47295082
C-EEU-SVK,p2,3.334949878
C-EEU-SVN,p2,2.604850332
C-WEU-ESP,p2,4.617943823
C-WEU-SWE,p2,2.132589596
C-WEU-GBR,p2,4.04493202
C-WEU-AUT,p3,1.313789887
C-WEU-BEL,p3,2.691046951
C-EEU-BGR,p3,1.842892454
C-WEU-CYP,p3,3.242871347
C-EEU-CZE,p3,1.655587243
C-WEU-DNK,p3,1.849432061
C-EEU-EST,p3,1.120122066
C-WEU-FIN,p3,1.547962434
C-WEU-FRA,p3,2.019500758
C-WEU-DEU,p3,1.616766214
C-WEU-GRC,p3,4.309393592
C-EEU-HUN,p3,1.857117934
C-WEU-IRL,p3,2.502638192
C-WEU-ITA,p3,2.747875973
C-EEU-LVA,p3,1.967075472
C-EEU-LTU,p3,1.624550189
C-WEU-LUX,p3,1.426349892
C-WEU-MLT,p3,1.61851712
C-WEU-NLD,p3,1.948312825
C-EEU-POL,p3,1.451510619
C-WEU-PRT,p3,2.927251265
C-EEU-ROU,p3,1.878927929
C-EEU-SVK,p3,2.146960759
C-EEU-SVN,p3,1.053092784
C-WEU-ESP,p3,3.480883175
C-WEU-SWE,p3,1.888264845
C-WEU-GBR,p3,2.244670399
C-WEU-AUT,p5,1.038324033
C-WEU-BEL,p5,1.7
C-EEU-BGR,p5,0.95519771
C-WEU-CYP,p5,3.122565348
C-EEU-CZE,p5,1.2
C-WEU-DNK,p5,1.530010907
C-EEU-EST,p5,1.1
C-WEU-FIN,p5,1.38
C-WEU-FRA,p5,1.4
C-WEU-DEU,p5,1.2
C-WEU-GRC,p5,2.9
C-EEU-HUN,p5,1.5
C-WEU-IRL,p5,1.302733053
C-WEU-ITA,p5,2.2
C-EEU-LVA,p5,1.3
C-EEU-LTU,p5,2.37
C-WEU-LUX,p5,1.4
C-WEU-MLT,p5,1.4
C-WEU-NLD,p5,1.8
C-EEU-POL,p5,1.277309059
C-WEU-PRT,p5,2.8
C-EEU-ROU,p5,1.3
C-EEU-SVK,p5,1.7
C-EEU-SVN,p5,0.730323488
C-WEU-ESP,p5,3.232322262
C-WEU-SWE,p5,1.3
C-WEU-GBR,p5,1.85
C-WEU-HRV,p1,2.4
C-WEU-HRV,p2,2.5
C-WEU-HRV,p3,1.1
C-WEU-HRV,p5,0.8
