hh_group,year,h_cog
universal,2020,0.5064954
g1,2020,0.5496156
g2,2020,0.5524096
g3,2020,0.4661172
g4,2020,0.5487888
universal,2025,0.5295105
g1,2025,0.569197
g2,2025,0.5738613
g3,2025,0.4695559
g4,2025,0.5575962
universal,2030,0.5525256
g1,2030,0.5887783
g2,2030,0.595313
g3,2030,0.4729946
g4,2030,0.5664037
universal,2035,0.5755407
g1,2035,0.6083596
g2,2035,0.6167647
g3,2035,0.4764333
g4,2035,0.5752111
universal,2040,0.5985557
g1,2040,0.6279409
g2,2040,0.6382165
g3,2040,0.4798719
g4,2040,0.5840186
universal,2045,0.6215708
g1,2045,0.6475222
g2,2045,0.6596682
g3,2045,0.4833106
g4,2045,0.592826
universal,2050,0.6445859
g1,2050,0.6671035
g2,2050,0.6811199
g3,2050,0.4867493
g4,2050,0.6016334
