s_int_mod,beh_I_diff
-2,0.7221959074987457
-0.5,0.16512213013358143
-0.2,0.06379040196255505
-0.1,0.03236428102360252
-0.05,0.018154213729985665
0,0
0.05,-0.01403882095669322
0.1,-0.0283926679044817
0.2,-0.055068509151769085
0.5,-0.12112868921114055
1,-0.1999784163827077
2,-0.29143239243155306
5,-0.42171774606365636
