hh_group,year,f_cog_I
universal,2020,0.4352651
g1,2020,0.5999181
g2,2020,0.4454267
g3,2020,0.1341125
g4,2020,0.2103316
universal,2025,0.4352651
g1,2025,0.5999181
g2,2025,0.4454267
g3,2025,0.1341125
g4,2025,0.2103316
universal,2030,0.4352651
g1,2030,0.5999181
g2,2030,0.4454267
g3,2030,0.1341125
g4,2030,0.2103316
universal,2035,0.4352651
g1,2035,0.5999181
g2,2035,0.4454267
g3,2035,0.1341125
g4,2035,0.2103316
universal,2040,0.4352651
g1,2040,0.5999181
g2,2040,0.4454267
g3,2040,0.1341125
g4,2040,0.2103316
universal,2045,0.4352651
g1,2045,0.5999181
g2,2045,0.4454267
g3,2045,0.1341125
g4,2045,0.2103316
universal,2050,0.4352651
g1,2050,0.5999181
g2,2050,0.4454267
g3,2050,0.1341125
g4,2050,0.2103316
