hh_group,year,h_prop
universal,2020,0.1510649
g1,2020,0.1015172
g2,2020,0.1451734
g3,2020,0.295767
g4,2020,0.2201065
universal,2025,0.2207073
g1,2025,0.197504
g2,2025,0.2164416
g3,2025,0.317225
g4,2025,0.2537596
universal,2030,0.2903497
g1,2030,0.2934909
g2,2030,0.2877099
g3,2030,0.338683
g4,2030,0.2874126
universal,2035,0.3599921
g1,2035,0.3894778
g2,2035,0.3589782
g3,2035,0.360141
g4,2035,0.3210657
universal,2040,0.4296345
g1,2040,0.4854647
g2,2040,0.4302464
g3,2040,0.381599
g4,2040,0.3547187
universal,2045,0.499277
g1,2045,0.5814516
g2,2045,0.5015147
g3,2045,0.403057
g4,2045,0.3883718
universal,2050,0.5689194
g1,2050,0.6774385
g2,2050,0.572783
g3,2050,0.424515
g4,2050,0.4220249
