eneff,region_gea,fuel_heat,year,value
adv,AFR,biomass_solid,2015,0.2
adv,AFR,biomass_solid,2020,0.2
adv,AFR,biomass_solid,2025,0.2
adv,AFR,biomass_solid,2030,0.2
adv,AFR,biomass_solid,2035,0.2
adv,AFR,biomass_solid,2040,0.2
adv,AFR,biomass_solid,2045,0.2
adv,AFR,biomass_solid,2050,0.2
adv,AFR,biomass_solid,2055,0.2
adv,AFR,biomass_solid,2060,0.2
adv,AFR,biomass_solid,2065,0.2
adv,AFR,biomass_solid,2070,0.2
adv,AFR,biomass_solid,2075,0.2
adv,AFR,biomass_solid,2080,0.2
adv,AFR,biomass_solid,2085,0.2
adv,AFR,biomass_solid,2090,0.2
adv,AFR,biomass_solid,2095,0.2
adv,AFR,biomass_solid,2100,0.2
adv,AFR,coal,2015,0.5
adv,AFR,coal,2020,0.5
adv,AFR,coal,2025,0.5
adv,AFR,coal,2030,0.5
adv,AFR,coal,2035,0.5
adv,AFR,coal,2040,0.5
adv,AFR,coal,2045,0.5
adv,AFR,coal,2050,0.5
adv,AFR,coal,2055,0.5
adv,AFR,coal,2060,0.5
adv,AFR,coal,2065,0.5
adv,AFR,coal,2070,0.5
adv,AFR,coal,2075,0.5
adv,AFR,coal,2080,0.5
adv,AFR,coal,2085,0.5
adv,AFR,coal,2090,0.5
adv,AFR,coal,2095,0.5
adv,AFR,coal,2100,0.5
adv,AFR,district_heat,2015,0.98
adv,AFR,district_heat,2020,0.98
adv,AFR,district_heat,2025,0.98
adv,AFR,district_heat,2030,0.98
adv,AFR,district_heat,2035,0.98
adv,AFR,district_heat,2040,0.98
adv,AFR,district_heat,2045,0.98
adv,AFR,district_heat,2050,0.98
adv,AFR,district_heat,2055,0.98
adv,AFR,district_heat,2060,0.98
adv,AFR,district_heat,2065,0.98
adv,AFR,district_heat,2070,0.98
adv,AFR,district_heat,2075,0.98
adv,AFR,district_heat,2080,0.98
adv,AFR,district_heat,2085,0.98
adv,AFR,district_heat,2090,0.98
adv,AFR,district_heat,2095,0.98
adv,AFR,district_heat,2100,0.98
adv,AFR,electricity,2015,0.97
adv,AFR,electricity,2020,0.97
adv,AFR,electricity,2025,0.97
adv,AFR,electricity,2030,0.97
adv,AFR,electricity,2035,0.97
adv,AFR,electricity,2040,0.97
adv,AFR,electricity,2045,0.97
adv,AFR,electricity,2050,0.97
adv,AFR,electricity,2055,0.97
adv,AFR,electricity,2060,0.97
adv,AFR,electricity,2065,0.97
adv,AFR,electricity,2070,0.97
adv,AFR,electricity,2075,0.97
adv,AFR,electricity,2080,0.97
adv,AFR,electricity,2085,0.97
adv,AFR,electricity,2090,0.97
adv,AFR,electricity,2095,0.97
adv,AFR,electricity,2100,0.97
adv,AFR,gas,2015,0.9
adv,AFR,gas,2020,0.9
adv,AFR,gas,2025,0.9
adv,AFR,gas,2030,0.9
adv,AFR,gas,2035,0.9
adv,AFR,gas,2040,0.9
adv,AFR,gas,2045,0.9
adv,AFR,gas,2050,0.9
adv,AFR,gas,2055,0.9
adv,AFR,gas,2060,0.9
adv,AFR,gas,2065,0.9
adv,AFR,gas,2070,0.9
adv,AFR,gas,2075,0.9
adv,AFR,gas,2080,0.9
adv,AFR,gas,2085,0.9
adv,AFR,gas,2090,0.9
adv,AFR,gas,2095,0.9
adv,AFR,gas,2100,0.9
adv,AFR,heat_pump,2015,0.97
adv,AFR,heat_pump,2020,0.97
adv,AFR,heat_pump,2025,0.97
adv,AFR,heat_pump,2030,0.97
adv,AFR,heat_pump,2035,0.97
adv,AFR,heat_pump,2040,0.97
adv,AFR,heat_pump,2045,0.97
adv,AFR,heat_pump,2050,0.97
adv,AFR,heat_pump,2055,0.97
adv,AFR,heat_pump,2060,0.97
adv,AFR,heat_pump,2065,0.97
adv,AFR,heat_pump,2070,0.97
adv,AFR,heat_pump,2075,0.97
adv,AFR,heat_pump,2080,0.97
adv,AFR,heat_pump,2085,0.97
adv,AFR,heat_pump,2090,0.97
adv,AFR,heat_pump,2095,0.97
adv,AFR,heat_pump,2100,0.97
adv,AFR,oil,2015,0.6
adv,AFR,oil,2020,0.6
adv,AFR,oil,2025,0.6
adv,AFR,oil,2030,0.6
adv,AFR,oil,2035,0.6
adv,AFR,oil,2040,0.6
adv,AFR,oil,2045,0.6
adv,AFR,oil,2050,0.6
adv,AFR,oil,2055,0.6
adv,AFR,oil,2060,0.6
adv,AFR,oil,2065,0.6
adv,AFR,oil,2070,0.6
adv,AFR,oil,2075,0.6
adv,AFR,oil,2080,0.6
adv,AFR,oil,2085,0.6
adv,AFR,oil,2090,0.6
adv,AFR,oil,2095,0.6
adv,AFR,oil,2100,0.6
adv,CPA,biomass_solid,2015,0.2
adv,CPA,biomass_solid,2020,0.2
adv,CPA,biomass_solid,2025,0.2
adv,CPA,biomass_solid,2030,0.2
adv,CPA,biomass_solid,2035,0.2
adv,CPA,biomass_solid,2040,0.2
adv,CPA,biomass_solid,2045,0.2
adv,CPA,biomass_solid,2050,0.2
adv,CPA,biomass_solid,2055,0.2
adv,CPA,biomass_solid,2060,0.2
adv,CPA,biomass_solid,2065,0.2
adv,CPA,biomass_solid,2070,0.2
adv,CPA,biomass_solid,2075,0.2
adv,CPA,biomass_solid,2080,0.2
adv,CPA,biomass_solid,2085,0.2
adv,CPA,biomass_solid,2090,0.2
adv,CPA,biomass_solid,2095,0.2
adv,CPA,biomass_solid,2100,0.2
adv,CPA,coal,2015,0.5
adv,CPA,coal,2020,0.5
adv,CPA,coal,2025,0.5
adv,CPA,coal,2030,0.5
adv,CPA,coal,2035,0.5
adv,CPA,coal,2040,0.5
adv,CPA,coal,2045,0.5
adv,CPA,coal,2050,0.5
adv,CPA,coal,2055,0.5
adv,CPA,coal,2060,0.5
adv,CPA,coal,2065,0.5
adv,CPA,coal,2070,0.5
adv,CPA,coal,2075,0.5
adv,CPA,coal,2080,0.5
adv,CPA,coal,2085,0.5
adv,CPA,coal,2090,0.5
adv,CPA,coal,2095,0.5
adv,CPA,coal,2100,0.5
adv,CPA,district_heat,2015,0.98
adv,CPA,district_heat,2020,0.98
adv,CPA,district_heat,2025,0.98
adv,CPA,district_heat,2030,0.98
adv,CPA,district_heat,2035,0.98
adv,CPA,district_heat,2040,0.98
adv,CPA,district_heat,2045,0.98
adv,CPA,district_heat,2050,0.98
adv,CPA,district_heat,2055,0.98
adv,CPA,district_heat,2060,0.98
adv,CPA,district_heat,2065,0.98
adv,CPA,district_heat,2070,0.98
adv,CPA,district_heat,2075,0.98
adv,CPA,district_heat,2080,0.98
adv,CPA,district_heat,2085,0.98
adv,CPA,district_heat,2090,0.98
adv,CPA,district_heat,2095,0.98
adv,CPA,district_heat,2100,0.98
adv,CPA,electricity,2015,0.97
adv,CPA,electricity,2020,0.97
adv,CPA,electricity,2025,0.97
adv,CPA,electricity,2030,0.97
adv,CPA,electricity,2035,0.97
adv,CPA,electricity,2040,0.97
adv,CPA,electricity,2045,0.97
adv,CPA,electricity,2050,0.97
adv,CPA,electricity,2055,0.97
adv,CPA,electricity,2060,0.97
adv,CPA,electricity,2065,0.97
adv,CPA,electricity,2070,0.97
adv,CPA,electricity,2075,0.97
adv,CPA,electricity,2080,0.97
adv,CPA,electricity,2085,0.97
adv,CPA,electricity,2090,0.97
adv,CPA,electricity,2095,0.97
adv,CPA,electricity,2100,0.97
adv,CPA,gas,2015,0.9
adv,CPA,gas,2020,0.9
adv,CPA,gas,2025,0.9
adv,CPA,gas,2030,0.9
adv,CPA,gas,2035,0.9
adv,CPA,gas,2040,0.9
adv,CPA,gas,2045,0.9
adv,CPA,gas,2050,0.9
adv,CPA,gas,2055,0.9
adv,CPA,gas,2060,0.9
adv,CPA,gas,2065,0.9
adv,CPA,gas,2070,0.9
adv,CPA,gas,2075,0.9
adv,CPA,gas,2080,0.9
adv,CPA,gas,2085,0.9
adv,CPA,gas,2090,0.9
adv,CPA,gas,2095,0.9
adv,CPA,gas,2100,0.9
adv,CPA,heat_pump,2015,0.97
adv,CPA,heat_pump,2020,0.97
adv,CPA,heat_pump,2025,0.97
adv,CPA,heat_pump,2030,0.97
adv,CPA,heat_pump,2035,0.97
adv,CPA,heat_pump,2040,0.97
adv,CPA,heat_pump,2045,0.97
adv,CPA,heat_pump,2050,0.97
adv,CPA,heat_pump,2055,0.97
adv,CPA,heat_pump,2060,0.97
adv,CPA,heat_pump,2065,0.97
adv,CPA,heat_pump,2070,0.97
adv,CPA,heat_pump,2075,0.97
adv,CPA,heat_pump,2080,0.97
adv,CPA,heat_pump,2085,0.97
adv,CPA,heat_pump,2090,0.97
adv,CPA,heat_pump,2095,0.97
adv,CPA,heat_pump,2100,0.97
adv,CPA,oil,2015,0.6
adv,CPA,oil,2020,0.6
adv,CPA,oil,2025,0.6
adv,CPA,oil,2030,0.6
adv,CPA,oil,2035,0.6
adv,CPA,oil,2040,0.6
adv,CPA,oil,2045,0.6
adv,CPA,oil,2050,0.6
adv,CPA,oil,2055,0.6
adv,CPA,oil,2060,0.6
adv,CPA,oil,2065,0.6
adv,CPA,oil,2070,0.6
adv,CPA,oil,2075,0.6
adv,CPA,oil,2080,0.6
adv,CPA,oil,2085,0.6
adv,CPA,oil,2090,0.6
adv,CPA,oil,2095,0.6
adv,CPA,oil,2100,0.6
adv,EEU,biomass_solid,2015,0.85
adv,EEU,biomass_solid,2020,0.85
adv,EEU,biomass_solid,2025,0.85
