region_gea,ssp,fuel_cool,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
AFR,SSP2,electricity,2.7,2.835294118,2.970588235,3.105882353,3.241176471,3.376470588,3.511764706,3.647058824,3.782352941,3.917647059,4.052941176,4.188235294,4.323529412,4.458823529,4.594117647,4.729411765,4.864705882,5
CPA,SSP2,electricity,3.2,3.305882353,3.411764706,3.517647059,3.623529412,3.729411765,3.835294118,3.941176471,4.047058824,4.152941176,4.258823529,4.364705882,4.470588235,4.576470588,4.682352941,4.788235294,4.894117647,5
EEU,SSP2,electricity,3,3.117647059,3.235294118,3.352941176,3.470588235,3.588235294,3.705882353,3.823529412,3.941176471,4.058823529,4.176470588,4.294117647,4.411764706,4.529411765,4.647058824,4.764705882,4.882352941,5
FSU,SSP2,electricity,3,3.117647059,3.235294118,3.352941176,3.470588235,3.588235294,3.705882353,3.823529412,3.941176471,4.058823529,4.176470588,4.294117647,4.411764706,4.529411765,4.647058824,4.764705882,4.882352941,5
LAC,SSP2,electricity,2.9,3.023529412,3.147058824,3.270588235,3.394117647,3.517647059,3.641176471,3.764705882,3.888235294,4.011764706,4.135294118,4.258823529,4.382352941,4.505882353,4.629411765,4.752941176,4.876470588,5
MEA,SSP2,electricity,2.9,3.023529412,3.147058824,3.270588235,3.394117647,3.517647059,3.641176471,3.764705882,3.888235294,4.011764706,4.135294118,4.258823529,4.382352941,4.505882353,4.629411765,4.752941176,4.876470588,5
NAM,SSP2,electricity,3,3.117647059,3.235294118,3.352941176,3.470588235,3.588235294,3.705882353,3.823529412,3.941176471,4.058823529,4.176470588,4.294117647,4.411764706,4.529411765,4.647058824,4.764705882,4.882352941,5
PAO,SSP2,electricity,3,3.117647059,3.235294118,3.352941176,3.470588235,3.588235294,3.705882353,3.823529412,3.941176471,4.058823529,4.176470588,4.294117647,4.411764706,4.529411765,4.647058824,4.764705882,4.882352941,5
PAS,SSP2,electricity,2.9,3.023529412,3.147058824,3.270588235,3.394117647,3.517647059,3.641176471,3.764705882,3.888235294,4.011764706,4.135294118,4.258823529,4.382352941,4.505882353,4.629411765,4.752941176,4.876470588,5
SAS,SSP2,electricity,2.9,3.023529412,3.147058824,3.270588235,3.394117647,3.517647059,3.641176471,3.764705882,3.888235294,4.011764706,4.135294118,4.258823529,4.382352941,4.505882353,4.629411765,4.752941176,4.876470588,5
WEU,SSP2,electricity,3,3.117647059,3.235294118,3.352941176,3.470588235,3.588235294,3.705882353,3.823529412,3.941176471,4.058823529,4.176470588,4.294117647,4.411764706,4.529411765,4.647058824,4.764705882,4.882352941,5
