region_bld,clim,urt,arch,eneff,bld_age,value
C-EEU-BGR,Zone_4A Mixed Humid,rur,inf,avg,ns,475.8622001
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,avg,p1,195.8651079
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,avg,p2,187.1783861
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,avg,p3,116.5441466
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,std,p5,85.35658307
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,adv,p5,38.12468591
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,std,p1,195.8651079
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,adv,p1,195.8651079
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,std,p2,187.1783861
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,adv,p2,187.1783861
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,std,p3,116.5441466
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,adv,p3,116.5441466
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,avg,p1,475.8622001
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,avg,p2,458.3352293
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,avg,p3,287.3027961
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,std,p5,210.1258172
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,adv,p5,87.90436548
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,std,p1,475.8622001
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,adv,p1,475.8622001
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,std,p2,458.3352293
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,adv,p2,458.3352293
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,std,p3,287.3027961
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,adv,p3,287.3027961
C-EEU-BGR,Zone_4A Mixed Humid,urb,inf,avg,ns,477.2336019
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,avg,p1,196.3847977
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,avg,p2,187.6672935
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,avg,p3,116.8155221
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,std,p5,85.51459929
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,adv,p5,38.13822199
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,std,p1,196.3847977
