region_bld,clim,urt,arch,bld_age,eneff,value
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,s3,adv,48.95138889
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s1,avg,36.27777778
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s2,avg,33.29861111
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s3,avg,36.75
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s5,std,40.39583333
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s5,adv,53.20833333
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s1,std,36.27777778
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s1,adv,36.27777778
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s2,std,33.29861111
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s2,adv,33.29861111
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s3,std,36.75
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,s3,adv,36.75
C-EEU-BGR,Zone_5A Cool Humid,rur,inf,ns,avg,11.66666667
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s1,avg,16.125
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s2,avg,15.72222222
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s3,avg,20.55555556
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s5,std,24.625
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s5,adv,36.56944444
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s1,std,16.125
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s1,adv,16.125
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s2,std,15.72222222
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s2,adv,15.72222222
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s3,std,20.55555556
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,s3,adv,20.55555556
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,s1,avg,11.66666667
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,s2,avg,10.375
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,s3,avg,11.84722222
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,s5,std,14
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,s5,adv,24.81944444
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,s1,std,11.66666667
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,s1,adv,11.66666667
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,s2,std,10.375
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,s2,adv,10.375
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,s3,std,11.84722222
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,s3,adv,11.84722222
C-EEU-BGR,Zone_5A Cool Humid,urb,inf,ns,avg,11.66666667
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,s1,avg,16.125
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,s2,avg,15.72222222
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,s3,avg,20.55555556
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,s5,std,24.625
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,s5,adv,36.56944444
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,s1,std,16.125
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,s1,adv,16.125
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,s2,std,15.72222222
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,s2,adv,15.72222222
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,s3,std,20.55555556
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,s3,adv,20.55555556
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,s1,avg,11.66666667
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,s2,avg,10.375
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,s3,avg,11.84722222
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,s5,std,14
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,s5,adv,24.81944444
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,s1,std,11.66666667
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,s1,adv,11.66666667
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,s2,std,10.375
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,s2,adv,10.375
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,s3,std,11.84722222
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,s3,adv,11.84722222
C-EEU-CZE,Zone_5A Cool Humid,rur,inf,ns,avg,7.301282051
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,s1,avg,10.98717949
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,s2,avg,10.74358974
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,s3,avg,13.96794872
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,s5,std,16.71153846
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,s5,adv,25.8525641
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,s1,std,10.98717949
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,s1,adv,10.98717949
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,s2,std,10.74358974
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,s2,adv,10.74358974
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,s3,std,13.96794872
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,s3,adv,13.96794872
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,s1,avg,7.301282051
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,s2,avg,6.307692308
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,s3,avg,7.794871795
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,s5,std,9.519230769
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,s5,adv,16.80128205
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,s1,std,7.301282051
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,s1,adv,7.301282051
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,s2,std,6.307692308
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,s2,adv,6.307692308
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,s3,std,7.794871795
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,s3,adv,7.794871795
C-EEU-CZE,Zone_5A Cool Humid,urb,inf,ns,avg,7.301282051
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,s1,avg,10.98717949
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,s2,avg,10.74358974
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,s3,avg,13.96794872
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,s5,std,16.71153846
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,s5,adv,25.8525641
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,s1,std,10.98717949
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,s1,adv,10.98717949
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,s2,std,10.74358974
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,s2,adv,10.74358974
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,s3,std,13.96794872
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,s3,adv,13.96794872
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,s1,avg,7.301282051
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,s2,avg,6.307692308
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,s3,avg,7.794871795
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,s5,std,9.519230769
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,s5,adv,16.80128205
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,s1,std,7.301282051
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,s1,adv,7.301282051
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,s2,std,6.307692308
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,s2,adv,6.307692308
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,s3,std,7.794871795
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,s3,adv,7.794871795
C-EEU-EST,Zone_6A Cold Humid,rur,inf,ns,avg,2.965909091
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,s1,avg,5.448863636
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,s2,avg,5.352272727
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,s3,avg,7.926136364
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,s5,std,10.34659091
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,s5,adv,19.125
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,s1,std,5.448863636
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,s1,adv,5.448863636
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,s2,std,5.352272727
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,s2,adv,5.352272727
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,s3,std,7.926136364
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,s3,adv,7.926136364
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,s1,avg,2.965909091
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,s2,avg,2.278409091
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,s3,avg,3.494318182
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,s5,std,4.704545455
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,s5,adv,10.41477273
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,s1,std,2.965909091
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,s1,adv,2.965909091
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,s2,std,2.278409091
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,s2,adv,2.278409091
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,s3,std,3.494318182
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,s3,adv,3.494318182
C-EEU-EST,Zone_6A Cold Humid,urb,inf,ns,avg,2.965909091
C-EEU-EST,Zone_6A Cold Humid,urb,mfh,s1,avg,5.448863636
C-EEU-EST,Zone_6A Cold Humid,urb,mfh,s2,avg,5.352272727
C-EEU-EST,Zone_6A Cold Humid,urb,mfh,s3,avg,7.926136364
C-EEU-EST,Zone_6A Cold Humid,urb,mfh,s5,std,10.34659091
C-EEU-EST,Zone_6A Cold Humid,urb,mfh,s5,adv,19.125
C-EEU-EST,Zone_6A Cold Humid,urb,mfh,s1,std,5.448863636
C-EEU-EST,Zone_6A Cold Humid,urb,mfh,s1,adv,5.448863636
C-EEU-EST,Zone_6A Cold Humid,urb,mfh,s2,std,5.352272727
C-EEU-EST,Zone_6A Cold Humid,urb,mfh,s2,adv,5.352272727
C-EEU-EST,Zone_6A Cold Humid,urb,mfh,s3,std,7.926136364
C-EEU-EST,Zone_6A Cold Humid,urb,mfh,s3,adv,7.926136364
C-EEU-EST,Zone_6A Cold Humid,urb,sfh,s1,avg,2.965909091
C-EEU-EST,Zone_6A Cold Humid,urb,sfh,s2,avg,2.278409091
C-EEU-EST,Zone_6A Cold Humid,urb,sfh,s3,avg,3.494318182
C-EEU-EST,Zone_6A Cold Humid,urb,sfh,s5,std,4.704545455
C-EEU-EST,Zone_6A Cold Humid,urb,sfh,s5,adv,10.41477273
C-EEU-EST,Zone_6A Cold Humid,urb,sfh,s1,std,2.965909091
C-EEU-EST,Zone_6A Cold Humid,urb,sfh,s1,adv,2.965909091
C-EEU-EST,Zone_6A Cold Humid,urb,sfh,s2,std,2.278409091
C-EEU-EST,Zone_6A Cold Humid,urb,sfh,s2,adv,2.278409091
C-EEU-EST,Zone_6A Cold Humid,urb,sfh,s3,std,3.494318182
C-EEU-EST,Zone_6A Cold Humid,urb,sfh,s3,adv,3.494318182
C-EEU-HUN,Zone_4A Mixed Humid,rur,inf,ns,avg,25.75
C-EEU-HUN,Zone_4A Mixed Humid,rur,mfh,s1,avg,33.13541667
C-EEU-HUN,Zone_4A Mixed Humid,rur,mfh,s2,avg,32.5
C-EEU-HUN,Zone_4A Mixed Humid,rur,mfh,s3,avg,39.89583333
C-EEU-HUN,Zone_4A Mixed Humid,rur,mfh,s5,std,44.13541667
C-EEU-HUN,Zone_4A Mixed Humid,rur,mfh,s5,adv,54.88541667
C-EEU-HUN,Zone_4A Mixed Humid,rur,mfh,s1,std,33.13541667
C-EEU-HUN,Zone_4A Mixed Humid,rur,mfh,s1,adv,33.13541667
C-EEU-HUN,Zone_4A Mixed Humid,rur,mfh,s2,std,32.5
C-EEU-HUN,Zone_4A Mixed Humid,rur,mfh,s2,adv,32.5
C-EEU-HUN,Zone_4A Mixed Humid,rur,mfh,s3,std,39.89583333
C-EEU-HUN,Zone_4A Mixed Humid,rur,mfh,s3,adv,39.89583333
C-EEU-HUN,Zone_4A Mixed Humid,rur,sfh,s1,avg,25.75
C-EEU-HUN,Zone_4A Mixed Humid,rur,sfh,s2,avg,23.94791667
C-EEU-HUN,Zone_4A Mixed Humid,rur,sfh,s3,avg,26.51041667
C-EEU-HUN,Zone_4A Mixed Humid,rur,sfh,s5,std,29.82291667
C-EEU-HUN,Zone_4A Mixed Humid,rur,sfh,s5,adv,44.21875
C-EEU-HUN,Zone_4A Mixed Humid,rur,sfh,s1,std,25.75
C-EEU-HUN,Zone_4A Mixed Humid,rur,sfh,s1,adv,25.75
C-EEU-HUN,Zone_4A Mixed Humid,rur,sfh,s2,std,23.94791667
C-EEU-HUN,Zone_4A Mixed Humid,rur,sfh,s2,adv,23.94791667
C-EEU-HUN,Zone_4A Mixed Humid,rur,sfh,s3,std,26.51041667
C-EEU-HUN,Zone_4A Mixed Humid,rur,sfh,s3,adv,26.51041667
C-EEU-HUN,Zone_4A Mixed Humid,urb,inf,ns,avg,25.75
C-EEU-HUN,Zone_4A Mixed Humid,urb,mfh,s1,avg,33.13541667
C-EEU-HUN,Zone_4A Mixed Humid,urb,mfh,s2,avg,32.5
C-EEU-HUN,Zone_4A Mixed Humid,urb,mfh,s3,avg,39.89583333
C-EEU-HUN,Zone_4A Mixed Humid,urb,mfh,s5,std,44.13541667
C-EEU-HUN,Zone_4A Mixed Humid,urb,mfh,s5,adv,54.88541667
C-EEU-HUN,Zone_4A Mixed Humid,urb,mfh,s1,std,33.13541667
C-EEU-HUN,Zone_4A Mixed Humid,urb,mfh,s1,adv,33.13541667
C-EEU-HUN,Zone_4A Mixed Humid,urb,mfh,s2,std,32.5
C-EEU-HUN,Zone_4A Mixed Humid,urb,mfh,s2,adv,32.5
C-EEU-HUN,Zone_4A Mixed Humid,urb,mfh,s3,std,39.89583333
C-EEU-HUN,Zone_4A Mixed Humid,urb,mfh,s3,adv,39.89583333
C-EEU-HUN,Zone_4A Mixed Humid,urb,sfh,s1,avg,25.75
C-EEU-HUN,Zone_4A Mixed Humid,urb,sfh,s2,avg,23.94791667
C-EEU-HUN,Zone_4A Mixed Humid,urb,sfh,s3,avg,26.51041667
C-EEU-HUN,Zone_4A Mixed Humid,urb,sfh,s5,std,29.82291667
C-EEU-HUN,Zone_4A Mixed Humid,urb,sfh,s5,adv,44.21875
C-EEU-HUN,Zone_4A Mixed Humid,urb,sfh,s1,std,25.75
C-EEU-HUN,Zone_4A Mixed Humid,urb,sfh,s1,adv,25.75
C-EEU-HUN,Zone_4A Mixed Humid,urb,sfh,s2,std,23.94791667
C-EEU-HUN,Zone_4A Mixed Humid,urb,sfh,s2,adv,23.94791667
C-EEU-HUN,Zone_4A Mixed Humid,urb,sfh,s3,std,26.51041667
C-EEU-HUN,Zone_4A Mixed Humid,urb,sfh,s3,adv,26.51041667
C-EEU-HUN,Zone_5A Cool Humid,rur,inf,ns,avg,18.225
C-EEU-HUN,Zone_5A Cool Humid,rur,mfh,s1,avg,23.325
C-EEU-HUN,Zone_5A Cool Humid,rur,mfh,s2,avg,22.9875
C-EEU-HUN,Zone_5A Cool Humid,rur,mfh,s3,avg,28.8375
C-EEU-HUN,Zone_5A Cool Humid,rur,mfh,s5,std,33
C-EEU-HUN,Zone_5A Cool Humid,rur,mfh,s5,adv,44.9
C-EEU-HUN,Zone_5A Cool Humid,rur,mfh,s1,std,23.325
