region_gea,ssp,fuel_cool,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AFR,SSP3,electricity,2.7,2.769117647,2.838235294,2.907352941,2.976470588,3.045588235,3.114705882,3.183823529,3.252941176,3.322058824,3.391176471,3.460294118,3.529411765,3.598529412,3.667647059,3.736764706,3.805882353,3.875
CPA,SSP3,electricity,3.2,3.239705882,3.279411765,3.319117647,3.358823529,3.398529412,3.438235294,3.477941176,3.517647059,3.557352941,3.597058824,3.636764706,3.676470588,3.716176471,3.755882353,3.795588235,3.835294118,3.875
EEU,SSP3,electricity,3,3.051470588,3.102941176,3.154411765,3.205882353,3.257352941,3.308823529,3.360294118,3.411764706,3.463235294,3.514705882,3.566176471,3.617647059,3.669117647,3.720588235,3.772058824,3.823529412,3.875
FSU,SSP3,electricity,3,3.051470588,3.102941176,3.154411765,3.205882353,3.257352941,3.308823529,3.360294118,3.411764706,3.463235294,3.514705882,3.566176471,3.617647059,3.669117647,3.720588235,3.772058824,3.823529412,3.875
LAC,SSP3,electricity,2.9,2.957352941,3.014705882,3.072058824,3.129411765,3.186764706,3.244117647,3.301470588,3.358823529,3.416176471,3.473529412,3.530882353,3.588235294,3.645588235,3.702941176,3.760294118,3.817647059,3.875
MEA,SSP3,electricity,2.9,2.957352941,3.014705882,3.072058824,3.129411765,3.186764706,3.244117647,3.301470588,3.358823529,3.416176471,3.473529412,3.530882353,3.588235294,3.645588235,3.702941176,3.760294118,3.817647059,3.875
NAM,SSP3,electricity,3,3.051470588,3.102941176,3.154411765,3.205882353,3.257352941,3.308823529,3.360294118,3.411764706,3.463235294,3.514705882,3.566176471,3.617647059,3.669117647,3.720588235,3.772058824,3.823529412,3.875
PAO,SSP3,electricity,3,3.051470588,3.102941176,3.154411765,3.205882353,3.257352941,3.308823529,3.360294118,3.411764706,3.463235294,3.514705882,3.566176471,3.617647059,3.669117647,3.720588235,3.772058824,3.823529412,3.875
PAS,SSP3,electricity,2.9,2.957352941,3.014705882,3.072058824,3.129411765,3.186764706,3.244117647,3.301470588,3.358823529,3.416176471,3.473529412,3.530882353,3.588235294,3.645588235,3.702941176,3.760294118,3.817647059,3.875
SAS,SSP3,electricity,2.9,2.957352941,3.014705882,3.072058824,3.129411765,3.186764706,3.244117647,3.301470588,3.358823529,3.416176471,3.473529412,3.530882353,3.588235294,3.645588235,3.702941176,3.760294118,3.817647059,3.875
WEU,SSP3,electricity,3,3.051470588,3.102941176,3.154411765,3.205882353,3.257352941,3.308823529,3.360294118,3.411764706,3.463235294,3.514705882,3.566176471,3.617647059,3.669117647,3.720588235,3.772058824,3.823529412,3.875
