node,commodity,level,year,time,value,mrg
R11_MEA,lightoil,final,2110,year,1,0
R11_MEA,biomass,final,2020,year,1,0
R11_MEA,biomass,final,2025,year,1,0
R11_MEA,biomass,final,2030,year,1,0
R11_MEA,biomass,final,2035,year,1,0
R11_MEA,biomass,final,2040,year,1,0
R11_MEA,biomass,final,2045,year,1,0
R11_MEA,biomass,final,2050,year,1,0
R11_MEA,biomass,final,2055,year,1,0
R11_MEA,biomass,final,2060,year,1,0
R11_MEA,biomass,final,2070,year,1,0
R11_MEA,biomass,final,2080,year,1,0
R11_MEA,biomass,final,2090,year,1,0
R11_MEA,biomass,final,2100,year,1,0
R11_MEA,biomass,final,2110,year,1,0
R11_MEA,d_heat,final,2020,year,1,0
R11_MEA,d_heat,final,2025,year,1,0
R11_MEA,d_heat,final,2030,year,1,0
R11_MEA,d_heat,final,2035,year,1,0
R11_MEA,d_heat,final,2040,year,1,0
R11_MEA,d_heat,final,2045,year,1,0
R11_MEA,d_heat,final,2050,year,1,0
R11_MEA,d_heat,final,2055,year,1,0
R11_MEA,d_heat,final,2060,year,1,0
R11_MEA,d_heat,final,2070,year,1,0
R11_MEA,d_heat,final,2080,year,1,0
R11_MEA,d_heat,final,2090,year,1,0
R11_MEA,d_heat,final,2100,year,1,0
R11_MEA,d_heat,final,2110,year,1,0
R11_NAM,coal,final,2020,year,1,0
R11_NAM,coal,final,2025,year,1,0
R11_NAM,coal,final,2030,year,1,0
R11_NAM,coal,final,2035,year,1,0
R11_NAM,coal,final,2040,year,1,0
R11_NAM,coal,final,2045,year,1,0
R11_NAM,coal,final,2050,year,1,0
R11_NAM,coal,final,2055,year,1,0
R11_NAM,coal,final,2060,year,1,0
R11_NAM,coal,final,2070,year,1,0
R11_NAM,coal,final,2080,year,1,0
R11_NAM,coal,final,2090,year,1,0
R11_NAM,coal,final,2100,year,1,0
R11_NAM,coal,final,2110,year,1,0
R11_NAM,electr,final,2020,year,1,0
R11_NAM,electr,final,2025,year,1,0
R11_NAM,electr,final,2030,year,1,0
R11_NAM,electr,final,2035,year,1,0
R11_NAM,electr,final,2040,year,1,0
R11_NAM,electr,final,2045,year,1,0
R11_NAM,electr,final,2050,year,1,0
R11_NAM,electr,final,2055,year,1,0
R11_NAM,electr,final,2060,year,1,0
R11_NAM,electr,final,2070,year,1,0
R11_NAM,electr,final,2080,year,1,0
R11_NAM,electr,final,2090,year,1,0
R11_NAM,electr,final,2100,year,1,0
R11_NAM,electr,final,2110,year,1,0
R11_NAM,gas,final,2020,year,1,0
R11_NAM,gas,final,2025,year,1,0
R11_NAM,gas,final,2030,year,1,0
R11_NAM,gas,final,2035,year,1,0
R11_NAM,gas,final,2040,year,1,0
R11_NAM,gas,final,2045,year,1,0
R11_NAM,gas,final,2050,year,1,0
R11_NAM,gas,final,2055,year,1,0
R11_NAM,gas,final,2060,year,1,0
R11_NAM,gas,final,2070,year,1,0
R11_NAM,gas,final,2080,year,1,0
R11_NAM,gas,final,2090,year,1,0
R11_NAM,gas,final,2100,year,1,0
R11_NAM,gas,final,2110,year,1,0
R11_NAM,lightoil,final,2020,year,1,0
R11_NAM,lightoil,final,2025,year,1,0
R11_NAM,lightoil,final,2030,year,1,0
R11_NAM,lightoil,final,2035,year,1,0
R11_NAM,lightoil,final,2040,year,1,0
R11_NAM,lightoil,final,2045,year,1,0
R11_NAM,lightoil,final,2050,year,1,0
R11_NAM,lightoil,final,2055,year,1,0
R11_NAM,lightoil,final,2060,year,1,0
R11_NAM,lightoil,final,2070,year,1,0
R11_NAM,lightoil,final,2080,year,1,0
R11_NAM,lightoil,final,2090,year,1,0
