region_bld,value
C-WEU-BEL,70.49425944
C-EEU-BGR,13.55174657
C-EEU-CZE,54.8050875
C-WEU-DNK,32.34046986
C-WEU-DEU,434.263388
C-EEU-EST,7.570364444
C-WEU-IRL,20.85301042
C-WEU-GRC,29.60103556
C-WEU-ESP,73.16473759
C-WEU-FRA,316.1200942
C-WEU-HRV,18.73126398
C-WEU-ITA,254.3990211
C-WEU-CYP,1.34
C-EEU-LVA,8.743533333
C-EEU-LTU,11.89134
C-WEU-LUX,4.583684815
C-EEU-HUN,51.83447972
C-WEU-MLT,0.122096806
C-WEU-NLD,69.50786954
C-WEU-AUT,53.31863907
C-EEU-POL,149.6158833
C-WEU-PRT,10.05978907
C-EEU-ROU,54.76576083
C-EEU-SVN,8.635393333
C-EEU-SVK,15.97985236
C-WEU-FIN,39.02360458
C-WEU-SWE,49.31496333
