region_bld,clim,urt,arch,bld_age,eneff,value
C-EEU-BGR,Zone_4A Mixed Humid,rur,inf,ns,avg,32.13214896
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,p1,avg,24.31615313
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,p2,avg,22.9619112
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,p3,avg,23.90456116
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,p5,std,25.21327567
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,p5,adv,29.64203319
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,p1,std,24.31615313
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,p1,adv,24.31615313
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,p2,std,22.9619112
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,p2,adv,22.9619112
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,p3,std,23.90456116
C-EEU-BGR,Zone_4A Mixed Humid,rur,mfh,p3,adv,23.90456116
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,p1,avg,32.13214896
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,p2,avg,26.95906447
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,p3,avg,22.33590378
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,p5,std,21.58084986
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,p5,adv,25.71223898
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,p1,std,32.13214896
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,p1,adv,32.13214896
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,p2,std,26.95906447
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,p2,adv,26.95906447
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,p3,std,22.33590378
C-EEU-BGR,Zone_4A Mixed Humid,rur,sfh,p3,adv,22.33590378
C-EEU-BGR,Zone_4A Mixed Humid,urb,inf,ns,avg,31.98629012
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,p1,avg,24.44478056
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,p2,avg,23.0620224
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,p3,avg,23.91734987
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,p5,std,25.17218351
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,p5,adv,29.62885883
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,p1,std,24.44478056
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,p1,adv,24.44478056
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,p2,std,23.0620224
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,p2,adv,23.0620224
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,p3,std,23.91734987
C-EEU-BGR,Zone_4A Mixed Humid,urb,mfh,p3,adv,23.91734987
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,p1,avg,31.98629012
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,p2,avg,26.84506224
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,p3,avg,22.26479467
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,p5,std,21.70425692
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,p5,adv,25.66086775
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,p1,std,31.98629012
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,p1,adv,31.98629012
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,p2,std,26.84506224
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,p2,adv,26.84506224
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,p3,std,22.26479467
C-EEU-BGR,Zone_4A Mixed Humid,urb,sfh,p3,adv,22.26479467
C-EEU-BGR,Zone_5A Cool Humid,rur,inf,ns,avg,8.474091873
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,p1,avg,7.384252004
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,p2,avg,6.901233771
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,p3,avg,8.271892779
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,p5,std,9.690917463
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,p5,adv,15.03554725
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,p1,std,7.384252004
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,p1,adv,7.384252004
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,p2,std,6.901233771
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,p2,adv,6.901233771
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,p3,std,8.271892779
C-EEU-BGR,Zone_5A Cool Humid,rur,mfh,p3,adv,8.271892779
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,p1,avg,8.474091873
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,p2,avg,6.88109568
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,p3,avg,5.982723038
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,p5,std,6.167867007
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,p5,adv,9.912758485
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,p1,std,8.474091873
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,p1,adv,8.474091873
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,p2,std,6.88109568
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,p2,adv,6.88109568
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,p3,std,5.982723038
C-EEU-BGR,Zone_5A Cool Humid,rur,sfh,p3,adv,5.982723038
C-EEU-BGR,Zone_5A Cool Humid,urb,inf,ns,avg,9.919974261
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,p1,avg,8.289542162
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,p2,avg,7.771372443
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,p3,avg,9.268383215
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,p5,std,10.83118403
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,p5,adv,16.35781926
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,p1,std,8.289542162
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,p1,adv,8.289542162
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,p2,std,7.771372443
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,p2,adv,7.771372443
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,p3,std,9.268383215
C-EEU-BGR,Zone_5A Cool Humid,urb,mfh,p3,adv,9.268383215
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,p1,avg,9.919974261
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,p2,avg,8.153003481
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,p3,avg,6.948447607
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,p5,std,7.084687492
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,p5,adv,11.05967024
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,p1,std,9.919974261
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,p1,adv,9.919974261
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,p2,std,8.153003481
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,p2,adv,8.153003481
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,p3,std,6.948447607
C-EEU-BGR,Zone_5A Cool Humid,urb,sfh,p3,adv,6.948447607
C-EEU-CZE,Zone_5A Cool Humid,rur,inf,ns,avg,3.726963653
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,p1,avg,4.038465628
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,p2,avg,3.80412564
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,p3,avg,4.900867259
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,p5,std,5.938899851
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,p5,adv,9.696188187
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,p1,std,4.038465628
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,p1,adv,4.038465628
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,p2,std,3.80412564
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,p2,adv,3.80412564
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,p3,std,4.900867259
C-EEU-CZE,Zone_5A Cool Humid,rur,mfh,p3,adv,4.900867259
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,p1,avg,3.726963653
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,p2,avg,3.01033304
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,p3,avg,2.932455694
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,p5,std,3.321279755
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,p5,adv,6.044306085
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,p1,std,3.726963653
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,p1,adv,3.726963653
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,p2,std,3.01033304
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,p2,adv,3.01033304
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,p3,std,2.932455694
C-EEU-CZE,Zone_5A Cool Humid,rur,sfh,p3,adv,2.932455694
C-EEU-CZE,Zone_5A Cool Humid,urb,inf,ns,avg,4.218544224
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,p1,avg,4.422212049
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,p2,avg,4.1858579
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,p3,avg,5.309201722
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,p5,std,6.389327835
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,p5,adv,10.40857433
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,p1,std,4.422212049
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,p1,adv,4.422212049
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,p2,std,4.1858579
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,p2,adv,4.1858579
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,p3,std,5.309201722
C-EEU-CZE,Zone_5A Cool Humid,urb,mfh,p3,adv,5.309201722
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,p1,avg,4.218544224
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,p2,avg,3.40054405
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,p3,avg,3.290327874
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,p5,std,3.668905861
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,p5,adv,6.508850925
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,p1,std,4.218544224
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,p1,adv,4.218544224
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,p2,std,3.40054405
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,p2,adv,3.40054405
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,p3,std,3.290327874
C-EEU-CZE,Zone_5A Cool Humid,urb,sfh,p3,adv,3.290327874
C-EEU-EST,Zone_6A Cold Humid,rur,inf,ns,avg,1.449510129
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,p1,avg,2.055077538
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,p2,avg,1.941781899
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,p3,avg,2.988286926
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,p5,std,3.96740939
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,p5,adv,8.144518071
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,p1,std,2.055077538
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,p1,adv,2.055077538
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,p2,std,1.941781899
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,p2,adv,1.941781899
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,p3,std,2.988286926
C-EEU-EST,Zone_6A Cold Humid,rur,mfh,p3,adv,2.988286926
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,p1,avg,1.449510129
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,p2,avg,1.157018601
C-EEU-EST,Zone_6A Cold Humid,rur,sfh,p3,avg,1.284725589
