region_bld,value
C-WEU-AUT,4053.866794
C-WEU-BEL,5306.396713
C-EEU-BGR,1088.641659
C-WEU-CYP,121.3265498
C-EEU-CZE,4834.88869
C-WEU-DEU,34828.71412
C-WEU-DNK,2797.45206
C-EEU-EST,583.0061635
C-WEU-GRC,2398.846434
C-WEU-ESP,6151.939821
C-WEU-FIN,3386.277988
C-WEU-FRA,20785.93554
C-EEU-HUN,4092.219281
C-WEU-IRL,1599.135067
C-WEU-ITA,19128.78393
C-EEU-LTU,893.9165548
C-WEU-LUX,374.0170945
C-EEU-LVA,749.6069076
C-WEU-NLD,5312.380859
C-EEU-POL,12344.18332
C-WEU-PRT,533.3462066
C-EEU-ROU,4710.693414
C-WEU-SWE,4382.673282
C-EEU-SVN,606.2935126
C-EEU-SVK,1133.41056
C-WEU-GBR,22462.13865
