region_bld,value
C-WEU-BEL,6061.096427
C-EEU-BGR,1165.17917
C-EEU-CZE,4712.141423
C-WEU-DNK,2780.633599
C-WEU-DEU,37337.9661
C-EEU-EST,650.8999349
C-WEU-IRL,1792.941836
C-WEU-GRC,2545.097037
C-WEU-ESP,6290.704138
C-WEU-FRA,27180.0057
C-WEU-HRV,1610.514077
C-WEU-ITA,21873.22784
C-WEU-CYP,115.3527026
C-EEU-LVA,751.768996
C-EEU-LTU,1022.417413
C-WEU-LUX,394.1052204
C-EEU-HUN,4456.728567
C-WEU-MLT,10.49788334
C-WEU-NLD,5976.286623
C-WEU-AUT,4584.336588
C-EEU-POL,12863.97365
C-WEU-PRT,864.9406646
C-EEU-ROU,4708.760116
C-EEU-SVN,742.4711188
C-EEU-SVK,1373.947706
C-WEU-FIN,3355.249522
C-WEU-SWE,4240.100547
C-WEU-GBR,22825.67133
