region_gea,hours_cool,fl_cnd_c,hours_fans,power_fans
AFR,4,0.41,6,55
CPA,6,0.58,6,55
EEU,8,0.86,8,55
FSU,8,0.8,8,55
LAC,8,0.78,6,55
MEA,12,0.93,6,55
"NAM",12,1.03,8,55
PAO,8,0.75,8,55
PAS,4,0.45,6,55
SAS,4,0.45,6,55
WEU,8,0.91,8,55
