clim,ssp,region_gea,year,heat_hours
Zone_0A Extremely hot Humid,SSP3,AFR,2015,0
Zone_0A Extremely hot Humid,SSP3,AFR,2020,0
Zone_0A Extremely hot Humid,SSP3,AFR,2025,0
Zone_0A Extremely hot Humid,SSP3,AFR,2030,0
Zone_0A Extremely hot Humid,SSP3,AFR,2035,0
Zone_0A Extremely hot Humid,SSP3,AFR,2040,0
Zone_0A Extremely hot Humid,SSP3,AFR,2045,0
Zone_0A Extremely hot Humid,SSP3,AFR,2050,0
Zone_0A Extremely hot Humid,SSP3,AFR,2055,0
Zone_0A Extremely hot Humid,SSP3,AFR,2060,0
Zone_0A Extremely hot Humid,SSP3,AFR,2065,0
Zone_0A Extremely hot Humid,SSP3,AFR,2070,0
Zone_0A Extremely hot Humid,SSP3,AFR,2075,0
Zone_0A Extremely hot Humid,SSP3,AFR,2080,0
Zone_0A Extremely hot Humid,SSP3,AFR,2085,0
Zone_0A Extremely hot Humid,SSP3,AFR,2090,0
Zone_0A Extremely hot Humid,SSP3,AFR,2095,0
Zone_0A Extremely hot Humid,SSP3,AFR,2100,0
Zone_0B Extremely hot Dry,SSP3,AFR,2015,0
Zone_0B Extremely hot Dry,SSP3,AFR,2020,0
Zone_0B Extremely hot Dry,SSP3,AFR,2025,0
Zone_0B Extremely hot Dry,SSP3,AFR,2030,0
Zone_0B Extremely hot Dry,SSP3,AFR,2035,0
Zone_0B Extremely hot Dry,SSP3,AFR,2040,0
Zone_0B Extremely hot Dry,SSP3,AFR,2045,0
Zone_0B Extremely hot Dry,SSP3,AFR,2050,0
Zone_0B Extremely hot Dry,SSP3,AFR,2055,0
Zone_0B Extremely hot Dry,SSP3,AFR,2060,0
Zone_0B Extremely hot Dry,SSP3,AFR,2065,0
Zone_0B Extremely hot Dry,SSP3,AFR,2070,0
Zone_0B Extremely hot Dry,SSP3,AFR,2075,0
Zone_0B Extremely hot Dry,SSP3,AFR,2080,0
Zone_0B Extremely hot Dry,SSP3,AFR,2085,0
Zone_0B Extremely hot Dry,SSP3,AFR,2090,0
Zone_0B Extremely hot Dry,SSP3,AFR,2095,0
Zone_0B Extremely hot Dry,SSP3,AFR,2100,0
Zone_0C Extremely hot Marine,SSP3,AFR,2015,0
Zone_0C Extremely hot Marine,SSP3,AFR,2020,0
Zone_0C Extremely hot Marine,SSP3,AFR,2025,0
Zone_0C Extremely hot Marine,SSP3,AFR,2030,0
Zone_0C Extremely hot Marine,SSP3,AFR,2035,0
Zone_0C Extremely hot Marine,SSP3,AFR,2040,0
Zone_0C Extremely hot Marine,SSP3,AFR,2045,0
Zone_0C Extremely hot Marine,SSP3,AFR,2050,0
Zone_0C Extremely hot Marine,SSP3,AFR,2055,0
Zone_0C Extremely hot Marine,SSP3,AFR,2060,0
Zone_0C Extremely hot Marine,SSP3,AFR,2065,0
Zone_0C Extremely hot Marine,SSP3,AFR,2070,0
Zone_0C Extremely hot Marine,SSP3,AFR,2075,0
Zone_0C Extremely hot Marine,SSP3,AFR,2080,0
Zone_0C Extremely hot Marine,SSP3,AFR,2085,0
Zone_0C Extremely hot Marine,SSP3,AFR,2090,0
Zone_0C Extremely hot Marine,SSP3,AFR,2095,0
Zone_0C Extremely hot Marine,SSP3,AFR,2100,0
Zone_1A Very hot Humid,SSP3,AFR,2015,0
Zone_1A Very hot Humid,SSP3,AFR,2020,0
Zone_1A Very hot Humid,SSP3,AFR,2025,0
Zone_1A Very hot Humid,SSP3,AFR,2030,0
Zone_1A Very hot Humid,SSP3,AFR,2035,0
Zone_1A Very hot Humid,SSP3,AFR,2040,0
Zone_1A Very hot Humid,SSP3,AFR,2045,0
Zone_1A Very hot Humid,SSP3,AFR,2050,0
Zone_1A Very hot Humid,SSP3,AFR,2055,0
Zone_1A Very hot Humid,SSP3,AFR,2060,0
Zone_1A Very hot Humid,SSP3,AFR,2065,0
Zone_1A Very hot Humid,SSP3,AFR,2070,0
Zone_1A Very hot Humid,SSP3,AFR,2075,0
Zone_1A Very hot Humid,SSP3,AFR,2080,0
