fuel_heat,eneff,bld_age,value
biomass_solid,avg,p1,0.7
coal,avg,p1,0.75
district_heat,avg,p1,0.98
electricity,avg,p1,1
gas,avg,p1,0.75
oil,avg,p1,0.75
heat_pump,avg,p1,2.5
biomass_solid,avg,p2,0.7
coal,avg,p2,0.75
district_heat,avg,p2,0.98
electricity,avg,p2,1
gas,avg,p2,0.75
oil,avg,p2,0.75
heat_pump,avg,p2,2.5
biomass_solid,avg,p3,0.7
coal,avg,p3,0.75
district_heat,avg,p3,0.98
electricity,avg,p3,1
gas,avg,p3,0.75
oil,avg,p3,0.75
heat_pump,avg,p3,2.5
biomass_solid,avg,p5,0.7
coal,avg,p5,0.75
district_heat,avg,p5,0.98
electricity,avg,p5,1
gas,avg,p5,0.75
oil,avg,p5,0.75
heat_pump,avg,p5,4
biomass_solid,std,p1,0.7
coal,std,p1,0.75
district_heat,std,p1,0.98
electricity,std,p1,1
gas,std,p1,0.75
oil,std,p1,0.75
heat_pump,std,p1,4
biomass_solid,std,p2,0.7
coal,std,p2,0.75
district_heat,std,p2,0.98
electricity,std,p2,1
gas,std,p2,0.75
oil,std,p2,0.75
heat_pump,std,p2,4
biomass_solid,std,p3,0.7
coal,std,p3,0.75
district_heat,std,p3,0.98
electricity,std,p3,1
gas,std,p3,0.75
oil,std,p3,0.75
heat_pump,std,p3,4
biomass_solid,std,p5,0.7
coal,std,p5,0.75
district_heat,std,p5,0.98
electricity,std,p5,1
gas,std,p5,0.75
oil,std,p5,0.75
heat_pump,std,p5,4
biomass_solid,adv,p1,0.7
coal,adv,p1,0.75
district_heat,adv,p1,0.98
electricity,adv,p1,1
gas,adv,p1,0.75
oil,adv,p1,0.75
heat_pump,adv,p1,4
biomass_solid,adv,p2,0.7
coal,adv,p2,0.75
district_heat,adv,p2,0.98
electricity,adv,p2,1
gas,adv,p2,0.75
oil,adv,p2,0.75
heat_pump,adv,p2,4
biomass_solid,adv,p3,0.7
coal,adv,p3,0.75
district_heat,adv,p3,0.98
electricity,adv,p3,1
gas,adv,p3,0.75
oil,adv,p3,0.75
heat_pump,adv,p3,4
biomass_solid,adv,p5,0.7
coal,adv,p5,0.75
district_heat,adv,p5,0.98
electricity,adv,p5,1
gas,adv,p5,0.75
oil,adv,p5,0.75
heat_pump,adv,p5,4
