eneff,region_gea,fuel_heat,year,value
avg,AFR,biomass_solid,2015,0.4
avg,AFR,biomass_solid,2020,0.4
avg,AFR,biomass_solid,2025,0.4
avg,AFR,biomass_solid,2030,0.4
avg,AFR,biomass_solid,2035,0.4
avg,AFR,biomass_solid,2040,0.4
avg,AFR,biomass_solid,2045,0.4
avg,AFR,biomass_solid,2050,0.4
avg,AFR,biomass_solid,2055,0.4
avg,AFR,biomass_solid,2060,0.4
avg,AFR,biomass_solid,2065,0.4
avg,AFR,biomass_solid,2070,0.4
avg,AFR,biomass_solid,2075,0.4
avg,AFR,biomass_solid,2080,0.4
avg,AFR,biomass_solid,2085,0.4
avg,AFR,biomass_solid,2090,0.4
avg,AFR,biomass_solid,2095,0.4
avg,AFR,biomass_solid,2100,0.4
avg,AFR,coal,2015,0.75
avg,AFR,coal,2020,0.75
avg,AFR,coal,2025,0.75
avg,AFR,coal,2030,0.75
avg,AFR,coal,2035,0.75
avg,AFR,coal,2040,0.75
avg,AFR,coal,2045,0.75
avg,AFR,coal,2050,0.75
avg,AFR,coal,2055,0.75
avg,AFR,coal,2060,0.75
avg,AFR,coal,2065,0.75
avg,AFR,coal,2070,0.75
avg,AFR,coal,2075,0.75
avg,AFR,coal,2080,0.75
avg,AFR,coal,2085,0.75
avg,AFR,coal,2090,0.75
avg,AFR,coal,2095,0.75
avg,AFR,coal,2100,0.75
avg,AFR,district_heat,2015,0.98
avg,AFR,district_heat,2020,0.98
avg,AFR,district_heat,2025,0.98
avg,AFR,district_heat,2030,0.98
avg,AFR,district_heat,2035,0.98
avg,AFR,district_heat,2040,0.98
avg,AFR,district_heat,2045,0.98
avg,AFR,district_heat,2050,0.98
avg,AFR,district_heat,2055,0.98
avg,AFR,district_heat,2060,0.98
avg,AFR,district_heat,2065,0.98
avg,AFR,district_heat,2070,0.98
avg,AFR,district_heat,2075,0.98
avg,AFR,district_heat,2080,0.98
avg,AFR,district_heat,2085,0.98
avg,AFR,district_heat,2090,0.98
avg,AFR,district_heat,2095,0.98
avg,AFR,district_heat,2100,0.98
avg,AFR,electricity,2015,1
avg,AFR,electricity,2020,1
avg,AFR,electricity,2025,1
avg,AFR,electricity,2030,1
avg,AFR,electricity,2035,1
