region_gea,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100
AFR,1.25,1.284419009,1.324953199,1.371868352,1.425217106,1.490259806,1.569773226,1.665828825,1.781337475,1.915738209,2.223740836,2.530961813,2.767772861,2.904642608
CPA,2,2.426147857,2.832542413,3.148618522,3.369359382,3.53273862,3.653909861,3.739466475,3.800868191,3.84973501,3.919081613,3.959218768,3.981028503,3.991758243
EEU,1.96,2.237861619,2.512691004,2.774652801,3.010795928,3.208277599,3.363256705,3.487159421,3.589541971,3.67939144,3.815013882,3.894280406,3.939961779,3.967027959
FSU,4,4,4,4,4,4,4,4,4,4,4,4,4,4
LAC,0.95,1.069889296,1.200005096,1.338413393,1.483943916,1.639627197,1.803330001,1.97201015,2.142230934,2.306194358,2.58747238,2.787578491,2.904452805,2.961846786
MEA,1.25,1.360300565,1.482755049,1.616986704,1.750015802,1.881453268,2.007625202,2.127155436,2.243480112,2.356589134,2.561743005,2.723960024,2.843023186,2.918668486
NAM,4,4,4,4,4,4,4,4,4,4,4,4,4,4
PAO,3.09,3.235814187,3.379977888,3.502060068,3.595445151,3.671457587,3.740758494,3.797862244,3.846542124,3.887678875,3.945674032,3.975928644,3.990621833,3.9968847
PAS,0.62,0.724904894,0.858061179,1.005808114,1.162395175,1.332150635,1.509874075,1.690833762,1.871548468,2.045593427,2.353527725,2.596636483,2.765597069,2.866512397
SAS,0.62,0.671331687,0.736763883,0.814312482,0.905182031,1.013882035,1.139983129,1.283848659,1.446472759,1.627168129,2.014962278,2.377869974,2.662389296,2.847295589
WEU,4,4,4,4,4,4,4,4,4,4,4,4,4,4
