year,scenario_label_panelA,mat_demand_Gt
2025,Reference / Close,0.13381671657890337
2025,Narrow R,0.1338167165787708
2025,Narrow TP,0.1338167165787708
2025,Slow R,0.08840866688908282
2025,Slow TP,0.08840866688908282
2025,Combined R,0.08840866688862177
2025,Combined TP,0.08840866688862177
2030,Reference / Close,0.10966508258129719
2030,Narrow R,0.09227854594919788
2030,Narrow TP,0.11184096319841418
2030,Slow R,0.06605431454444417
2030,Slow TP,0.06605431454444417
2030,Combined R,0.05416317025405223
2030,Combined TP,0.07718125130473649
2035,Reference / Close,0.10974552050646447
2035,Narrow R,0.08680982188221285
2035,Narrow TP,0.0943965837161555
2035,Slow R,0.051076498699882324
2035,Slow TP,0.047148342693747916
2035,Combined R,0.039140896167683355
2035,Combined TP,0.051736333689691265
2040,Reference / Close,0.11250062296187695
2040,Narrow R,0.0829024996184413
2040,Narrow TP,0.07719689282294513
2040,Slow R,0.04432017156542276
2040,Slow TP,0.03334608293088235
2040,Combined R,0.03145555184431793
2040,Combined TP,0.03301835114350365
2045,Reference / Close,0.11540253768239053
2045,Narrow R,0.07946500786532587
2045,Narrow TP,0.06274449159611659
2045,Slow R,0.039592737587271026
2045,Slow TP,0.026144175980189616
2045,Combined R,0.02687713459273239
2045,Combined TP,0.022717510148034498
2050,Reference / Close,0.11860474337108083
2050,Narrow R,0.07721828762444512
2050,Narrow TP,0.052144081951609404
2050,Slow R,0.03698119399058049
2050,Slow TP,0.022684088238198903
2050,Combined R,0.024555282376063758
2050,Combined TP,0.01850143998882887
2055,Reference / Close,0.11324172901778051
2055,Narrow R,0.0797115599979262
2055,Narrow TP,0.03117314271802415
2055,Slow R,0.03163121228404541
2055,Slow TP,0.01895032584300318
2055,Combined R,0.02013478833460899
2055,Combined TP,0.002122352098763174
2060,Reference / Close,0.10899916878435642
2060,Narrow R,0.07691363095445138
2060,Narrow TP,0.029692880192774992
2060,Slow R,0.03405410126141817
2060,Slow TP,0.021688400778116297
2060,Combined R,0.022282411162726702
2060,Combined TP,0.002990334893551278
2070,Reference / Close,0.10666247770258404
2070,Narrow R,0.07554165458166846
2070,Narrow TP,0.028747526846645822
2070,Slow R,0.04246263013987932
2070,Slow TP,0.031421704455376516
2070,Combined R,0.02903839833208159
2070,Combined TP,0.006338158378456604
2080,Reference / Close,0.11051399301111109
2080,Narrow R,0.07823783451115748
2080,Narrow TP,0.03012240685887604
2080,Slow R,0.05220360596066816
2080,Slow TP,0.04153528662218231
2080,Combined R,0.03605491659013533
2080,Combined TP,0.00959155481041203
2090,Reference / Close,0.10936195207751492
2090,Narrow R,0.07686479410963282
2090,Narrow TP,0.03049470090860364
2090,Slow R,0.05637646334413432
2090,Slow TP,0.04602796554329231
2090,Combined R,0.039089736805118354
2090,Combined TP,0.01164220618120499
2100,Reference / Close,0.09962630691094745
2100,Narrow R,0.06969562692562835
2100,Narrow TP,0.028083786930508073
2100,Slow R,0.05734729356639789
2100,Slow TP,0.044254307819626186
2100,Combined R,0.03985220663383016
2100,Combined TP,0.011501127297269672
