sector,scenario,scenario_name,year,embodied_MtCO2e,operational_MtCO2e,total_MtCO2e,scenario_plot
Residential,A_r,Combined R,2025,74.7934613309304,425.9519810515878,500.74544238251815,Combined
Residential,A_r,Combined R,2030,54.95951125115289,381.335800624726,436.2953118758789,Combined
Residential,A_r,Combined R,2035,45.486392526946304,337.74100827735003,383.22740080429634,Combined
Residential,A_r,Combined R,2040,37.94227323066835,293.3614890789231,331.3037623095915,Combined
Residential,A_r,Combined R,2045,31.706535789329333,267.17381215080036,298.8803479401297,Combined
Residential,A_r,Combined R,2050,26.806374534363904,261.6662598939306,288.4726344282945,Combined
Residential,A_r,Combined R,2055,18.56966278682848,246.8102170768105,265.37987986363896,Combined
Residential,A_r,Combined R,2060,17.343913292058133,231.05791235263976,248.4018256446979,Combined
Residential,A_r,Combined R,2070,16.848701306336753,193.17548885814043,210.0241901644772,Combined
Residential,A_r,Combined R,2080,17.6112296666149,173.27083922922793,190.8820688958428,Combined
Residential,A_r,Combined R,2090,16.91340711313553,160.1138618831038,177.02726899623931,Combined
Residential,A_r,Combined R,2100,15.065624118171865,149.49265992271538,164.55828404088723,Combined
Residential,CP_r,Climate policy R,2025,74.79345485561988,346.8027110536353,421.5961659092551,Climate policy
Residential,CP_r,Climate policy R,2030,42.92210757535976,222.65080657507053,265.5729141504303,Climate policy
Residential,CP_r,Climate policy R,2035,34.29573564314995,139.98487796159017,174.28061360474013,Climate policy
Residential,CP_r,Climate policy R,2040,27.526708380211165,96.8075601775583,124.33426855776946,Climate policy
Residential,CP_r,Climate policy R,2045,22.04794932802307,72.45466002066539,94.50260934868844,Climate policy
Residential,CP_r,Climate policy R,2050,17.7870734413944,55.84647963497858,73.63355307637298,Climate policy
Residential,CP_r,Climate policy R,2055,12.530578571965624,46.60716341211197,59.1377419840776,Climate policy
Residential,CP_r,Climate policy R,2060,11.516100006638796,37.56779541248445,49.083895419123245,Climate policy
Residential,CP_r,Climate policy R,2070,11.4941146547355,24.43945519216748,35.933569846902984,Climate policy
Residential,CP_r,Climate policy R,2080,12.55543158067828,19.298633443361165,31.854065024039446,Climate policy
Residential,CP_r,Climate policy R,2090,12.601479436046132,17.002949376093238,29.604428812139368,Climate policy
Residential,CP_r,Climate policy R,2100,11.362932784971887,14.727641998728702,26.09057478370059,Climate policy
Residential,C_r,Close R,2025,74.79346133171818,425.9519810515878,500.74544238330594,Close
Residential,C_r,Close R,2030,60.26326412319985,397.2937443730008,457.55700849620064,Close
Residential,C_r,Close R,2035,58.94072465046573,364.7174889779972,423.658213628463,Close
Residential,C_r,Close R,2040,59.03793718263276,326.7619628658525,385.79990004848526,Close
Residential,C_r,Close R,2045,59.13354645707478,305.4128903908873,364.54643684796207,Close
Residential,C_r,Close R,2050,59.27840504582531,307.504479444907,366.78288449073233,Close
Residential,C_r,Close R,2055,55.711178438171295,284.3533325645985,340.0645110027698,Close
Residential,C_r,Close R,2060,52.753621942127324,261.50232833793916,314.2559502800665,Close
Residential,C_r,Close R,2070,50.82428652676121,210.6627134735832,261.4870000003444,Close
Residential,C_r,Close R,2080,52.24538470857695,184.0926724266396,236.33805713521653,Close
Residential,C_r,Close R,2090,51.32308454676731,167.1062072401797,218.42929178694703,Close
Residential,C_r,Close R,2100,46.35941472082706,154.1358145042503,200.49522922507737,Close
Residential,E_r,Efficiency R,2025,74.79345485561988,367.03613649217726,441.82959134779713,Efficiency
Residential,E_r,Efficiency R,2030,54.959442489467,298.69020289546506,353.64964538493206,Efficiency
Residential,E_r,Efficiency R,2035,45.48636609201144,244.6385418535817,290.1249079455931,Efficiency
Residential,E_r,Efficiency R,2040,37.94246202610329,194.6134726388872,232.5559346649905,Efficiency
Residential,E_r,Efficiency R,2045,31.707075208650934,173.2076582862356,204.91473349488655,Efficiency
Residential,E_r,Efficiency R,2050,26.80768282809834,177.52075546536017,204.3284382934585,Efficiency
Residential,E_r,Efficiency R,2055,18.66418149876339,165.8840811126235,184.5482626113869,Efficiency
Residential,E_r,Efficiency R,2060,17.416413296948257,154.6614385256571,172.07785182260537,Efficiency
Residential,E_r,Efficiency R,2070,16.911744734373926,124.36018721265503,141.27193194702895,Efficiency
Residential,E_r,Efficiency R,2080,17.683712766721083,115.0382737896287,132.72198655634978,Efficiency
Residential,E_r,Efficiency R,2090,17.011677628046336,111.25440696569322,128.26608459373955,Efficiency
Residential,E_r,Efficiency R,2100,15.14023553326783,107.8560355150118,122.99627104827964,Efficiency
Residential,N_r,Narrow R,2025,74.7934613309304,425.9519810515878,500.74544238251815,Narrow
Residential,N_r,Narrow R,2030,54.95951125115289,381.335800624726,436.2953118758789,Narrow
Residential,N_r,Narrow R,2035,50.47832548362904,337.26331572315405,387.7416412067831,Narrow
Residential,N_r,Narrow R,2040,46.98709425651741,292.0816721607297,339.0687664172471,Narrow
Residential,N_r,Narrow R,2045,43.87139274389651,264.90518406823134,308.7765768121278,Narrow
Residential,N_r,Narrow R,2050,41.51866208118808,258.27956485175235,299.79822693294045,Narrow
Residential,N_r,Narrow R,2055,39.34828398364373,241.77855784442465,281.1268418280684,Narrow
Residential,N_r,Narrow R,2060,37.332501881450064,224.8052471142765,262.13774899572655,Narrow
Residential,N_r,Narrow R,2070,36.088508795708414,185.47378500562755,221.56229380133595,Narrow
Residential,N_r,Narrow R,2080,37.11049721285384,164.7803958764837,201.8908930893375,Narrow
Residential,N_r,Narrow R,2090,36.227662525399,151.3390269399913,187.5666894653903,Narrow
Residential,N_r,Narrow R,2100,32.60932832160787,140.85237071930766,173.46169904091553,Narrow
Residential,R,Reference,2025,74.79346133171818,425.9519810515878,500.74544238330594,Reference
Residential,R,Reference,2030,60.26326412319985,397.2937443730008,457.55700849620064,Reference
Residential,R,Reference,2035,58.94072465046573,364.7174889779972,423.658213628463,Reference
Residential,R,Reference,2040,59.03793718263276,326.7619628658525,385.79990004848526,Reference
Residential,R,Reference,2045,59.13354645707478,305.4128903908873,364.54643684796207,Reference
Residential,R,Reference,2050,59.27840504582531,307.504479444907,366.78288449073233,Reference
Residential,R,Reference,2055,55.711178438171295,284.3533325645985,340.0645110027698,Reference
Residential,R,Reference,2060,52.753621942127324,261.50232833793916,314.2559502800665,Reference
Residential,R,Reference,2070,50.82428652676121,210.6627134735832,261.4870000003444,Reference
Residential,R,Reference,2080,52.24538470857695,184.0926724266396,236.33805713521653,Reference
Residential,R,Reference,2090,51.32308454676731,167.1062072401797,218.42929178694703,Reference
Residential,R,Reference,2100,46.35941472082706,154.1358145042503,200.49522922507737,Reference
Residential,S_r,Slow R,2025,74.79346133171818,425.9519810515878,500.74544238330594,Slow
Residential,S_r,Slow R,2030,60.26326412319985,397.2937443730008,457.55700849620064,Slow
Residential,S_r,Slow R,2035,52.08583698390679,365.3759719788374,417.4618089627442,Slow
Residential,S_r,Slow R,2040,45.604700661819706,328.58421925188617,374.1889199137059,Slow
Residential,S_r,Slow R,2045,39.56480584779287,308.77598337240755,348.3407892202004,Slow
Residential,S_r,Slow R,2050,34.20559370199456,312.80798577154184,347.0135794735364,Slow
Residential,S_r,Slow R,2055,26.582126050320003,291.43289434767354,318.01502039799357,Slow
Residential,S_r,Slow R,2060,24.710546030870617,269.83325202450715,294.54379805537775,Slow
Residential,S_r,Slow R,2070,23.76164060996205,220.2063365269263,243.96797713688835,Slow
