scenario,group_label,2100 floor-space (billion m2),% change vs R
R,Reference / Slow / Close,16.701,0
N_r,Narrow realistic,12.52,-25.04
N_tp,Narrow technical potential,8.049,-51.8
S_r,Reference / Slow / Close,0,-100
S_tp,Reference / Slow / Close,0,-100
C_r,Reference / Slow / Close,16.701,0
C_tp,Reference / Slow / Close,16.701,0
A_r,Narrow realistic,0,-100
A_tp,Narrow technical potential,0,-100
