scenario,material,year,eol_treat,share
Close R,Aluminium,2015,Downcycling,0
Close R,Aluminium,2015,Other,0.61
Close R,Aluminium,2015,Recycling,0.39
Close R,Aluminium,2015,Reuse,0
Close R,Aluminium,2020,Downcycling,0
Close R,Aluminium,2020,Other,0.592857142857143
Close R,Aluminium,2020,Recycling,0.407142857142857
Close R,Aluminium,2020,Reuse,0
Close R,Aluminium,2025,Downcycling,0
Close R,Aluminium,2025,Other,0.575714285714286
Close R,Aluminium,2025,Recycling,0.424285714285714
Close R,Aluminium,2025,Reuse,0
Close R,Aluminium,2030,Downcycling,0
Close R,Aluminium,2030,Other,0.558571428571429
Close R,Aluminium,2030,Recycling,0.441428571428571
Close R,Aluminium,2030,Reuse,0
Close R,Aluminium,2035,Downcycling,0
Close R,Aluminium,2035,Other,0.541428571428571
Close R,Aluminium,2035,Recycling,0.458571428571429
Close R,Aluminium,2035,Reuse,0
Close R,Aluminium,2040,Downcycling,0
Close R,Aluminium,2040,Other,0.524285714285714
Close R,Aluminium,2040,Recycling,0.475714285714286
Close R,Aluminium,2040,Reuse,0
Close R,Aluminium,2045,Downcycling,0
Close R,Aluminium,2045,Other,0.507142857142857
Close R,Aluminium,2045,Recycling,0.492857142857143
Close R,Aluminium,2045,Reuse,0
Close R,Aluminium,2050,Downcycling,0
Close R,Aluminium,2050,Other,0.49
Close R,Aluminium,2050,Recycling,0.51
Close R,Aluminium,2050,Reuse,0
Close R,Aluminium,2055,Downcycling,0
Close R,Aluminium,2055,Other,0.49
Close R,Aluminium,2055,Recycling,0.51
Close R,Aluminium,2055,Reuse,0
Close R,Aluminium,2060,Downcycling,0
Close R,Aluminium,2060,Other,0.49
Close R,Aluminium,2060,Recycling,0.51
Close R,Aluminium,2060,Reuse,0
Close R,Aluminium,2065,Downcycling,0
Close R,Aluminium,2065,Other,0.49
Close R,Aluminium,2065,Recycling,0.51
Close R,Aluminium,2065,Reuse,0
Close R,Aluminium,2070,Downcycling,0
Close R,Aluminium,2070,Other,0.49
Close R,Aluminium,2070,Recycling,0.51
Close R,Aluminium,2070,Reuse,0
Close R,Aluminium,2075,Downcycling,0
Close R,Aluminium,2075,Other,0.49
Close R,Aluminium,2075,Recycling,0.51
Close R,Aluminium,2075,Reuse,0
Close R,Aluminium,2080,Downcycling,0
Close R,Aluminium,2080,Other,0.49
Close R,Aluminium,2080,Recycling,0.51
Close R,Aluminium,2080,Reuse,0
Close R,Aluminium,2085,Downcycling,0
Close R,Aluminium,2085,Other,0.49
Close R,Aluminium,2085,Recycling,0.51
Close R,Aluminium,2085,Reuse,0
Close R,Aluminium,2090,Downcycling,0
Close R,Aluminium,2090,Other,0.49
Close R,Aluminium,2090,Recycling,0.51
Close R,Aluminium,2090,Reuse,0
Close R,Aluminium,2095,Downcycling,0
Close R,Aluminium,2095,Other,0.49
Close R,Aluminium,2095,Recycling,0.51
Close R,Aluminium,2095,Reuse,0
Close R,Aluminium,2100,Downcycling,0
Close R,Aluminium,2100,Other,0.49
Close R,Aluminium,2100,Recycling,0.51
Close R,Aluminium,2100,Reuse,0
Close R,Brick,2015,Downcycling,0.7
Close R,Brick,2015,Other,0.25
Close R,Brick,2015,Recycling,0
Close R,Brick,2015,Reuse,0.05
Close R,Brick,2020,Downcycling,0.7
Close R,Brick,2020,Other,0.241428571428571
Close R,Brick,2020,Recycling,0.00142857142857143
Close R,Brick,2020,Reuse,0.0571428571428571
Close R,Brick,2025,Downcycling,0.7
Close R,Brick,2025,Other,0.232857142857143
Close R,Brick,2025,Recycling,0.00285714285714286
Close R,Brick,2025,Reuse,0.0642857142857143
Close R,Brick,2030,Downcycling,0.7
Close R,Brick,2030,Other,0.224285714285714
Close R,Brick,2030,Recycling,0.00428571428571429
Close R,Brick,2030,Reuse,0.0714285714285714
Close R,Brick,2035,Downcycling,0.7
Close R,Brick,2035,Other,0.215714285714286
Close R,Brick,2035,Recycling,0.00571428571428571
Close R,Brick,2035,Reuse,0.0785714285714286
Close R,Brick,2040,Downcycling,0.7
Close R,Brick,2040,Other,0.207142857142857
Close R,Brick,2040,Recycling,0.00714285714285714
Close R,Brick,2040,Reuse,0.0857142857142857
Close R,Brick,2045,Downcycling,0.7
Close R,Brick,2045,Other,0.198571428571429
Close R,Brick,2045,Recycling,0.00857142857142857
Close R,Brick,2045,Reuse,0.0928571428571429
Close R,Brick,2050,Downcycling,0.7
Close R,Brick,2050,Other,0.19
Close R,Brick,2050,Recycling,0.01
Close R,Brick,2050,Reuse,0.1
Close R,Brick,2055,Downcycling,0.7
Close R,Brick,2055,Other,0.19
Close R,Brick,2055,Recycling,0.01
Close R,Brick,2055,Reuse,0.1
Close R,Brick,2060,Downcycling,0.7
Close R,Brick,2060,Other,0.19
Close R,Brick,2060,Recycling,0.01
Close R,Brick,2060,Reuse,0.1
Close R,Brick,2065,Downcycling,0.7
Close R,Brick,2065,Other,0.19
Close R,Brick,2065,Recycling,0.01
Close R,Brick,2065,Reuse,0.1
Close R,Brick,2070,Downcycling,0.7
Close R,Brick,2070,Other,0.19
Close R,Brick,2070,Recycling,0.01
Close R,Brick,2070,Reuse,0.1
Close R,Brick,2075,Downcycling,0.7
Close R,Brick,2075,Other,0.19
Close R,Brick,2075,Recycling,0.01
Close R,Brick,2075,Reuse,0.1
Close R,Brick,2080,Downcycling,0.7
Close R,Brick,2080,Other,0.19
Close R,Brick,2080,Recycling,0.01
Close R,Brick,2080,Reuse,0.1
Close R,Brick,2085,Downcycling,0.7
Close R,Brick,2085,Other,0.19
Close R,Brick,2085,Recycling,0.01
Close R,Brick,2085,Reuse,0.1
Close R,Brick,2090,Downcycling,0.7
Close R,Brick,2090,Other,0.19
Close R,Brick,2090,Recycling,0.01
Close R,Brick,2090,Reuse,0.1
Close R,Brick,2095,Downcycling,0.7
Close R,Brick,2095,Other,0.19
Close R,Brick,2095,Recycling,0.01
Close R,Brick,2095,Reuse,0.1
Close R,Brick,2100,Downcycling,0.7
Close R,Brick,2100,Other,0.19
Close R,Brick,2100,Recycling,0.01
Close R,Brick,2100,Reuse,0.1
Close R,Concrete,2015,Downcycling,0.6
Close R,Concrete,2015,Other,0.35
Close R,Concrete,2015,Recycling,0.03
Close R,Concrete,2015,Reuse,0.02
Close R,Concrete,2020,Downcycling,0.6
Close R,Concrete,2020,Other,0.341428571428571
Close R,Concrete,2020,Recycling,0.0342857142857143
Close R,Concrete,2020,Reuse,0.0242857142857143
Close R,Concrete,2025,Downcycling,0.6
Close R,Concrete,2025,Other,0.332857142857143
Close R,Concrete,2025,Recycling,0.0385714285714286
Close R,Concrete,2025,Reuse,0.0285714285714286
Close R,Concrete,2030,Downcycling,0.6
Close R,Concrete,2030,Other,0.324285714285714
Close R,Concrete,2030,Recycling,0.0428571428571429
Close R,Concrete,2030,Reuse,0.0328571428571429
Close R,Concrete,2035,Downcycling,0.6
Close R,Concrete,2035,Other,0.315714285714286
Close R,Concrete,2035,Recycling,0.0471428571428571
Close R,Concrete,2035,Reuse,0.0371428571428571
Close R,Concrete,2040,Downcycling,0.6
Close R,Concrete,2040,Other,0.307142857142857
Close R,Concrete,2040,Recycling,0.0514285714285714
Close R,Concrete,2040,Reuse,0.0414285714285714
Close R,Concrete,2045,Downcycling,0.6
Close R,Concrete,2045,Other,0.298571428571429
Close R,Concrete,2045,Recycling,0.0557142857142857
Close R,Concrete,2045,Reuse,0.0457142857142857
Close R,Concrete,2050,Downcycling,0.6
Close R,Concrete,2050,Other,0.29
Close R,Concrete,2050,Recycling,0.06
Close R,Concrete,2050,Reuse,0.05
Close R,Concrete,2055,Downcycling,0.6
Close R,Concrete,2055,Other,0.29
Close R,Concrete,2055,Recycling,0.06
Close R,Concrete,2055,Reuse,0.05
Close R,Concrete,2060,Downcycling,0.6
Close R,Concrete,2060,Other,0.29
Close R,Concrete,2060,Recycling,0.06
Close R,Concrete,2060,Reuse,0.05
Close R,Concrete,2065,Downcycling,0.6
Close R,Concrete,2065,Other,0.29
Close R,Concrete,2065,Recycling,0.06
Close R,Concrete,2065,Reuse,0.05
Close R,Concrete,2070,Downcycling,0.6
Close R,Concrete,2070,Other,0.29
Close R,Concrete,2070,Recycling,0.06
Close R,Concrete,2070,Reuse,0.05
Close R,Concrete,2075,Downcycling,0.6
Close R,Concrete,2075,Other,0.29
Close R,Concrete,2075,Recycling,0.06
Close R,Concrete,2075,Reuse,0.05
Close R,Concrete,2080,Downcycling,0.6
Close R,Concrete,2080,Other,0.29
Close R,Concrete,2080,Recycling,0.06
Close R,Concrete,2080,Reuse,0.05
Close R,Concrete,2085,Downcycling,0.6
Close R,Concrete,2085,Other,0.29
Close R,Concrete,2085,Recycling,0.06
Close R,Concrete,2085,Reuse,0.05
Close R,Concrete,2090,Downcycling,0.6
Close R,Concrete,2090,Other,0.29
Close R,Concrete,2090,Recycling,0.06
Close R,Concrete,2090,Reuse,0.05
Close R,Concrete,2095,Downcycling,0.6
Close R,Concrete,2095,Other,0.29
Close R,Concrete,2095,Recycling,0.06
Close R,Concrete,2095,Reuse,0.05
Close R,Concrete,2100,Downcycling,0.6
Close R,Concrete,2100,Other,0.29
Close R,Concrete,2100,Recycling,0.06
Close R,Concrete,2100,Reuse,0.05
Close R,Copper,2015,Downcycling,0
Close R,Copper,2015,Other,0.72
Close R,Copper,2015,Recycling,0.28
Close R,Copper,2015,Reuse,0
Close R,Copper,2020,Downcycling,0
Close R,Copper,2020,Other,0.698571428571429
Close R,Copper,2020,Recycling,0.301428571428571
Close R,Copper,2020,Reuse,0
Close R,Copper,2025,Downcycling,0
Close R,Copper,2025,Other,0.677142857142857
Close R,Copper,2025,Recycling,0.322857142857143
Close R,Copper,2025,Reuse,0
Close R,Copper,2030,Downcycling,0
Close R,Copper,2030,Other,0.655714285714286
Close R,Copper,2030,Recycling,0.344285714285714
Close R,Copper,2030,Reuse,0
Close R,Copper,2035,Downcycling,0
Close R,Copper,2035,Other,0.634285714285714
Close R,Copper,2035,Recycling,0.365714285714286
Close R,Copper,2035,Reuse,0
Close R,Copper,2040,Downcycling,0
Close R,Copper,2040,Other,0.612857142857143
Close R,Copper,2040,Recycling,0.387142857142857
Close R,Copper,2040,Reuse,0
Close R,Copper,2045,Downcycling,0
Close R,Copper,2045,Other,0.591428571428571
Close R,Copper,2045,Recycling,0.408571428571429
Close R,Copper,2045,Reuse,0
Close R,Copper,2050,Downcycling,0
Close R,Copper,2050,Other,0.57
Close R,Copper,2050,Recycling,0.43
Close R,Copper,2050,Reuse,0
Close R,Copper,2055,Downcycling,0
Close R,Copper,2055,Other,0.57
Close R,Copper,2055,Recycling,0.43
Close R,Copper,2055,Reuse,0
Close R,Copper,2060,Downcycling,0
Close R,Copper,2060,Other,0.57
Close R,Copper,2060,Recycling,0.43
Close R,Copper,2060,Reuse,0
Close R,Copper,2065,Downcycling,0
Close R,Copper,2065,Other,0.57
Close R,Copper,2065,Recycling,0.43
Close R,Copper,2065,Reuse,0
Close R,Copper,2070,Downcycling,0
Close R,Copper,2070,Other,0.57
Close R,Copper,2070,Recycling,0.43
Close R,Copper,2070,Reuse,0
Close R,Copper,2075,Downcycling,0
Close R,Copper,2075,Other,0.57
Close R,Copper,2075,Recycling,0.43
Close R,Copper,2075,Reuse,0
Close R,Copper,2080,Downcycling,0
Close R,Copper,2080,Other,0.57
Close R,Copper,2080,Recycling,0.43
Close R,Copper,2080,Reuse,0
Close R,Copper,2085,Downcycling,0
Close R,Copper,2085,Other,0.57
Close R,Copper,2085,Recycling,0.43
Close R,Copper,2085,Reuse,0
Close R,Copper,2090,Downcycling,0
Close R,Copper,2090,Other,0.57
Close R,Copper,2090,Recycling,0.43
Close R,Copper,2090,Reuse,0
Close R,Copper,2095,Downcycling,0
Close R,Copper,2095,Other,0.57
Close R,Copper,2095,Recycling,0.43
Close R,Copper,2095,Reuse,0
Close R,Copper,2100,Downcycling,0
Close R,Copper,2100,Other,0.57
Close R,Copper,2100,Recycling,0.43
Close R,Copper,2100,Reuse,0
Close R,Glass,2015,Downcycling,0.45
Close R,Glass,2015,Other,0.55
Close R,Glass,2015,Recycling,0
Close R,Glass,2015,Reuse,0
Close R,Glass,2020,Downcycling,0.45
Close R,Glass,2020,Other,0.547142857142857
Close R,Glass,2020,Recycling,0.00285714285714286
Close R,Glass,2020,Reuse,0
Close R,Glass,2025,Downcycling,0.45
Close R,Glass,2025,Other,0.544285714285714
Close R,Glass,2025,Recycling,0.00571428571428571
Close R,Glass,2025,Reuse,0
Close R,Glass,2030,Downcycling,0.45
Close R,Glass,2030,Other,0.541428571428571
Close R,Glass,2030,Recycling,0.00857142857142857
Close R,Glass,2030,Reuse,0
Close R,Glass,2035,Downcycling,0.45
Close R,Glass,2035,Other,0.538571428571429
Close R,Glass,2035,Recycling,0.0114285714285714
Close R,Glass,2035,Reuse,0
Close R,Glass,2040,Downcycling,0.45
Close R,Glass,2040,Other,0.535714285714286
Close R,Glass,2040,Recycling,0.0142857142857143
Close R,Glass,2040,Reuse,0
Close R,Glass,2045,Downcycling,0.45
Close R,Glass,2045,Other,0.532857142857143
Close R,Glass,2045,Recycling,0.0171428571428571
Close R,Glass,2045,Reuse,0
Close R,Glass,2050,Downcycling,0.45
Close R,Glass,2050,Other,0.53
Close R,Glass,2050,Recycling,0.02
Close R,Glass,2050,Reuse,0
Close R,Glass,2055,Downcycling,0.45
Close R,Glass,2055,Other,0.53
Close R,Glass,2055,Recycling,0.02
Close R,Glass,2055,Reuse,0
Close R,Glass,2060,Downcycling,0.45
Close R,Glass,2060,Other,0.53
Close R,Glass,2060,Recycling,0.02
Close R,Glass,2060,Reuse,0
Close R,Glass,2065,Downcycling,0.45
Close R,Glass,2065,Other,0.53
Close R,Glass,2065,Recycling,0.02
Close R,Glass,2065,Reuse,0
Close R,Glass,2070,Downcycling,0.45
Close R,Glass,2070,Other,0.53
Close R,Glass,2070,Recycling,0.02
Close R,Glass,2070,Reuse,0
Close R,Glass,2075,Downcycling,0.45
Close R,Glass,2075,Other,0.53
Close R,Glass,2075,Recycling,0.02
Close R,Glass,2075,Reuse,0
Close R,Glass,2080,Downcycling,0.45
Close R,Glass,2080,Other,0.53
Close R,Glass,2080,Recycling,0.02
Close R,Glass,2080,Reuse,0
Close R,Glass,2085,Downcycling,0.45
Close R,Glass,2085,Other,0.53
Close R,Glass,2085,Recycling,0.02
Close R,Glass,2085,Reuse,0
Close R,Glass,2090,Downcycling,0.45
Close R,Glass,2090,Other,0.53
Close R,Glass,2090,Recycling,0.02
Close R,Glass,2090,Reuse,0
Close R,Glass,2095,Downcycling,0.45
Close R,Glass,2095,Other,0.53
Close R,Glass,2095,Recycling,0.02
Close R,Glass,2095,Reuse,0
Close R,Glass,2100,Downcycling,0.45
Close R,Glass,2100,Other,0.53
Close R,Glass,2100,Recycling,0.02
Close R,Glass,2100,Reuse,0
Close R,Steel,2015,Downcycling,0
Close R,Steel,2015,Other,0.43
Close R,Steel,2015,Recycling,0.52
Close R,Steel,2015,Reuse,0.05
Close R,Steel,2020,Downcycling,0
Close R,Steel,2020,Other,0.411428571428571
Close R,Steel,2020,Recycling,0.534285714285714
Close R,Steel,2020,Reuse,0.0542857142857143
Close R,Steel,2025,Downcycling,0
Close R,Steel,2025,Other,0.392857142857143
Close R,Steel,2025,Recycling,0.548571428571429
Close R,Steel,2025,Reuse,0.0585714285714286
Close R,Steel,2030,Downcycling,0
Close R,Steel,2030,Other,0.374285714285714
Close R,Steel,2030,Recycling,0.562857142857143
Close R,Steel,2030,Reuse,0.0628571428571429
Close R,Steel,2035,Downcycling,0
Close R,Steel,2035,Other,0.355714285714286
Close R,Steel,2035,Recycling,0.577142857142857
Close R,Steel,2035,Reuse,0.0671428571428571
Close R,Steel,2040,Downcycling,0
Close R,Steel,2040,Other,0.337142857142857
Close R,Steel,2040,Recycling,0.591428571428571
Close R,Steel,2040,Reuse,0.0714285714285714
Close R,Steel,2045,Downcycling,0
Close R,Steel,2045,Other,0.318571428571429
Close R,Steel,2045,Recycling,0.605714285714286
Close R,Steel,2045,Reuse,0.0757142857142857
Close R,Steel,2050,Downcycling,0
Close R,Steel,2050,Other,0.3
Close R,Steel,2050,Recycling,0.62
Close R,Steel,2050,Reuse,0.08
Close R,Steel,2055,Downcycling,0
Close R,Steel,2055,Other,0.3
Close R,Steel,2055,Recycling,0.62
Close R,Steel,2055,Reuse,0.08
Close R,Steel,2060,Downcycling,0
Close R,Steel,2060,Other,0.3
Close R,Steel,2060,Recycling,0.62
Close R,Steel,2060,Reuse,0.08
Close R,Steel,2065,Downcycling,0
Close R,Steel,2065,Other,0.3
Close R,Steel,2065,Recycling,0.62
Close R,Steel,2065,Reuse,0.08
Close R,Steel,2070,Downcycling,0
Close R,Steel,2070,Other,0.3
Close R,Steel,2070,Recycling,0.62
Close R,Steel,2070,Reuse,0.08
Close R,Steel,2075,Downcycling,0
Close R,Steel,2075,Other,0.3
Close R,Steel,2075,Recycling,0.62
Close R,Steel,2075,Reuse,0.08
Close R,Steel,2080,Downcycling,0
Close R,Steel,2080,Other,0.3
Close R,Steel,2080,Recycling,0.62
Close R,Steel,2080,Reuse,0.08
Close R,Steel,2085,Downcycling,0
Close R,Steel,2085,Other,0.3
Close R,Steel,2085,Recycling,0.62
Close R,Steel,2085,Reuse,0.08
Close R,Steel,2090,Downcycling,0
Close R,Steel,2090,Other,0.3
Close R,Steel,2090,Recycling,0.62
Close R,Steel,2090,Reuse,0.08
Close R,Steel,2095,Downcycling,0
Close R,Steel,2095,Other,0.3
Close R,Steel,2095,Recycling,0.62
Close R,Steel,2095,Reuse,0.08
Close R,Steel,2100,Downcycling,0
Close R,Steel,2100,Other,0.3
Close R,Steel,2100,Recycling,0.62
Close R,Steel,2100,Reuse,0.08
Close R,Wood,2015,Downcycling,0.35
Close R,Wood,2015,Other,0.6
Close R,Wood,2015,Recycling,0
Close R,Wood,2015,Reuse,0.05
Close R,Wood,2020,Downcycling,0.35
Close R,Wood,2020,Other,0.592857142857143
Close R,Wood,2020,Recycling,0
Close R,Wood,2020,Reuse,0.0571428571428571
Close R,Wood,2025,Downcycling,0.35
Close R,Wood,2025,Other,0.585714285714286
Close R,Wood,2025,Recycling,0
Close R,Wood,2025,Reuse,0.0642857142857143
Close R,Wood,2030,Downcycling,0.35
Close R,Wood,2030,Other,0.578571428571429
Close R,Wood,2030,Recycling,0
Close R,Wood,2030,Reuse,0.0714285714285714
Close R,Wood,2035,Downcycling,0.35
Close R,Wood,2035,Other,0.571428571428571
Close R,Wood,2035,Recycling,0
Close R,Wood,2035,Reuse,0.0785714285714286
Close R,Wood,2040,Downcycling,0.35
Close R,Wood,2040,Other,0.564285714285714
Close R,Wood,2040,Recycling,0
Close R,Wood,2040,Reuse,0.0857142857142857
Close R,Wood,2045,Downcycling,0.35
Close R,Wood,2045,Other,0.557142857142857
Close R,Wood,2045,Recycling,0
Close R,Wood,2045,Reuse,0.0928571428571429
Close R,Wood,2050,Downcycling,0.35
Close R,Wood,2050,Other,0.55
Close R,Wood,2050,Recycling,0
Close R,Wood,2050,Reuse,0.1
Close R,Wood,2055,Downcycling,0.35
Close R,Wood,2055,Other,0.55
Close R,Wood,2055,Recycling,0
Close R,Wood,2055,Reuse,0.1
Close R,Wood,2060,Downcycling,0.35
Close R,Wood,2060,Other,0.55
Close R,Wood,2060,Recycling,0
Close R,Wood,2060,Reuse,0.1
Close R,Wood,2065,Downcycling,0.35
Close R,Wood,2065,Other,0.55
Close R,Wood,2065,Recycling,0
Close R,Wood,2065,Reuse,0.1
Close R,Wood,2070,Downcycling,0.35
Close R,Wood,2070,Other,0.55
Close R,Wood,2070,Recycling,0
Close R,Wood,2070,Reuse,0.1
Close R,Wood,2075,Downcycling,0.35
Close R,Wood,2075,Other,0.55
Close R,Wood,2075,Recycling,0
Close R,Wood,2075,Reuse,0.1
Close R,Wood,2080,Downcycling,0.35
Close R,Wood,2080,Other,0.55
Close R,Wood,2080,Recycling,0
Close R,Wood,2080,Reuse,0.1
Close R,Wood,2085,Downcycling,0.35
Close R,Wood,2085,Other,0.55
Close R,Wood,2085,Recycling,0
Close R,Wood,2085,Reuse,0.1
Close R,Wood,2090,Downcycling,0.35
Close R,Wood,2090,Other,0.55
Close R,Wood,2090,Recycling,0
Close R,Wood,2090,Reuse,0.1
Close R,Wood,2095,Downcycling,0.35
Close R,Wood,2095,Other,0.55
Close R,Wood,2095,Recycling,0
Close R,Wood,2095,Reuse,0.1
Close R,Wood,2100,Downcycling,0.35
Close R,Wood,2100,Other,0.55
Close R,Wood,2100,Recycling,0
Close R,Wood,2100,Reuse,0.1
Close TP,Aluminium,2015,Downcycling,0
Close TP,Aluminium,2015,Other,0.61
Close TP,Aluminium,2015,Recycling,0.39
Close TP,Aluminium,2015,Reuse,0
Close TP,Aluminium,2020,Downcycling,0
Close TP,Aluminium,2020,Other,0.567142857142857
Close TP,Aluminium,2020,Recycling,0.432857142857143
Close TP,Aluminium,2020,Reuse,0
Close TP,Aluminium,2025,Downcycling,0
Close TP,Aluminium,2025,Other,0.524285714285714
Close TP,Aluminium,2025,Recycling,0.475714285714286
Close TP,Aluminium,2025,Reuse,0
Close TP,Aluminium,2030,Downcycling,0
Close TP,Aluminium,2030,Other,0.481428571428571
Close TP,Aluminium,2030,Recycling,0.518571428571429
Close TP,Aluminium,2030,Reuse,0
Close TP,Aluminium,2035,Downcycling,0
Close TP,Aluminium,2035,Other,0.438571428571429
Close TP,Aluminium,2035,Recycling,0.561428571428571
Close TP,Aluminium,2035,Reuse,0
Close TP,Aluminium,2040,Downcycling,0
Close TP,Aluminium,2040,Other,0.395714285714286
Close TP,Aluminium,2040,Recycling,0.604285714285714
Close TP,Aluminium,2040,Reuse,0
Close TP,Aluminium,2045,Downcycling,0
Close TP,Aluminium,2045,Other,0.352857142857143
Close TP,Aluminium,2045,Recycling,0.647142857142857
Close TP,Aluminium,2045,Reuse,0
Close TP,Aluminium,2050,Downcycling,0
Close TP,Aluminium,2050,Other,0.31
Close TP,Aluminium,2050,Recycling,0.69
Close TP,Aluminium,2050,Reuse,0
Close TP,Aluminium,2055,Downcycling,0
Close TP,Aluminium,2055,Other,0.31
Close TP,Aluminium,2055,Recycling,0.69
Close TP,Aluminium,2055,Reuse,0
Close TP,Aluminium,2060,Downcycling,0
Close TP,Aluminium,2060,Other,0.31
Close TP,Aluminium,2060,Recycling,0.69
Close TP,Aluminium,2060,Reuse,0
Close TP,Aluminium,2065,Downcycling,0
Close TP,Aluminium,2065,Other,0.31
Close TP,Aluminium,2065,Recycling,0.69
Close TP,Aluminium,2065,Reuse,0
Close TP,Aluminium,2070,Downcycling,0
Close TP,Aluminium,2070,Other,0.31
Close TP,Aluminium,2070,Recycling,0.69
Close TP,Aluminium,2070,Reuse,0
Close TP,Aluminium,2075,Downcycling,0
Close TP,Aluminium,2075,Other,0.31
Close TP,Aluminium,2075,Recycling,0.69
Close TP,Aluminium,2075,Reuse,0
Close TP,Aluminium,2080,Downcycling,0
Close TP,Aluminium,2080,Other,0.31
Close TP,Aluminium,2080,Recycling,0.69
Close TP,Aluminium,2080,Reuse,0
Close TP,Aluminium,2085,Downcycling,0
Close TP,Aluminium,2085,Other,0.31
Close TP,Aluminium,2085,Recycling,0.69
Close TP,Aluminium,2085,Reuse,0
Close TP,Aluminium,2090,Downcycling,0
Close TP,Aluminium,2090,Other,0.31
Close TP,Aluminium,2090,Recycling,0.69
Close TP,Aluminium,2090,Reuse,0
Close TP,Aluminium,2095,Downcycling,0
Close TP,Aluminium,2095,Other,0.31
Close TP,Aluminium,2095,Recycling,0.69
Close TP,Aluminium,2095,Reuse,0
Close TP,Aluminium,2100,Downcycling,0
Close TP,Aluminium,2100,Other,0.31
Close TP,Aluminium,2100,Recycling,0.69
Close TP,Aluminium,2100,Reuse,0
Close TP,Brick,2015,Downcycling,0.7
Close TP,Brick,2015,Other,0.25
Close TP,Brick,2015,Recycling,0
Close TP,Brick,2015,Reuse,0.05
Close TP,Brick,2020,Downcycling,0.7
Close TP,Brick,2020,Other,0.225714285714286
Close TP,Brick,2020,Recycling,0.00285714285714286
Close TP,Brick,2020,Reuse,0.0714285714285714
Close TP,Brick,2025,Downcycling,0.7
Close TP,Brick,2025,Other,0.201428571428571
Close TP,Brick,2025,Recycling,0.00571428571428571
Close TP,Brick,2025,Reuse,0.0928571428571429
Close TP,Brick,2030,Downcycling,0.7
Close TP,Brick,2030,Other,0.177142857142857
Close TP,Brick,2030,Recycling,0.00857142857142857
Close TP,Brick,2030,Reuse,0.114285714285714
Close TP,Brick,2035,Downcycling,0.7
Close TP,Brick,2035,Other,0.152857142857143
Close TP,Brick,2035,Recycling,0.0114285714285714
Close TP,Brick,2035,Reuse,0.135714285714286
Close TP,Brick,2040,Downcycling,0.7
Close TP,Brick,2040,Other,0.128571428571429
Close TP,Brick,2040,Recycling,0.0142857142857143
Close TP,Brick,2040,Reuse,0.157142857142857
Close TP,Brick,2045,Downcycling,0.7
Close TP,Brick,2045,Other,0.104285714285714
Close TP,Brick,2045,Recycling,0.0171428571428571
Close TP,Brick,2045,Reuse,0.178571428571429
Close TP,Brick,2050,Downcycling,0.7
Close TP,Brick,2050,Other,0.08
Close TP,Brick,2050,Recycling,0.02
Close TP,Brick,2050,Reuse,0.2
Close TP,Brick,2055,Downcycling,0.7
Close TP,Brick,2055,Other,0.08
Close TP,Brick,2055,Recycling,0.02
Close TP,Brick,2055,Reuse,0.2
Close TP,Brick,2060,Downcycling,0.7
Close TP,Brick,2060,Other,0.08
Close TP,Brick,2060,Recycling,0.02
Close TP,Brick,2060,Reuse,0.2
Close TP,Brick,2065,Downcycling,0.7
Close TP,Brick,2065,Other,0.08
Close TP,Brick,2065,Recycling,0.02
Close TP,Brick,2065,Reuse,0.2
Close TP,Brick,2070,Downcycling,0.7
Close TP,Brick,2070,Other,0.08
Close TP,Brick,2070,Recycling,0.02
Close TP,Brick,2070,Reuse,0.2
Close TP,Brick,2075,Downcycling,0.7
Close TP,Brick,2075,Other,0.08
Close TP,Brick,2075,Recycling,0.02
Close TP,Brick,2075,Reuse,0.2
Close TP,Brick,2080,Downcycling,0.7
Close TP,Brick,2080,Other,0.08
Close TP,Brick,2080,Recycling,0.02
Close TP,Brick,2080,Reuse,0.2
Close TP,Brick,2085,Downcycling,0.7
Close TP,Brick,2085,Other,0.08
Close TP,Brick,2085,Recycling,0.02
Close TP,Brick,2085,Reuse,0.2
Close TP,Brick,2090,Downcycling,0.7
Close TP,Brick,2090,Other,0.08
Close TP,Brick,2090,Recycling,0.02
Close TP,Brick,2090,Reuse,0.2
Close TP,Brick,2095,Downcycling,0.7
Close TP,Brick,2095,Other,0.08
Close TP,Brick,2095,Recycling,0.02
Close TP,Brick,2095,Reuse,0.2
Close TP,Brick,2100,Downcycling,0.7
Close TP,Brick,2100,Other,0.08
Close TP,Brick,2100,Recycling,0.02
Close TP,Brick,2100,Reuse,0.2
Close TP,Concrete,2015,Downcycling,0.6
Close TP,Concrete,2015,Other,0.35
Close TP,Concrete,2015,Recycling,0.03
Close TP,Concrete,2015,Reuse,0.02
Close TP,Concrete,2020,Downcycling,0.6
Close TP,Concrete,2020,Other,0.324285714285714
Close TP,Concrete,2020,Recycling,0.0371428571428571
Close TP,Concrete,2020,Reuse,0.0385714285714286
Close TP,Concrete,2025,Downcycling,0.6
Close TP,Concrete,2025,Other,0.298571428571429
Close TP,Concrete,2025,Recycling,0.0442857142857143
