year,scenario,scenario_label,mat_demand_Mt,mat_primary_Mt,mat_demand_Gt,mat_primary_Gt,timestep_years,period_mat_demand_Gt,cumulative_mat_demand_Gt,cumulative_reduction_Gt,cumulative_reduction_pct
2100,N_r,Narrow R,69.69562692562835,63.55971598702308,0.06969562692562835,0.06355971598702308,10,0.6969562692562835,6.933547608406985,2.482976139957123,26.368288407794648
2100,N_tp,Narrow TP,28.083786930508072,25.546733438129476,0.028083786930508073,0.025546733438129476,10,0.2808378693050807,4.287977380284264,5.128546368079844,54.46326590500878
2100,S_r,Slow R,57.34729356639789,50.87555990080937,0.05734729356639789,0.05087555990080937,10,0.5734729356639788,4.214764920528624,5.2017588278354845,55.24075515382376
2100,S_tp,Slow TP,44.254307819626185,39.78426079143017,0.044254307819626186,0.03978426079143017,10,0.4425430781962619,3.362956637783681,6.053567110580428,64.28664411993957
2100,C_r,Close R,99.62630691094745,82.52858563620576,0.09962630691094745,0.08252858563620576,10,0.9962630691094745,9.416523748364108,0,0
2100,C_tp,Close TP,99.62630691094745,66.82811150809177,0.09962630691094745,0.06682811150809177,10,0.9962630691094745,9.416523748364108,0,0
2100,A_r,Combined R,39.852206633830164,31.040476324305853,0.03985220663383016,0.031040476324305854,10,0.3985220663383016,3.0868541475293236,6.329669600834785,67.21875046441008
2100,A_tp,Combined TP,11.501127297269672,6.803877483695922,0.011501127297269672,0.0068038774836959226,10,0.11501127297269673,1.8890633419198444,7.527460406444264,79.93884587985005
