scenario_name,year,eneff,embodied_MtCO2e
Climate policy R,2025,s1,67.0070661263131
Climate policy R,2025,s2,67.0070661263131
Climate policy R,2025,s3,67.0070661263131
Climate policy R,2025,s51_std,67.0070661263131
Climate policy R,2025,s52_low,67.0070661263131
Climate policy R,2025,sr12_low,67.0070661263131
Climate policy R,2025,sr22_low,67.0070661263131
Climate policy R,2025,sr32_low,67.0070661263131
Climate policy R,2030,s1,42.92210757535976
Climate policy R,2030,s2,42.92210757535976
Climate policy R,2030,s3,42.92210757535976
Climate policy R,2030,s51_std,42.92210757535976
Climate policy R,2030,s52_low,42.92210757535976
Climate policy R,2030,sr12_low,42.92210757535976
Climate policy R,2030,sr22_low,42.92210757535976
Climate policy R,2030,sr32_low,42.92210757535976
Climate policy R,2050,s1,17.7870734413944
Climate policy R,2050,s2,17.7870734413944
Climate policy R,2050,s3,17.7870734413944
Climate policy R,2050,s51_std,17.7870734413944
Climate policy R,2050,s52_low,17.7870734413944
Climate policy R,2050,sr12_low,17.7870734413944
Climate policy R,2050,sr22_low,17.7870734413944
Climate policy R,2050,sr32_low,17.7870734413944
Climate policy R,2060,s1,11.516100006638796
Climate policy R,2060,s2,11.516100006638796
Climate policy R,2060,s3,11.516100006638796
Climate policy R,2060,s51_std,11.516100006638796
Climate policy R,2060,s52_low,11.516100006638796
Climate policy R,2060,sr12_low,11.516100006638796
Climate policy R,2060,sr22_low,11.516100006638796
Climate policy R,2060,sr32_low,11.516100006638796
Climate policy R,2080,s1,12.555431580678283
Climate policy R,2080,s2,12.555431580678283
Climate policy R,2080,s3,12.555431580678283
Climate policy R,2080,s51_std,12.555431580678283
Climate policy R,2080,s52_low,12.555431580678283
Climate policy R,2080,sr12_low,12.555431580678283
Climate policy R,2080,sr22_low,12.555431580678283
Climate policy R,2080,sr32_low,12.555431580678283
Climate policy R,2100,s1,11.362932784971887
Climate policy R,2100,s2,11.362932784971887
Climate policy R,2100,s3,11.362932784971887
Climate policy R,2100,s51_std,11.362932784971887
Climate policy R,2100,s52_low,11.362932784971887
Climate policy R,2100,sr12_low,11.362932784971887
Climate policy R,2100,sr22_low,11.362932784971887
Climate policy R,2100,sr32_low,11.362932784971887
Combined R,2025,s1,74.7934613309304
Combined R,2025,s2,74.7934613309304
Combined R,2025,s3,74.7934613309304
Combined R,2025,s51_std,74.7934613309304
Combined R,2025,s52_low,74.7934613309304
Combined R,2025,sr11_std,74.7934613309304
Combined R,2025,sr12_low,74.7934613309304
Combined R,2025,sr21_std,74.7934613309304
Combined R,2025,sr22_low,74.7934613309304
Combined R,2025,sr31_std,74.7934613309304
Combined R,2025,sr32_low,74.7934613309304
Combined R,2030,s1,54.9595112511529
Combined R,2030,s2,54.9595112511529
Combined R,2030,s3,54.9595112511529
Combined R,2030,s51_std,54.9595112511529
Combined R,2030,s52_low,54.9595112511529
Combined R,2030,sr11_std,54.9595112511529
Combined R,2030,sr12_low,54.9595112511529
Combined R,2030,sr21_std,54.9595112511529
Combined R,2030,sr22_low,54.9595112511529
Combined R,2030,sr31_std,54.9595112511529
Combined R,2030,sr32_low,54.9595112511529
Combined R,2050,s1,26.806374534363904
Combined R,2050,s2,26.806374534363904
Combined R,2050,s3,26.806374534363904
Combined R,2050,s51_std,26.806374534363904
Combined R,2050,s52_low,26.806374534363904
Combined R,2050,sr11_std,26.806374534363904
Combined R,2050,sr12_low,26.806374534363904
Combined R,2050,sr21_std,26.806374534363904
Combined R,2050,sr22_low,26.806374534363904
Combined R,2050,sr31_std,26.806374534363904
Combined R,2050,sr32_low,26.806374534363904
Combined R,2060,s1,17.343913292058136
Combined R,2060,s2,17.343913292058136
Combined R,2060,s3,17.343913292058136
Combined R,2060,s51_std,17.343913292058136
Combined R,2060,s52_low,17.343913292058136
Combined R,2060,sr11_std,17.343913292058136
Combined R,2060,sr12_low,17.343913292058136
Combined R,2060,sr21_std,17.343913292058136
Combined R,2060,sr22_low,17.343913292058136
Combined R,2060,sr31_std,17.343913292058136
Combined R,2060,sr32_low,17.343913292058136
Combined R,2080,s1,17.6112296666149
Combined R,2080,s2,17.6112296666149
Combined R,2080,s3,17.6112296666149
Combined R,2080,s51_std,17.6112296666149
Combined R,2080,s52_low,17.6112296666149
Combined R,2080,sr11_std,17.6112296666149
Combined R,2080,sr12_low,17.6112296666149
Combined R,2080,sr21_std,17.6112296666149
Combined R,2080,sr22_low,17.6112296666149
Combined R,2080,sr31_std,17.6112296666149
Combined R,2080,sr32_low,17.6112296666149
Combined R,2100,s1,15.065624118171867
Combined R,2100,s2,15.065624118171867
Combined R,2100,s3,15.065624118171867
Combined R,2100,s51_std,15.065624118171867
Combined R,2100,s52_low,15.065624118171867
Combined R,2100,sr11_std,15.065624118171867
Combined R,2100,sr12_low,15.065624118171867
Combined R,2100,sr21_std,15.065624118171867
Combined R,2100,sr22_low,15.065624118171867
Combined R,2100,sr31_std,15.065624118171867
Combined R,2100,sr32_low,15.065624118171867
Efficiency R,2025,s1,74.79345485561988
Efficiency R,2025,s2,74.79345485561988
Efficiency R,2025,s3,74.79345485561988
Efficiency R,2025,s51_std,74.79345485561988
Efficiency R,2025,s52_low,74.79345485561988
Efficiency R,2025,sr12_low,74.79345485561988
Efficiency R,2025,sr22_low,74.79345485561988
Efficiency R,2025,sr32_low,74.79345485561988
Efficiency R,2030,s1,54.959442489467
Efficiency R,2030,s2,54.959442489467
Efficiency R,2030,s3,54.959442489467
Efficiency R,2030,s51_std,54.959442489467
Efficiency R,2030,s52_low,54.959442489467
Efficiency R,2030,sr12_low,54.959442489467
Efficiency R,2030,sr22_low,54.959442489467
Efficiency R,2030,sr32_low,54.959442489467
Efficiency R,2050,s1,26.80768282809834
Efficiency R,2050,s2,26.80768282809834
Efficiency R,2050,s3,26.80768282809834
Efficiency R,2050,s51_std,26.80768282809834
Efficiency R,2050,s52_low,26.80768282809834
Efficiency R,2050,sr12_low,26.80768282809834
Efficiency R,2050,sr22_low,26.80768282809834
Efficiency R,2050,sr32_low,26.80768282809834
Efficiency R,2060,s1,17.416413296948257
Efficiency R,2060,s2,17.416413296948257
Efficiency R,2060,s3,17.416413296948257
Efficiency R,2060,s51_std,17.416413296948257
Efficiency R,2060,s52_low,17.416413296948257
Efficiency R,2060,sr12_low,17.416413296948257
Efficiency R,2060,sr22_low,17.416413296948257
Efficiency R,2060,sr32_low,17.416413296948257
Efficiency R,2080,s1,17.683712766721083
Efficiency R,2080,s2,17.683712766721083
Efficiency R,2080,s3,17.683712766721083
Efficiency R,2080,s51_std,17.683712766721083
Efficiency R,2080,s52_low,17.683712766721083
Efficiency R,2080,sr12_low,17.683712766721083
Efficiency R,2080,sr22_low,17.683712766721083
Efficiency R,2080,sr32_low,17.683712766721083
Efficiency R,2100,s1,15.14023553326783
Efficiency R,2100,s2,15.14023553326783
Efficiency R,2100,s3,15.14023553326783
Efficiency R,2100,s51_std,15.14023553326783
Efficiency R,2100,s52_low,15.14023553326783
Efficiency R,2100,sr12_low,15.14023553326783
Efficiency R,2100,sr22_low,15.14023553326783
Efficiency R,2100,sr32_low,15.14023553326783
Reference,2025,s1,74.79346133171818
Reference,2025,s2,74.79346133171818
Reference,2025,s3,74.79346133171818
Reference,2025,s51_std,74.79346133171818
Reference,2025,s52_low,74.79346133171818
Reference,2025,sr11_std,74.79346133171818
Reference,2025,sr12_low,74.79346133171818
Reference,2025,sr21_std,74.79346133171818
Reference,2025,sr22_low,74.79346133171818
Reference,2025,sr31_std,74.79346133171818
Reference,2025,sr32_low,74.79346133171818
Reference,2030,s1,60.26326412319985
Reference,2030,s2,60.26326412319985
Reference,2030,s3,60.26326412319985
Reference,2030,s51_std,60.26326412319985
Reference,2030,s52_low,60.26326412319985
Reference,2030,sr11_std,60.26326412319985
Reference,2030,sr12_low,60.26326412319985
Reference,2030,sr21_std,60.26326412319985
Reference,2030,sr22_low,60.26326412319985
Reference,2030,sr31_std,60.26326412319985
Reference,2030,sr32_low,60.26326412319985
Reference,2050,s1,59.27840504582531
Reference,2050,s2,59.27840504582531
Reference,2050,s3,59.27840504582531
Reference,2050,s51_std,59.27840504582531
Reference,2050,s52_low,59.27840504582531
Reference,2050,sr11_std,59.27840504582531
Reference,2050,sr12_low,59.27840504582531
Reference,2050,sr21_std,59.27840504582531
Reference,2050,sr22_low,59.27840504582531
Reference,2050,sr31_std,59.27840504582531
Reference,2050,sr32_low,59.27840504582531
Reference,2060,s1,52.75362194212732
Reference,2060,s2,52.75362194212732
Reference,2060,s3,52.75362194212732
