REGNUM,ISO,NAME,GLOBAL_SOUTH,REGION_GEA,CDD (Popwtd),GDPpercap,access_elec,slum_pop,AC_penetr,AC_penetr_R,AC_penetr_U
116,MKD,TFYR Macedonia,0,EEU,138,32255,1,0,0.25897147,0.25897147,0.25897147
117,MLI,Mali,1,AFR,3702,6376,1,0,0.066490629,0.066490629,0.066490629
118,MLT,Malta,0,WEU,,63709,1,0,0.050999102,0.050999102,0.050999102
119,MMR,Myanmar,1,PAS,2719,,1,0,,,
120,MNE,Montenegro,0,EEU,98,,1,0,,,
121,MNG,Mongolia,1,CPA,61,13051,1,0,0.039479059,0.039479059,0.039479059
122,MOZ,Mozambique,1,AFR,1981,4442,1,0,0.042130742,0.042130742,0.042130742
123,MRT,Mauritania,1,AFR,3732,6916,1,0,0.074891967,0.074891967,0.074891967
124,MUS,Mauritius,1,AFR,1798,18095,1,0,0.51651044,0.51651044,0.51651044
125,MWI,Malawi,1,AFR,1456,4175,1,0,0.038069328,0.038069328,0.038069328
126,MYS,Malaysia,1,PAS,2686,26393,1,0,0.885638001,0.885638001,0.885638001
127,NAM,Namibia,1,AFR,1362,18770,1,0,0.530951682,0.530951682,0.530951682
128,NCL,New Caledonia,1,PAS,1321,,1,0,,,
129,NER,Niger,1,AFR,3719,3200,1,0,0.032466651,0.032466651,0.032466651
130,NGA,Nigeria,1,AFR,3087,11827,1,0,0.205425389,0.205425389,0.205425389
131,NIC,Nicaragua,1,LAC,2430,8794,1,0,0.111131441,0.111131441,0.111131441
132,NLD,Netherlands,0,WEU,61,80466,1,0,0.15330642,0.15330642,0.15330642
133,NOR,Norway,0,WEU,14,92697,1,0,0.07552242,0.07552242,0.07552242
134,NPL,Nepal,1,SAS,1442,5761,1,0,0.054335083,0.054335083,0.054335083
135,NZL,New Zealand,0,PAO,59,51365,1,0,0.150084631,0.150084631,0.150084631
136,OMN,Oman,1,MEA,2536,30121,1,0,0.944092238,0.944092238,0.944092238
137,PAK,Pakistan,1,SAS,2436,9911,1,0,0.14006375,0.14006375,0.14006375
138,PAN,Panama,1,LAC,2499,26247,1,0,0.879935786,0.879935786,0.879935786
139,PER,Peru,1,LAC,971,22451,1,0,0.645134401,0.645134401,0.645134401
140,PHL,Philippines,1,PAS,2715,11980,1,0,0.210773466,0.210773466,0.210773466
141,PNG,Papua New Guinea,1,PAS,2092,16318,1,0,0.421169739,0.421169739,0.421169739
142,POL,Poland,0,EEU,96,40646,1,0,0.206089686,0.206089686,0.206089686
143,PRI,Puerto Rico,0,NAM,2233,36581,1,0,0.974780419,0.974780419,0.974780419
144,PRK,North Korea,1,CPA,350,,1,0,,,
145,PRT,Portugal,0,WEU,346,63019,1,0,0.503089567,0.503089567,0.503089567
146,PRY,Paraguay,1,LAC,1659,13191,1,0,0.252655752,0.252655752,0.252655752
147,PSE,Occupied Palestinian Terr.,1,MEA,959,,1,0,,,
148,PYF,French Polynesia,1,PAS,1221,,1,0,,,
149,QAT,Qatar,1,MEA,3226,,1,0,,,
150,ROU,Romania,0,EEU,209,32555,1,0,0.348140337,0.348140337,0.348140337
151,RUS,Russian Federation,0,FSU,170,32456,1,0,0.300711877,0.300711877,0.300711877
152,RWA,Rwanda,1,AFR,337,3796,1,0,0.018422666,0.018422666,0.018422666
153,SAU,Saudi Arabia,1,MEA,2584,28144,1,0,0.918403681,0.918403681,0.918403681
154,SDN,Sudan,1,MEA,3683,9276,1,0,0.124042374,0.124042374,0.124042374
155,SEN,Senegal,1,AFR,3053,6374,1,0,0.06631409,0.06631409,0.06631409
156,SGP,Singapore,1,PAS,,79330,1,0,0.050999978,0.050999978,0.050999978
