scenario,ssp,region_gea,urt,arch,material,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
nsp,nsp,CPA,urb,mfh,wood,39.58206186,39.58206186,39.58206186,39.58206186,39.58206186,39.58206186,39.58206186,39.58206186,39.58206186,39.58206186,39.58206186,39.58206186,39.58206186,39.58206186,39.58206186,39.58206186,39.58206186,39.58206186
nsp,nsp,CPA,urb,sfh,aluminum,3.927777778,3.927777778,3.927777778,3.927777778,3.927777778,3.927777778,3.927777778,3.927777778,3.927777778,3.927777778,3.927777778,3.927777778,3.927777778,3.927777778,3.927777778,3.927777778,3.927777778,3.927777778
nsp,nsp,CPA,urb,sfh,concrete,1613.295556,1613.295556,1613.295556,1613.295556,1613.295556,1613.295556,1613.295556,1613.295556,1613.295556,1613.295556,1613.295556,1613.295556,1613.295556,1613.295556,1613.295556,1613.295556,1613.295556,1613.295556
nsp,nsp,CPA,urb,sfh,copper,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667
nsp,nsp,CPA,urb,sfh,glass,3.285555556,3.285555556,3.285555556,3.285555556,3.285555556,3.285555556,3.285555556,3.285555556,3.285555556,3.285555556,3.285555556,3.285555556,3.285555556,3.285555556,3.285555556,3.285555556,3.285555556,3.285555556
nsp,nsp,CPA,urb,sfh,steel,32.03888889,32.03888889,32.03888889,32.03888889,32.03888889,32.03888889,32.03888889,32.03888889,32.03888889,32.03888889,32.03888889,32.03888889,32.03888889,32.03888889,32.03888889,32.03888889,32.03888889,32.03888889
nsp,nsp,CPA,urb,sfh,wood,46.72777778,46.72777778,46.72777778,46.72777778,46.72777778,46.72777778,46.72777778,46.72777778,46.72777778,46.72777778,46.72777778,46.72777778,46.72777778,46.72777778,46.72777778,46.72777778,46.72777778,46.72777778
nsp,nsp,EEU,rur,mfh,aluminum,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095
nsp,nsp,EEU,rur,mfh,concrete,865.5451923,865.5451923,865.5451923,865.5451923,865.5451923,865.5451923,865.5451923,865.5451923,865.5451923,865.5451923,865.5451923,865.5451923,865.5451923,865.5451923,865.5451923,865.5451923,865.5451923,865.5451923
nsp,nsp,EEU,rur,mfh,copper,0.131153846,0.131153846,0.131153846,0.131153846,0.131153846,0.131153846,0.131153846,0.131153846,0.131153846,0.131153846,0.131153846,0.131153846,0.131153846,0.131153846,0.131153846,0.131153846,0.131153846,0.131153846
nsp,nsp,EEU,rur,mfh,glass,5.199423077,5.199423077,5.199423077,5.199423077,5.199423077,5.199423077,5.199423077,5.199423077,5.199423077,5.199423077,5.199423077,5.199423077,5.199423077,5.199423077,5.199423077,5.199423077,5.199423077,5.199423077
nsp,nsp,EEU,rur,mfh,steel,109.0565385,109.0565385,109.0565385,109.0565385,109.0565385,109.0565385,109.0565385,109.0565385,109.0565385,109.0565385,109.0565385,109.0565385,109.0565385,109.0565385,109.0565385,109.0565385,109.0565385,109.0565385
nsp,nsp,EEU,rur,mfh,wood,10.68557692,10.68557692,10.68557692,10.68557692,10.68557692,10.68557692,10.68557692,10.68557692,10.68557692,10.68557692,10.68557692,10.68557692,10.68557692,10.68557692,10.68557692,10.68557692,10.68557692,10.68557692
nsp,nsp,EEU,rur,sfh,aluminum,3.341639344,3.341639344,3.341639344,3.341639344,3.341639344,3.341639344,3.341639344,3.341639344,3.341639344,3.341639344,3.341639344,3.341639344,3.341639344,3.341639344,3.341639344,3.341639344,3.341639344,3.341639344
nsp,nsp,EEU,rur,sfh,concrete,1847.931639,1847.931639,1847.931639,1847.931639,1847.931639,1847.931639,1847.931639,1847.931639,1847.931639,1847.931639,1847.931639,1847.931639,1847.931639,1847.931639,1847.931639,1847.931639,1847.931639,1847.931639
nsp,nsp,EEU,rur,sfh,copper,1.617213115,1.617213115,1.617213115,1.617213115,1.617213115,1.617213115,1.617213115,1.617213115,1.617213115,1.617213115,1.617213115,1.617213115,1.617213115,1.617213115,1.617213115,1.617213115,1.617213115,1.617213115
nsp,nsp,EEU,rur,sfh,glass,31.41081967,31.41081967,31.41081967,31.41081967,31.41081967,31.41081967,31.41081967,31.41081967,31.41081967,31.41081967,31.41081967,31.41081967,31.41081967,31.41081967,31.41081967,31.41081967,31.41081967,31.41081967
nsp,nsp,EEU,rur,sfh,steel,32.64704918,32.64704918,32.64704918,32.64704918,32.64704918,32.64704918,32.64704918,32.64704918,32.64704918,32.64704918,32.64704918,32.64704918,32.64704918,32.64704918,32.64704918,32.64704918,32.64704918,32.64704918
nsp,nsp,EEU,rur,sfh,wood,95.13770492,95.13770492,95.13770492,95.13770492,95.13770492,95.13770492,95.13770492,95.13770492,95.13770492,95.13770492,95.13770492,95.13770492,95.13770492,95.13770492,95.13770492,95.13770492,95.13770492,95.13770492
nsp,nsp,EEU,urb,mfh,aluminum,2.161371429,2.161371429,2.161371429,2.161371429,2.161371429,2.161371429,2.161371429,2.161371429,2.161371429,2.161371429,2.161371429,2.161371429,2.161371429,2.161371429,2.161371429,2.161371429,2.161371429,2.161371429
nsp,nsp,EEU,urb,mfh,concrete,888.9615429,888.9615429,888.9615429,888.9615429,888.9615429,888.9615429,888.9615429,888.9615429,888.9615429,888.9615429,888.9615429,888.9615429,888.9615429,888.9615429,888.9615429,888.9615429,888.9615429,888.9615429
nsp,nsp,EEU,urb,mfh,copper,0.054571429,0.054571429,0.054571429,0.054571429,0.054571429,0.054571429,0.054571429,0.054571429,0.054571429,0.054571429,0.054571429,0.054571429,0.054571429,0.054571429,0.054571429,0.054571429,0.054571429,0.054571429
nsp,nsp,EEU,urb,mfh,glass,4.706742857,4.706742857,4.706742857,4.706742857,4.706742857,4.706742857,4.706742857,4.706742857,4.706742857,4.706742857,4.706742857,4.706742857,4.706742857,4.706742857,4.706742857,4.706742857,4.706742857,4.706742857
nsp,nsp,EEU,urb,mfh,steel,114.0650286,114.0650286,114.0650286,114.0650286,114.0650286,114.0650286,114.0650286,114.0650286,114.0650286,114.0650286,114.0650286,114.0650286,114.0650286,114.0650286,114.0650286,114.0650286,114.0650286,114.0650286
nsp,nsp,EEU,urb,mfh,wood,5.536685714,5.536685714,5.536685714,5.536685714,5.536685714,5.536685714,5.536685714,5.536685714,5.536685714,5.536685714,5.536685714,5.536685714,5.536685714,5.536685714,5.536685714,5.536685714,5.536685714,5.536685714
nsp,nsp,EEU,urb,sfh,aluminum,3.014568966,3.014568966,3.014568966,3.014568966,3.014568966,3.014568966,3.014568966,3.014568966,3.014568966,3.014568966,3.014568966,3.014568966,3.014568966,3.014568966,3.014568966,3.014568966,3.014568966,3.014568966
nsp,nsp,EEU,urb,sfh,concrete,1780.680862,1780.680862,1780.680862,1780.680862,1780.680862,1780.680862,1780.680862,1780.680862,1780.680862,1780.680862,1780.680862,1780.680862,1780.680862,1780.680862,1780.680862,1780.680862,1780.680862,1780.680862
