region_bld,region_gea,urt,clim,mat,arch,inc_cl,year,yr_con,bld_age,value
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,q1,2020,1945,p1,28837.70868217719
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,q1,2020,1960,p2,4899.932104723174
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,q2,2020,1945,p1,28837.70868217719
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,q2,2020,1960,p2,4899.932104723174
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,q3,2020,1945,p1,28837.70868217719
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,mfh,q3,2020,1960,p2,4899.932104723174
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,q1,2020,1945,p1,107733.07349637766
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,q1,2020,1960,p2,18305.363760435215
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,q2,2020,1945,p1,107733.07349637766
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,q2,2020,1960,p2,18305.363760435215
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,q3,2020,1945,p1,107733.07349637766
C-EEU-BGR,EEU,rur,Zone_4A Mixed Humid,perm,sfh,q3,2020,1960,p2,18305.363760435215
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,q1,2020,1945,p1,14114.548354305094
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,q1,2020,1960,p2,2398.2601933473416
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,q2,2020,1945,p1,14114.548354305094
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,q2,2020,1960,p2,2398.2601933473416
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,q3,2020,1945,p1,14114.548354305094
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,mfh,q3,2020,1960,p2,2398.2601933473416
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,q1,2020,1945,p1,52729.69820366926
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,q1,2020,1960,p2,8959.51703260065
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,q2,2020,1945,p1,52729.69820366926
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,q2,2020,1960,p2,8959.51703260065
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,q3,2020,1945,p1,52729.69820366926
C-EEU-BGR,EEU,rur,Zone_5A Cool Humid,perm,sfh,q3,2020,1960,p2,8959.51703260065
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,q1,2020,1945,p1,79217.24634196867
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,q1,2020,1960,p2,26321.74586643565
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,q1,2020,1965,p2,55617.21806323042
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,q1,2020,1970,p2,39122.43153349247
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,q1,2020,1975,p2,36855.45054676159
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,q1,2020,1980,p2,34771.322221300776
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,q1,2020,1985,p2,26783.33078397714
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,q1,2020,1990,p2,16778.077335586535
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,q1,2020,1995,p3,3307.7540582688025
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,q1,2020,2000,p3,6316.016928718336
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,q1,2020,2005,p3,11090.753212128518
C-EEU-BGR,EEU,urb,Zone_4A Mixed Humid,perm,mfh,q1,2020,2010,p3,12769.146449186002
