"region_bld","mat","eneff_f","value","barrier_rent","barrier_mfh","scaling_factor"
"C-EEU-BGR","perm","adv",-4.87117600498875,0.225229991591805,0.3815725033352,0.0648883854140568
"C-EEU-BGR","perm","std",-2.17357997441589,0.225229991591805,0.3815725033352,0.0648883854140568
"C-EEU-CZE","perm","adv",-5.15736095612337,0.171014999138818,0.0512524835444608,0.0648883854140568
"C-EEU-CZE","perm","std",-2.14390604404948,0.171014999138818,0.0512524835444608,0.0648883854140568
"C-EEU-EST","perm","adv",-4.96997103129125,0.308363381899837,0,0.0648883854140568
"C-EEU-EST","perm","std",-2.97530079225418,0.308363381899837,0,0.0648883854140568
"C-EEU-HUN","perm","adv",-4.75464637501828,0.294686322627919,0.271467826504227,0.0648883854140568
"C-EEU-HUN","perm","std",-2.50331773464258,0.294686322627919,0.271467826504227,0.0648883854140568
"C-EEU-LTU","perm","adv",-4.34505692503248,0.195472651212052,0,0.0648883854140568
"C-EEU-LTU","perm","std",-3.00244589215738,0.195472651212052,0,0.0648883854140568
"C-EEU-LVA","perm","adv",-7.06575962404643,0.679397623660253,0,0.0648883854140568
"C-EEU-LVA","perm","std",-2.92639598479266,0.679397623660253,0,0.0648883854140568
"C-EEU-POL","perm","adv",-6.70373001729006,0.360622467839268,0.38348924681348,0.0648883854140568
"C-EEU-POL","perm","std",-2.05875967251934,0.360622467839268,0.38348924681348,0.0648883854140568
"C-EEU-ROU","perm","adv",-5.08753280251749,1.76931259806064,0.438280203671315,0.0648883854140568
"C-EEU-ROU","perm","std",-2.28735907734287,1.76931259806064,0.438280203671315,0.0648883854140568
"C-EEU-SVK","perm","adv",-5.23979368653315,0.405316189599715,0.315018975153192,0.0648883854140568
"C-EEU-SVK","perm","std",-2.59474023673848,0.405316189599715,0.315018975153192,0.0648883854140568
"C-EEU-SVN","perm","adv",-4.92411273154293,0,0.40092670114412,0.0648883854140568
"C-EEU-SVN","perm","std",-2.15995608119563,0,0.40092670114412,0.0648883854140568
"C-WEU-AUT","perm","adv",-3.54194233057814,1.15630561698069,0,0.0648883854140568
"C-WEU-AUT","perm","std",-1.21487064776605,1.15630561698069,0,0.0648883854140568
"C-WEU-BEL","perm","adv",-3.1715361702667,0.580676879039539,0.658577178629463,0.0648883854140568
"C-WEU-BEL","perm","std",-1.88689208593582,0.580676879039539,0.658577178629463,0.0648883854140568
"C-WEU-CYP","perm","adv",-2.70671500081377,0.337323276763697,0.77364974774271,0.0648883854140568
"C-WEU-CYP","perm","std",-1.01003051274374,0.337323276763697,0.77364974774271,0.0648883854140568
"C-WEU-DEU","perm","adv",-3.96661939594583,1.1210190314439,0,0.0648883854140568
"C-WEU-DEU","perm","std",-1.61082781480133,1.1210190314439,0,0.0648883854140568
"C-WEU-DNK","perm","adv",-6.56019341436206,1.19883949335432,0,0.0648883854140568
"C-WEU-DNK","perm","std",-1.79467016320075,1.19883949335432,0,0.0648883854140568
"C-WEU-ESP","perm","adv",-4.39647290866508,0,0,0.0648883854140568
"C-WEU-ESP","perm","std",-2.47870574687071,0,0,0.0648883854140568
"C-WEU-FIN","perm","adv",-6.99202985877618,1.00538281520057,0,0.0648883854140568
"C-WEU-FIN","perm","std",-2.29691145976087,1.00538281520057,0,0.0648883854140568
"C-WEU-FRA","perm","adv",-2.88873476153825,0.880931801812242,0.453858034433413,0.0648883854140568
"C-WEU-FRA","perm","std",-1.67403950004946,0.880931801812242,0.453858034433413,0.0648883854140568
"C-WEU-GBR","perm","adv",-4.18607591059103,0.851773101625912,0,0.0648883854140568
"C-WEU-GBR","perm","std",-2.12555278307772,0.851773101625912,0,0.0648883854140568
"C-WEU-GRC","perm","adv",-4.02912092698043,0.764263363598944,0.272532419470738,0.0648883854140568
"C-WEU-GRC","perm","std",-2.14476281540043,0.764263363598944,0.272532419470738,0.0648883854140568
"C-WEU-IRL","perm","adv",-3.83382819354554,1.04602237868052,0,0.0648883854140568
"C-WEU-IRL","perm","std",-2.04338071554188,1.04602237868052,0,0.0648883854140568
"C-WEU-ITA","perm","adv",-3.4768626913651,0.235149620056183,0,0.0648883854140568
"C-WEU-ITA","perm","std",-2.05579430665934,0.235149620056183,0,0.0648883854140568
"C-WEU-LUX","perm","adv",-2.2921250985948,1.01260291887951,0.93217761399795,0.0648883854140568
"C-WEU-LUX","perm","std",-1.70403152682953,1.01260291887951,0.93217761399795,0.0648883854140568
"C-WEU-MLT","perm","adv",-4.47254797620594,0,0,0.0648883854140568
"C-WEU-MLT","perm","std",-2.57041440564776,0,0,0.0648883854140568
"C-WEU-NLD","perm","adv",-3.97011851674745,0.56507835220342,0.365185044551994,0.0648883854140568
"C-WEU-NLD","perm","std",-1.94476237257319,0.56507835220342,0.365185044551994,0.0648883854140568
"C-WEU-PRT","perm","adv",-5.02765611182132,0.516167096378236,0,0.0648883854140568
"C-WEU-PRT","perm","std",-2.50500677883152,0.516167096378236,0,0.0648883854140568
"C-WEU-SWE","perm","adv",-3.54513552874685,1.50367032189624,0,0.0648883854140568
"C-WEU-SWE","perm","std",-1.51533387385218,1.50367032189624,0,0.0648883854140568
