"region_bld","mat","eneff_f","value","barrier_rent","barrier_mfh","scaling_factor"
"C-EEU-BGR","perm","adv",-4.6312368969862,0.254525711598254,0.492527727961379,0.064891420787948
"C-EEU-BGR","perm","std",-1.99146937514692,0.254525711598254,0.492527727961379,0.064891420787948
"C-EEU-CZE","perm","adv",-4.77577355507204,0.211989167081566,0.236382580006999,0.064891420787948
"C-EEU-CZE","perm","std",-1.85546821327277,0.211989167081566,0.236382580006999,0.064891420787948
"C-EEU-EST","perm","adv",-5.00179589693568,0.312011165262261,0,0.064891420787948
"C-EEU-EST","perm","std",-2.99601796641966,0.312011165262261,0,0.064891420787948
"C-EEU-HUN","perm","adv",-4.57368102224561,0.280161363975657,0.36415638469545,0.064891420787948
"C-EEU-HUN","perm","std",-2.3611506647914,0.280161363975657,0.36415638469545,0.064891420787948
"C-EEU-LTU","perm","adv",-4.22396951983696,0.225466047616174,0,0.064891420787948
"C-EEU-LTU","perm","std",-2.91777919063153,0.225466047616174,0,0.064891420787948
"C-EEU-LVA","perm","adv",-6.82930275007363,0.707184219539236,0,0.064891420787948
"C-EEU-LVA","perm","std",-2.76472605262672,0.707184219539236,0,0.064891420787948
"C-EEU-POL","perm","adv",-6.41828255010418,0.355657468358561,0.517101529990068,0.064891420787948
"C-EEU-POL","perm","std",-1.8524415837856,0.355657468358561,0.517101529990068,0.064891420787948
"C-EEU-ROU","perm","adv",-4.59364466140169,1.89086673176843,0.641393708521168,0.064891420787948
"C-EEU-ROU","perm","std",-1.92765697656663,1.89086673176843,0.641393708521168,0.064891420787948
"C-EEU-SVK","perm","adv",-4.44672549894382,0.431516699991818,0.657024274525136,0.064891420787948
"C-EEU-SVK","perm","std",-2.02102594995115,0.431516699991818,0.657024274525136,0.064891420787948
"C-EEU-SVN","perm","adv",-4.766066700702,0,0.465173995578245,0.064891420787948
"C-EEU-SVN","perm","std",-2.04879973874365,0,0.465173995578245,0.064891420787948
"C-WEU-AUT","perm","adv",-3.24438187702016,1.13927874793878,0,0.064891420787948
"C-WEU-AUT","perm","std",-1.03109082791847,1.13927874793878,0,0.064891420787948
"C-WEU-BEL","perm","adv",-3.00729134705043,0.607561982619422,0.713629229668189,0.064891420787948
"C-WEU-BEL","perm","std",-1.79165635796871,0.607561982619422,0.713629229668189,0.064891420787948
"C-WEU-CYP","perm","adv",-2.52108565125902,0.35603528383518,0.88602683975721,0.064891420787948
"C-WEU-CYP","perm","std",-0.855942788009998,0.35603528383518,0.88602683975721,0.064891420787948
"C-WEU-DEU","perm","adv",-3.63333542096519,1.07666955433919,0,0.064891420787948
"C-WEU-DEU","perm","std",-1.40940359193764,1.07666955433919,0,0.064891420787948
"C-WEU-DNK","perm","adv",-6.33601761174949,1.19844865150817,0,0.064891420787948
"C-WEU-DNK","perm","std",-1.64503907076203,1.19844865150817,0,0.064891420787948
"C-WEU-ESP","perm","adv",-3.9681266958639,0,0,0.064891420787948
"C-WEU-ESP","perm","std",-2.2086253165498,0,0,0.064891420787948
"C-WEU-FIN","perm","adv",-6.94340445063952,1.00537876529079,0,0.064891420787948
"C-WEU-FIN","perm","std",-2.26196188757653,1.00537876529079,0,0.064891420787948
"C-WEU-FRA","perm","adv",-2.78637638884531,0.728258539878366,0.51736471322522,0.064891420787948
"C-WEU-FRA","perm","std",-1.60480182471892,0.728258539878366,0.51736471322522,0.064891420787948
"C-WEU-GRC","perm","adv",-3.51180434516993,0.763999155463036,0.517623735727323,0.064891420787948
"C-WEU-GRC","perm","std",-1.75494861077542,0.763999155463036,0.517623735727323,0.064891420787948
"C-WEU-HRV","perm","adv",-4.95281846747035,0,0,0.064891420787948
"C-WEU-HRV","perm","std",-2.19220561091528,0,0,0.064891420787948
"C-WEU-IRL","perm","adv",-3.29235509152475,1.02931418051056,0,0.064891420787948
"C-WEU-IRL","perm","std",-1.76608504940619,1.02931418051056,0,0.064891420787948
"C-WEU-ITA","perm","adv",-3.319740515705,0.277932602699467,0,0.064891420787948
"C-WEU-ITA","perm","std",-1.95550611340389,0.277932602699467,0,0.064891420787948
"C-WEU-LUX","perm","adv",-1.88834865236125,1.04443955142029,1.11040210030111,0.064891420787948
"C-WEU-LUX","perm","std",-1.43215408690961,1.04443955142029,1.11040210030111,0.064891420787948
"C-WEU-MLT","perm","adv",-4.27028768972222,0,0,0.064891420787948
"C-WEU-MLT","perm","std",-2.44308098929596,0,0,0.064891420787948
"C-WEU-NLD","perm","adv",-3.28177112118857,0.561136702263864,0.727516945476375,0.064891420787948
"C-WEU-NLD","perm","std",-1.43322275565977,0.561136702263864,0.727516945476375,0.064891420787948
"C-WEU-PRT","perm","adv",-4.62050267752604,0.560469095499722,0,0.064891420787948
"C-WEU-PRT","perm","std",-2.22203301822866,0.560469095499722,0,0.064891420787948
"C-WEU-SWE","perm","adv",-3.50142684683224,1.44515602455837,0,0.064891420787948
"C-WEU-SWE","perm","std",-1.48224839753514,1.44515602455837,0,0.064891420787948
