region_bld,mat,eneff_f,value,barrier_rent,barrier_mfh,scaling_factor
C-EEU-BGR,perm,adv,-4.511031551,0.194359954,0.505226244,0.176929259
C-EEU-BGR,perm,std,-1.625852776,0.194359954,0.505226244,0.176929259
C-EEU-CZE,perm,adv,-4.653082801,0.119297628,0.38959622,0.10995209
C-EEU-CZE,perm,std,-1.585464256,0.119297628,0.38959622,0.10995209
C-EEU-EST,perm,adv,-5.176559581,0.234721515,0,0.15871794
C-EEU-EST,perm,std,-2.461929507,0.234721515,0,0.15871794
C-EEU-HUN,perm,adv,-4.150853366,0.292384994,0.842022944,0.104986188
C-EEU-HUN,perm,std,-1.86313764,0.292384994,0.842022944,0.104986188
C-EEU-LTU,perm,adv,-4.591955416,0.144424905,0,0.128709287
C-EEU-LTU,perm,std,-2.542789389,0.144424905,0,0.128709287
C-EEU-LVA,perm,adv,-5.536461664,0.588611183,0,0.188510013
C-EEU-LVA,perm,std,-2.562139014,0.588611183,0,0.188510013
C-EEU-POL,perm,adv,-6.060005289,0.343070389,0.696838556,0.146743514
C-EEU-POL,perm,std,-1.543010552,0.343070389,0.696838556,0.146743514
C-EEU-ROU,perm,adv,-4.782988873,1.67371544,0.707747694,0.156793549
C-EEU-ROU,perm,std,-1.816906428,1.67371544,0.707747694,0.156793549
C-EEU-SVK,perm,adv,-5.148725343,0.383716463,0.603598657,0.093714306
C-EEU-SVK,perm,std,-2.145573715,0.383716463,0.603598657,0.093714306
C-EEU-SVN,perm,adv,-4.702637325,0,0.428482021,0.114176621
C-EEU-SVN,perm,std,-1.801996638,0,0.428482021,0.114176621
C-WEU-AUT,perm,adv,-3.418086115,1.126165708,0,0.042162425
C-WEU-AUT,perm,std,-1.130475754,1.126165708,0,0.042162425
C-WEU-BEL,perm,adv,-2.962631076,0.476460388,0.890529195,0.065355838
C-WEU-BEL,perm,std,-1.77942278,0.476460388,0.890529195,0.065355838
C-WEU-CYP,perm,adv,-2.834392389,0.28767327,0.580349885,0.069490816
C-WEU-CYP,perm,std,-1.032794079,0.28767327,0.580349885,0.069490816
C-WEU-DEU,perm,adv,-4.061942613,1.093302619,0,0.036391156
C-WEU-DEU,perm,std,-1.755719037,1.093302619,0,0.036391156
C-WEU-DNK,perm,adv,-7.09928241,1.176697613,0,0.027339149
C-WEU-DNK,perm,std,-2.226660326,1.176697613,0,0.027339149
C-WEU-ESP,perm,adv,-6.099135221,0,0,0.244573121
C-WEU-ESP,perm,std,-2.926164277,0,0,0.244573121
C-WEU-FIN,perm,adv,-7.675416194,0.988878438,0,0.024281441
C-WEU-FIN,perm,std,-3.001160094,0.988878438,0,0.024281441
C-WEU-FRA,perm,adv,-2.715757747,0.8335074,0.892205775,0.051643492
C-WEU-FRA,perm,std,-1.528547783,0.8335074,0.892205775,0.051643492
C-WEU-GBR,perm,adv,-3.912746122,0.731121704,0,0.064084894
C-WEU-GBR,perm,std,-2.016794094,0.731121704,0,0.064084894
C-WEU-GRC,perm,adv,-3.802152394,0.723592955,0.544245666,0.063007041
C-WEU-GRC,perm,std,-1.898935551,0.723592955,0.544245666,0.063007041
C-WEU-IRL,perm,adv,-4.195792843,1.00865444,0,0.028512813
C-WEU-IRL,perm,std,-2.391581044,1.00865444,0,0.028512813
C-WEU-ITA,perm,adv,-2.955315738,0.099094794,0,0.084694104
C-WEU-ITA,perm,std,-1.763767031,0.099094794,0,0.084694104
C-WEU-LUX,perm,adv,-3.470288971,0.934336041,0.892088273,0.028146089
C-WEU-LUX,perm,std,-2.545898099,0.934336041,0.892088273,0.028146089
C-WEU-MLT,perm,adv,-4.633667764,0,0,0.056942162
C-WEU-MLT,perm,std,-2.568381354,0,0,0.056942162
C-WEU-NLD,perm,adv,-4.118979466,0.404306105,0.421637291,0.044060781
C-WEU-NLD,perm,std,-2.152354408,0.404306105,0.421637291,0.044060781
C-WEU-PRT,perm,adv,-4.427224177,0.358008683,0,0.156358766
C-WEU-PRT,perm,std,-2.295692358,0.358008683,0,0.156358766
C-WEU-SWE,perm,adv,-4.107691746,1.484758249,0,0.026852774
C-WEU-SWE,perm,std,-1.987912206,1.484758249,0,0.026852774
