id,scen,year,clim
1,ssp2,2020,2020
2,ssp2,2030,2030
3,ssp2,2040,2040
4,ssp2,2050,2050
5,ssp2,2060,2060
6,ssp2,2070,2070
7,ssp2,2080,2080
8,ssp2,2090,2090
9,ssp2,2100,2100
