country,sector,sector_code,scenario,scenario_name,year,floor_total_Mm2,floor_added_Mm2,floor_demolished_Mm2
AUT,Residential,resid,R,Reference,2025,350.9612267060129,2.876677290679619,0.7993979994757482
AUT,Residential,resid,R,Reference,2030,353.8262366206663,2.374817251299219,0.7594240343313079
AUT,Residential,resid,R,Reference,2035,356.1650442370272,2.171513149251422,0.7251815719681113
AUT,Residential,resid,R,Reference,2040,358.2351651482827,2.010335916213659,0.7002475901609184
AUT,Residential,resid,R,Reference,2045,360.4303269489609,1.9155037748508306,0.6854990805677169
AUT,Residential,resid,R,Reference,2050,362.46419009448954,1.801264652874671,0.6818729345381123
AUT,Residential,resid,R,Reference,2055,363.6715048592846,1.606393415210696,0.6896403724615867
AUT,Residential,resid,R,Reference,2060,364.1573544157163,1.43901870006063,0.7087302861387786
AUT,Residential,resid,R,Reference,2070,363.6232056145588,1.2712516089072827,0.7735175584975559
AUT,Residential,resid,R,Reference,2080,361.5021341098811,1.121802631015616,0.8803761576065692
AUT,Residential,resid,R,Reference,2090,355.20750106381774,0.8169826495651621,1.023568159491568
AUT,Residential,resid,R,Reference,2100,346.20194152426274,0.6582732914547301,1.1831900706455862
AUT,Residential,resid,N_r,Narrow R,2025,350.9612267060129,2.876677290679619,0.7993979994757482
AUT,Residential,resid,N_r,Narrow R,2030,338.06605757830744,2.096976463748712,0.7294265343946015
AUT,Residential,resid,N_r,Narrow R,2035,324.97638807669483,1.841559626872852,0.6664070791344665
AUT,Residential,resid,N_r,Narrow R,2040,312.14673984784207,1.587892719578235,0.6150095119456844
AUT,Residential,resid,N_r,Narrow R,2045,299.99402534575904,1.4578946124602317,0.5755431561098108
AUT,Residential,resid,N_r,Narrow R,2050,287.99177552088406,1.3155908746449996,0.5471473233831804
AUT,Residential,resid,N_r,Narrow R,2055,289.06471814595204,1.2906695025446016,0.5525701385614368
AUT,Residential,resid,N_r,Narrow R,2060,289.55538735876166,1.1569797633290992,0.5681521965390469
AUT,Residential,resid,N_r,Narrow R,2070,289.31479770356526,1.0230973782570116,0.6202481106982151
AUT,Residential,resid,N_r,Narrow R,2080,287.7826844932158,0.9036988495062905,0.7059399010989432
AUT,Residential,resid,N_r,Narrow R,2090,282.90236065850036,0.6594844909875837,0.8201220701360407
AUT,Residential,resid,N_r,Narrow R,2100,275.83969734579387,0.5312502524689565,0.9466559552933307
AUT,Residential,resid,N_tp,Narrow TP,2025,350.9612267060129,2.876677290679619,0.7993979994757482
AUT,Residential,resid,N_tp,Narrow TP,2030,311.27019591593523,2.137174914938838,0.675492533040529
AUT,Residential,resid,N_tp,Narrow TP,2035,273.39712180373704,1.916854600550374,0.5595513252588262
AUT,Residential,resid,N_tp,Narrow TP,2040,237.6635312687477,1.7175466821097192,0.4609405385229663
AUT,Residential,resid,N_tp,Narrow TP,2045,204.59360049409207,1.3258308228791102,0.3773888233069191
AUT,Residential,resid,N_tp,Narrow TP,2050,173.23292483596828,1.154161872381835,0.3084444169803387
AUT,Residential,resid,N_tp,Narrow TP,2055,174.35548576817578,0.795095105398096,0.3103876038899493
AUT,Residential,resid,N_tp,Narrow TP,2060,175.0897962432123,0.7104879499147662,0.32027503999249946
AUT,Residential,resid,N_tp,Narrow TP,2070,175.71674355635542,0.6254208071128777,0.3521083330685276
AUT,Residential,resid,N_tp,Narrow TP,2080,175.438074699467,0.5500370691407732,0.4061597485668173
AUT,Residential,resid,N_tp,Narrow TP,2090,173.01045840436987,0.3977463904097253,0.47966364516763826
AUT,Residential,resid,N_tp,Narrow TP,2100,169.15069508786442,0.3210465758844584,0.5639627125125889
AUT,Residential,resid,S_r,Slow R,2025,350.9612267060129,2.876677290679619,0.7993979994757482
AUT,Residential,resid,S_r,Slow R,2030,353.8262366206663,2.374817251299219,0.7594240343313079
AUT,Residential,resid,S_r,Slow R,2035,356.1650446142763,2.086386010516611,0.7004773597948881
AUT,Residential,resid,S_r,Slow R,2040,358.23516554265194,1.8404705855589696,0.6516637528347469
AUT,Residential,resid,S_r,Slow R,2045,360.4303239199018,1.6606797064819925,0.6113855609077103
AUT,Residential,resid,S_r,Slow R,2050,362.4641881018195,1.4606802952420472,0.5783778685063323
AUT,Residential,resid,S_r,Slow R,2055,363.6715097970723,1.1787193068383948,0.5511078030774093
AUT,Residential,resid,S_r,Slow R,2060,364.1573630579697,1.0017046283036364,0.5500070304729495
AUT,Residential,resid,S_r,Slow R,2070,363.6232055221455,0.8088295094774163,0.5673094172749568
AUT,Residential,resid,S_r,Slow R,2080,361.5021339700513,0.6077096252876615,0.5998077633350369
AUT,Residential,resid,S_r,Slow R,2090,355.20750126223527,0.27399654408162444,0.6557828660641531
AUT,Residential,resid,S_r,Slow R,2100,346.20195929423244,0.08401808378340067,0.7296370907821599
AUT,Residential,resid,S_tp,Slow TP,2025,350.9612267060129,2.876677290679619,0.7993979994757482
AUT,Residential,resid,S_tp,Slow TP,2030,353.8262366206663,2.374817251299219,0.7594240343313079
AUT,Residential,resid,S_tp,Slow TP,2035,356.1650453535166,1.8634843900596663,0.6779389582953527
AUT,Residential,resid,S_tp,Slow TP,2040,358.23516621806573,1.4175388049482314,0.6134511598102823
AUT,Residential,resid,S_tp,Slow TP,2045,360.4303192043638,1.1436422110434439,0.5621167944889164
AUT,Residential,resid,S_tp,Slow TP,2050,362.46418494311473,0.9100979429873277,0.5203859953640182
AUT,Residential,resid,S_tp,Slow TP,2055,363.6715104450686,0.6359670601396041,0.4855753766250543
AUT,Residential,resid,S_tp,Slow TP,2060,364.15736874400835,0.5352550606644758,0.4817490680974325
AUT,Residential,resid,S_tp,Slow TP,2070,363.62319961421224,0.4594532471741817,0.48583173015306175
AUT,Residential,resid,S_tp,Slow TP,2080,361.5021280179361,0.34438284064634533,0.4942629702523315
AUT,Residential,resid,S_tp,Slow TP,2090,355.20749934281463,0.10652354412646058,0.5153345542409916
AUT,Residential,resid,S_tp,Slow TP,2100,346.2019579262746,0,0.5463311161562744
AUT,Residential,resid,C_r,Close R,2025,350.9612267060129,2.876677290679619,0.7993979994757482
AUT,Residential,resid,C_r,Close R,2030,353.8262366206663,2.374817251299219,0.7594240343313079
AUT,Residential,resid,C_r,Close R,2035,356.1650442370272,2.171513149251422,0.7251815719681113
AUT,Residential,resid,C_r,Close R,2040,358.2351651482827,2.010335916213659,0.7002475901609184
AUT,Residential,resid,C_r,Close R,2045,360.4303269489609,1.9155037748508306,0.6854990805677169
AUT,Residential,resid,C_r,Close R,2050,362.46419009448954,1.801264652874671,0.6818729345381123
AUT,Residential,resid,C_r,Close R,2055,363.6715048592846,1.606393415210696,0.6896403724615867
AUT,Residential,resid,C_r,Close R,2060,364.1573544157163,1.43901870006063,0.7087302861387786
AUT,Residential,resid,C_r,Close R,2070,363.6232056145588,1.2712516089072827,0.7735175584975559
AUT,Residential,resid,C_r,Close R,2080,361.5021341098811,1.121802631015616,0.8803761576065692
AUT,Residential,resid,C_r,Close R,2090,355.20750106381774,0.8169826495651621,1.023568159491568
AUT,Residential,resid,C_r,Close R,2100,346.20194152426274,0.6582732914547301,1.1831900706455862
AUT,Residential,resid,C_tp,Close TP,2025,350.9612267060129,2.876677290679619,0.7993979994757482
AUT,Residential,resid,C_tp,Close TP,2030,353.8262366206663,2.374817251299219,0.7594240343313079
AUT,Residential,resid,C_tp,Close TP,2035,356.1650442370272,2.171513149251422,0.7251815719681113
AUT,Residential,resid,C_tp,Close TP,2040,358.2351651482827,2.010335916213659,0.7002475901609184
AUT,Residential,resid,C_tp,Close TP,2045,360.4303269489609,1.9155037748508306,0.6854990805677169
AUT,Residential,resid,C_tp,Close TP,2050,362.46419009448954,1.801264652874671,0.6818729345381123
AUT,Residential,resid,C_tp,Close TP,2055,363.6715048592846,1.606393415210696,0.6896403724615867
AUT,Residential,resid,C_tp,Close TP,2060,364.1573544157163,1.43901870006063,0.7087302861387786
AUT,Residential,resid,C_tp,Close TP,2070,363.6232056145588,1.2712516089072827,0.7735175584975559
