country,sector,sector_code,scenario,scenario_name,material,year,material_stock_Mt,material_inflow_Mt,material_outflow_Mt
AUT,Residential,resid,R,Reference,aluminum,2025,0.17359395292674423,0.0014236283083125536,3.9536027863507783e-4
AUT,Residential,resid,R,Reference,aluminum,2030,0.175017162454207,0.0011752646160337744,3.755960423835182e-4
AUT,Residential,resid,R,Reference,aluminum,2035,0.17617967722274916,0.0010746522034424221,3.586671721051285e-4
AUT,Residential,resid,R,Reference,aluminum,2040,0.17720888266576493,9.948877871562983e-4,3.4634211139579447e-4
AUT,Residential,resid,R,Reference,aluminum,2045,0.17829956265274058,9.479566457775003e-4,3.390549156287235e-4
AUT,Residential,resid,R,Reference,aluminum,2050,0.17931010542087905,8.914212794758409e-4,3.372692732284395e-4
AUT,Residential,resid,R,Reference,aluminum,2055,0.1799114256896501,7.94982160611896e-4,3.4111985314842785e-4
AUT,Residential,resid,R,Reference,aluminum,2060,0.18015551513802086,7.121506981530356e-4,3.5057206416012627e-4
AUT,Residential,resid,R,Reference,aluminum,2070,0.17989784625570152,6.291250650832455e-4,3.826333427754743e-4
AUT,Residential,resid,R,Reference,aluminum,2080,0.1788540342671303,5.551648002153852e-4,4.3551946385121074e-4
AUT,Residential,resid,R,Reference,aluminum,2090,0.17574442274897278,4.0431355913997705e-4,5.063855822622852e-4
AUT,Residential,resid,R,Reference,aluminum,2100,0.17129270554249765,3.257704600298099e-4,5.853861653478113e-4
AUT,Residential,resid,R,Reference,brick,2025,167.07529028022398,1.2648140887476491,0.38630050536762683
AUT,Residential,resid,R,Reference,brick,2030,167.59165205806954,1.0441585230695798,0.36618009754173036
AUT,Residential,resid,R,Reference,brick,2035,167.91613308333484,0.95476845074593375,0.3487291292910508
AUT,Residential,resid,R,Reference,brick,2040,168.16966343817987,0.8839028774578143,0.33576376237411654
AUT,Residential,resid,R,Reference,brick,2045,168.53459280281356,0.8422085270949232,0.32766345948905506
AUT,Residential,resid,R,Reference,brick,2050,168.87200853695975,0.7919779004351293,0.3248354757363077
AUT,Residential,resid,R,Reference,brick,2055,168.87029792342037,0.7062977592189674,0.32733719849520626
AUT,Residential,resid,R,Reference,brick,2060,168.57740551288404,0.6327068548117726,0.33505418571158746
AUT,Residential,resid,R,Reference,brick,2070,167.41617325200355,0.5589419159598862,0.3636865979410999
AUT,Residential,resid,R,Reference,brick,2080,165.66779306494772,0.4932332713865944,0.41021762006927087
AUT,Residential,resid,R,Reference,brick,2090,162.13448227863117,0.35920965370514885,0.4728496394289164
AUT,Residential,resid,R,Reference,brick,2100,157.47935571934337,0.2894292117807025,0.5422159934237807
AUT,Residential,resid,R,Reference,concrete,2025,273.9024988018678,2.32183372517253,0.619661675291424
AUT,Residential,resid,R,Reference,concrete,2030,276.7603382203806,1.9167694915691904,0.5892649590889946
AUT,Residential,resid,R,Reference,concrete,2035,279.164498991205,1.7526791289487285,0.5633846349321097
AUT,Residential,resid,R,Reference,concrete,2040,281.3171736628081,1.6225887312883898,0.5447291378811522
AUT,Residential,resid,R,Reference,concrete,2045,283.5293719794524,1.5460465064559268,0.5340108078859164
AUT,Residential,resid,R,Reference,concrete,2050,285.5795326579836,1.453842974892767,0.5319892631472406
AUT,Residential,resid,R,Reference,concrete,2055,286.94474402497445,1.2965573759179565,0.5389288044233881
AUT,Residential,resid,R,Reference,concrete,2060,287.708543174766,1.1614651601883221,0.5548330710573868
AUT,Residential,resid,R,Reference,concrete,2070,287.9571615771842,1.0260573602513945,0.6070166669286454
AUT,Residential,resid,R,Reference,concrete,2080,286.8437917418148,0.9054329192652346,0.6935967337233148
AUT,Residential,resid,R,Reference,concrete,2090,282.3250838492672,0.6594060946628459,0.8094099105051427
AUT,Residential,resid,R,Reference,concrete,2100,275.56687122509754,0.531307533445361,0.9388432652487585
AUT,Residential,resid,R,Reference,copper,2025,0.06418922728420337,5.261313170341078e-4,1.4620629281612675e-4
AUT,Residential,resid,R,Reference,copper,2030,0.06471322469072387,4.3434337671091004e-4,1.3889523467392162e-4
AUT,Residential,resid,R,Reference,copper,2035,0.06514098206742797,3.9715997233134766e-4,1.326324425699859e-4
AUT,Residential,resid,R,Reference,copper,2040,0.06551959785620189,3.676813825121757e-4,1.280721296250384e-4
AUT,Residential,resid,R,Reference,copper,2045,0.06592108306034204,3.503370110757112e-4,1.2537469366247756e-4
AUT,Residential,resid,R,Reference,copper,2050,0.06629306746710575,3.294431903135161e-4,1.247114878894508e-4
AUT,Residential,resid,R,Reference,copper,2055,0.06651387989863375,2.938021188397008e-4,1.2613211729334644e-4
