"","UC_NM_MN","CTR_MN_ISO","GRGN_L2","lcz","month","delta"
"77","Addis Ababa","ETH","Eastern Africa","Compact midrise",4,0.310005107849146
"78","Addis Ababa","ETH","Eastern Africa","Large lowrise",4,0.34028067715702
"79","Addis Ababa","ETH","Eastern Africa","Open lowrise",4,-0.170505099369649
"80","Addis Ababa","ETH","Eastern Africa","Sparsely built",4,-0.59520529654419
"81","Addis Ababa","ETH","Eastern Africa","Compact lowrise",5,0.183916900820458
"82","Addis Ababa","ETH","Eastern Africa","Compact midrise",5,0.429694711294805
"83","Addis Ababa","ETH","Eastern Africa","Large lowrise",5,0.262915345170614
"84","Addis Ababa","ETH","Eastern Africa","Open lowrise",5,-0.15784428158336
"85","Addis Ababa","ETH","Eastern Africa","Sparsely built",5,-0.76769279338713
"86","Addis Ababa","ETH","Eastern Africa","Compact lowrise",6,0.17674581795459
"87","Addis Ababa","ETH","Eastern Africa","Compact midrise",6,0.420693775318994
"88","Addis Ababa","ETH","Eastern Africa","Large lowrise",6,0.2460376500938
"89","Addis Ababa","ETH","Eastern Africa","Open lowrise",6,-0.149779766226414
"90","Addis Ababa","ETH","Eastern Africa","Sparsely built",6,-1.21749798112556
"91","Addis Ababa","ETH","Eastern Africa","Compact lowrise",7,0.214164603248826
"92","Addis Ababa","ETH","Eastern Africa","Compact midrise",7,0.448876400912468
"93","Addis Ababa","ETH","Eastern Africa","Large lowrise",7,0.325829862928829
"94","Addis Ababa","ETH","Eastern Africa","Open lowrise",7,-0.0122725520105374
"95","Addis Ababa","ETH","Eastern Africa","Sparsely built",7,-1.19283580675451
"96","Addis Ababa","ETH","Eastern Africa","Compact lowrise",8,0.164309770242449
"97","Addis Ababa","ETH","Eastern Africa","Compact midrise",8,0.219120848260058
"98","Addis Ababa","ETH","Eastern Africa","Large lowrise",8,0.261979927909929
"99","Addis Ababa","ETH","Eastern Africa","Open lowrise",8,-0.0604373635800676
"100","Addis Ababa","ETH","Eastern Africa","Sparsely built",8,-0.826749481786997
"101","Addis Ababa","ETH","Eastern Africa","Compact lowrise",9,0.156930501238793
"102","Addis Ababa","ETH","Eastern Africa","Compact midrise",9,0.166503763142464
"103","Addis Ababa","ETH","Eastern Africa","Large lowrise",9,0.336072247136441
"104","Addis Ababa","ETH","Eastern Africa","Open lowrise",9,0.0157628953269832
"105","Addis Ababa","ETH","Eastern Africa","Sparsely built",9,-0.681399772193305
"106","Addis Ababa","ETH","Eastern Africa","Compact lowrise",10,0.113031159587193
"107","Addis Ababa","ETH","Eastern Africa","Compact midrise",10,0.166346292274883
"108","Addis Ababa","ETH","Eastern Africa","Large lowrise",10,0.367438804228303
"109","Addis Ababa","ETH","Eastern Africa","Open lowrise",10,-0.13135796028091
"110","Addis Ababa","ETH","Eastern Africa","Sparsely built",10,-0.458832704038649
"111","Addis Ababa","ETH","Eastern Africa","Compact lowrise",11,-0.0906497321980589
"112","Addis Ababa","ETH","Eastern Africa","Compact midrise",11,0.212273501299821
"113","Addis Ababa","ETH","Eastern Africa","Large lowrise",11,0.329781210614329
"114","Addis Ababa","ETH","Eastern Africa","Open lowrise",11,-0.733749312274188
"115","Addis Ababa","ETH","Eastern Africa","Sparsely built",11,-0.882662770312519
"116","Addis Ababa","ETH","Eastern Africa","Compact lowrise",12,-0.211983160082032
"117","Addis Ababa","ETH","Eastern Africa","Compact midrise",12,0.0722353444172888
"118","Addis Ababa","ETH","Eastern Africa","Large lowrise",12,0.270892873928364
"119","Addis Ababa","ETH","Eastern Africa","Open lowrise",12,-0.825074337269157
"120","Addis Ababa","ETH","Eastern Africa","Sparsely built",12,-1.60666642735201
"121","Amman","JOR","Western Asia","Compact lowrise",1,0.875933392319021
"122","Amman","JOR","Western Asia","Compact midrise",1,0.894235811197786
"123","Amman","JOR","Western Asia","Large lowrise",1,-2.45338767305969
"124","Amman","JOR","Western Asia","Open lowrise",1,-2.41444707144711
"125","Amman","JOR","Western Asia","Open midrise",1,-1.51510378059659
"126","Amman","JOR","Western Asia","Sparsely built",1,-15.5048801500696
"127","Amman","JOR","Western Asia","Compact lowrise",2,0.454941675386598
"128","Amman","JOR","Western Asia","Compact midrise",2,0.408696501744798
"129","Amman","JOR","Western Asia","Large lowrise",2,-1.97092043911371
"130","Amman","JOR","Western Asia","Open lowrise",2,-2.33438657008653
"131","Amman","JOR","Western Asia","Open midrise",2,-1.48863527636106
"132","Amman","JOR","Western Asia","Sparsely built",2,-12.9228096139641
"133","Amman","JOR","Western Asia","Compact lowrise",3,-0.287700331584954
"134","Amman","JOR","Western Asia","Compact midrise",3,-0.416443051339204
"135","Amman","JOR","Western Asia","Large lowrise",3,-1.06174712307885
"136","Amman","JOR","Western Asia","Open lowrise",3,-2.31556847419706
"137","Amman","JOR","Western Asia","Open midrise",3,-1.40222842263843
"138","Amman","JOR","Western Asia","Sparsely built",3,-9.37249699558704
"139","Amman","JOR","Western Asia","Compact lowrise",4,-0.526610852837184
"140","Amman","JOR","Western Asia","Compact midrise",4,-0.714140579815349
"141","Amman","JOR","Western Asia","Large lowrise",4,-0.5774204204759
"142","Amman","JOR","Western Asia","Open lowrise",4,-1.94670284491109
"143","Amman","JOR","Western Asia","Open midrise",4,-1.15860178525959
"144","Amman","JOR","Western Asia","Sparsely built",4,-6.70882609278995
"145","Amman","JOR","Western Asia","Compact lowrise",5,-0.718888448003818
"146","Amman","JOR","Western Asia","Compact midrise",5,-1.02454689742254
"147","Amman","JOR","Western Asia","Large lowrise",5,-0.314265441353799
"148","Amman","JOR","Western Asia","Open lowrise",5,-1.69526071353893
"149","Amman","JOR","Western Asia","Open midrise",5,-1.16255750452144
"150","Amman","JOR","Western Asia","Sparsely built",5,-4.91347939011038
"151","Amman","JOR","Western Asia","Compact lowrise",6,-0.78974516006735
"152","Amman","JOR","Western Asia","Compact midrise",6,-1.1036232549668
"153","Amman","JOR","Western Asia","Large lowrise",6,-0.172522049988596
"154","Amman","JOR","Western Asia","Open lowrise",6,-1.60941165584144
"155","Amman","JOR","Western Asia","Open midrise",6,-1.12579139178097
"156","Amman","JOR","Western Asia","Sparsely built",6,-4.1154526306653
"157","Amman","JOR","Western Asia","Compact lowrise",7,-0.85586391249038
"158","Amman","JOR","Western Asia","Compact midrise",7,-1.14785684966764
"159","Amman","JOR","Western Asia","Large lowrise",7,-0.0964042213167608
"160","Amman","JOR","Western Asia","Open lowrise",7,-1.62674178613536
"161","Amman","JOR","Western Asia","Open midrise",7,-1.1379921527077
"162","Amman","JOR","Western Asia","Sparsely built",7,-3.77849257286196
"163","Amman","JOR","Western Asia","Compact lowrise",8,-0.840471253653866
"164","Amman","JOR","Western Asia","Compact midrise",8,-1.05639948524117
"165","Amman","JOR","Western Asia","Large lowrise",8,-0.0865776336678361
"166","Amman","JOR","Western Asia","Open lowrise",8,-1.62996496986486
"167","Amman","JOR","Western Asia","Open midrise",8,-1.06483020625272
"168","Amman","JOR","Western Asia","Sparsely built",8,-3.78319001750193
"169","Amman","JOR","Western Asia","Compact lowrise",9,-0.745824974741071
"170","Amman","JOR","Western Asia","Compact midrise",9,-0.922960729682917
"171","Amman","JOR","Western Asia","Large lowrise",9,-0.199362344521242
"172","Amman","JOR","Western Asia","Open lowrise",9,-1.70804274108264
"173","Amman","JOR","Western Asia","Open midrise",9,-1.01356389356538
"174","Amman","JOR","Western Asia","Sparsely built",9,-4.49405440715123
"175","Amman","JOR","Western Asia","Compact lowrise",10,-0.367374893264274
"176","Amman","JOR","Western Asia","Compact midrise",10,-0.426959841533212
"177","Amman","JOR","Western Asia","Large lowrise",10,-0.529630608600676
"178","Amman","JOR","Western Asia","Open lowrise",10,-1.75140070627632
"179","Amman","JOR","Western Asia","Open midrise",10,-0.931422627061978
"180","Amman","JOR","Western Asia","Sparsely built",10,-6.13281622765898
"181","Amman","JOR","Western Asia","Compact lowrise",11,0.612095000633593
"182","Amman","JOR","Western Asia","Compact midrise",11,0.835818137830144
"183","Amman","JOR","Western Asia","Large lowrise",11,-1.2107408779862
"184","Amman","JOR","Western Asia","Open lowrise",11,-1.31744553527621
"185","Amman","JOR","Western Asia","Open midrise",11,-0.531570134731157
"186","Amman","JOR","Western Asia","Sparsely built",11,-8.50320765382437
"187","Amman","JOR","Western Asia","Compact lowrise",12,1.10236375030816
"188","Amman","JOR","Western Asia","Compact midrise",12,1.38205625462967
"189","Amman","JOR","Western Asia","Large lowrise",12,-2.21298054402336
"190","Amman","JOR","Western Asia","Open lowrise",12,-1.71743645383647
"191","Amman","JOR","Western Asia","Open midrise",12,-0.928894950629358
"192","Amman","JOR","Western Asia","Sparsely built",12,-12.6746654789626
"193","Athens","GRC","Southern Europe","Compact lowrise",1,-1.91038525956983
"194","Athens","GRC","Southern Europe","Compact midrise",1,1.06900883641564
"195","Athens","GRC","Southern Europe","Large lowrise",1,-1.24133746245476
"196","Athens","GRC","Southern Europe","Open lowrise",1,-0.161679986354628
"197","Athens","GRC","Southern Europe","Open midrise",1,-1.76180388408751
"198","Athens","GRC","Southern Europe","Sparsely built",1,-2.41372829429977
"199","Athens","GRC","Southern Europe","Compact lowrise",2,-1.8709333438572
"200","Athens","GRC","Southern Europe","Compact midrise",2,0.410292362774674
"201","Athens","GRC","Southern Europe","Large lowrise",2,-1.23449223282215
"202","Athens","GRC","Southern Europe","Open lowrise",2,-0.326057577076127
"203","Athens","GRC","Southern Europe","Open midrise",2,-2.00204746290189
"204","Athens","GRC","Southern Europe","Sparsely built",2,-2.13579048138321
"205","Athens","GRC","Southern Europe","Compact lowrise",3,-1.43146253227216
"206","Athens","GRC","Southern Europe","Compact midrise",3,0.280203930585718
"207","Athens","GRC","Southern Europe","Large lowrise",3,-0.930987920810048
"208","Athens","GRC","Southern Europe","Open lowrise",3,0.0405774397805213
"209","Athens","GRC","Southern Europe","Open midrise",3,-1.46930442356984
"210","Athens","GRC","Southern Europe","Sparsely built",3,-1.54008498565722
"211","Athens","GRC","Southern Europe","Compact lowrise",4,-1.26695520596037
"212","Athens","GRC","Southern Europe","Compact midrise",4,-0.195158361387279
"213","Athens","GRC","Southern Europe","Large lowrise",4,-0.861710660098052
"214","Athens","GRC","Southern Europe","Open lowrise",4,-0.0690400523141455
"215","Athens","GRC","Southern Europe","Open midrise",4,-1.31568257001122
"216","Athens","GRC","Southern Europe","Sparsely built",4,-0.955103344422179
"217","Athens","GRC","Southern Europe","Compact lowrise",5,-0.994954892522653
"218","Athens","GRC","Southern Europe","Compact midrise",5,-0.362137839948975
"219","Athens","GRC","Southern Europe","Large lowrise",5,-0.671040126094745
"220","Athens","GRC","Southern Europe","Open lowrise",5,0.150077480478981
"221","Athens","GRC","Southern Europe","Open midrise",5,-1.04134619308688
"222","Athens","GRC","Southern Europe","Sparsely built",5,-0.146233945223561
"223","Athens","GRC","Southern Europe","Compact lowrise",6,-0.746931350314643
"224","Athens","GRC","Southern Europe","Compact midrise",6,-0.166893950859145
"225","Athens","GRC","Southern Europe","Large lowrise",6,-0.513967520815217
"226","Athens","GRC","Southern Europe","Open lowrise",6,0.372997798265316
"227","Athens","GRC","Southern Europe","Open midrise",6,-0.66795495379125
"228","Athens","GRC","Southern Europe","Sparsely built",6,1.02253199741932
"229","Athens","GRC","Southern Europe","Compact lowrise",7,-0.656943496400795
"230","Athens","GRC","Southern Europe","Compact midrise",7,0.00994694369693514
"231","Athens","GRC","Southern Europe","Large lowrise",7,-0.526692935110239
"232","Athens","GRC","Southern Europe","Open lowrise",7,0.350542612563197
"233","Athens","GRC","Southern Europe","Open midrise",7,-0.536098116421662
"234","Athens","GRC","Southern Europe","Sparsely built",7,1.39143602489136
"235","Athens","GRC","Southern Europe","Compact lowrise",8,-0.6856408476822
"236","Athens","GRC","Southern Europe","Compact midrise",8,0.157404094917509
"237","Athens","GRC","Southern Europe","Large lowrise",8,-0.585913831690574
"238","Athens","GRC","Southern Europe","Open lowrise",8,0.246139484996432
"239","Athens","GRC","Southern Europe","Open midrise",8,-0.538478492821818
"240","Athens","GRC","Southern Europe","Sparsely built",8,1.15994007093858
"241","Athens","GRC","Southern Europe","Compact lowrise",9,-0.957081695720774
"242","Athens","GRC","Southern Europe","Compact midrise",9,-0.0468274945114691
"243","Athens","GRC","Southern Europe","Large lowrise",9,-0.714572895706196
"244","Athens","GRC","Southern Europe","Open lowrise",9,0.0257137504927273
"245","Athens","GRC","Southern Europe","Open midrise",9,-0.942759455444425
"246","Athens","GRC","Southern Europe","Sparsely built",9,0.233596721244252
"247","Athens","GRC","Southern Europe","Compact lowrise",10,-1.27817490823653
"248","Athens","GRC","Southern Europe","Compact midrise",10,0.0502762627474885
"249","Athens","GRC","Southern Europe","Large lowrise",10,-0.877082242659456
"250","Athens","GRC","Southern Europe","Open lowrise",10,-0.125180792917876
"251","Athens","GRC","Southern Europe","Open midrise",10,-1.32542594870878
"252","Athens","GRC","Southern Europe","Sparsely built",10,-0.716039750279996
"253","Athens","GRC","Southern Europe","Compact lowrise",11,-1.59953259578084
"254","Athens","GRC","Southern Europe","Compact midrise",11,0.362282420640399
"255","Athens","GRC","Southern Europe","Large lowrise",11,-1.22643834269868
"256","Athens","GRC","Southern Europe","Open lowrise",11,-0.866975638817148
"257","Athens","GRC","Southern Europe","Open midrise",11,-1.6494091418428
"258","Athens","GRC","Southern Europe","Sparsely built",11,-2.27207393680079
"259","Athens","GRC","Southern Europe","Compact lowrise",12,-1.29241759089905
"260","Athens","GRC","Southern Europe","Compact midrise",12,1.18619060474714
"261","Athens","GRC","Southern Europe","Large lowrise",12,-0.784082508046764
"262","Athens","GRC","Southern Europe","Open lowrise",12,0.554145447165669
"263","Athens","GRC","Southern Europe","Open midrise",12,-0.835225145456041
"264","Auckland","NZL","Australia/New Zealand","Compact midrise",1,-0.0130448723765131
"265","Auckland","NZL","Australia/New Zealand","Large lowrise",1,-0.215233721197859
"266","Auckland","NZL","Australia/New Zealand","Open lowrise",1,-0.00460506347591378
"267","Auckland","NZL","Australia/New Zealand","Open midrise",1,0.287322190660495
"268","Auckland","NZL","Australia/New Zealand","Sparsely built",1,2.86192752181032
"269","Auckland","NZL","Australia/New Zealand","Compact midrise",2,0.0251339972700611
"270","Auckland","NZL","Australia/New Zealand","Large lowrise",2,-0.215005510043273
"271","Auckland","NZL","Australia/New Zealand","Open lowrise",2,0.0566352437553306
"272","Auckland","NZL","Australia/New Zealand","Open midrise",2,0.223600588186015
"273","Auckland","NZL","Australia/New Zealand","Sparsely built",2,2.81146757714868
"274","Auckland","NZL","Australia/New Zealand","Compact midrise",3,0.129728871783529
"275","Auckland","NZL","Australia/New Zealand","Large lowrise",3,-0.352086631683586
"276","Auckland","NZL","Australia/New Zealand","Open lowrise",3,0.0139908545269578
"277","Auckland","NZL","Australia/New Zealand","Open midrise",3,0.2586840023253
"278","Auckland","NZL","Australia/New Zealand","Sparsely built",3,2.93691835259623
"279","Auckland","NZL","Australia/New Zealand","Compact midrise",4,-0.0230669366288331
"280","Auckland","NZL","Australia/New Zealand","Large lowrise",4,-0.3832076370273
"281","Auckland","NZL","Australia/New Zealand","Open lowrise",4,-0.0916186300634695
"282","Auckland","NZL","Australia/New Zealand","Open midrise",4,0.103205845813013
"283","Auckland","NZL","Australia/New Zealand","Sparsely built",4,3.30551870354341
"284","Auckland","NZL","Australia/New Zealand","Compact midrise",5,-0.0409458507011546
"285","Auckland","NZL","Australia/New Zealand","Large lowrise",5,-0.559782643666477
"286","Auckland","NZL","Australia/New Zealand","Open lowrise",5,-0.298426345441023
"287","Auckland","NZL","Australia/New Zealand","Open midrise",5,0.0732235209762454
"288","Auckland","NZL","Australia/New Zealand","Sparsely built",5,3.66056917296284
"289","Auckland","NZL","Australia/New Zealand","Compact midrise",6,-0.0701886997634102
"290","Auckland","NZL","Australia/New Zealand","Large lowrise",6,-0.655478646309455
"291","Auckland","NZL","Australia/New Zealand","Open lowrise",6,-0.355313001810985
"292","Auckland","NZL","Australia/New Zealand","Open midrise",6,0.0369507309225675
"293","Auckland","NZL","Australia/New Zealand","Sparsely built",6,4.15200518740525
"294","Auckland","NZL","Australia/New Zealand","Compact midrise",7,-0.120391660026286
"295","Auckland","NZL","Australia/New Zealand","Large lowrise",7,-0.720461699204784
"296","Auckland","NZL","Australia/New Zealand","Open lowrise",7,-0.36676442665643
"297","Auckland","NZL","Australia/New Zealand","Open midrise",7,0.00931497417532344
"298","Auckland","NZL","Australia/New Zealand","Sparsely built",7,4.46574432175988
"299","Auckland","NZL","Australia/New Zealand","Compact midrise",8,-0.244531075065756
"300","Auckland","NZL","Australia/New Zealand","Large lowrise",8,-0.578543201877304
"301","Auckland","NZL","Australia/New Zealand","Open lowrise",8,-0.334841449876363
"302","Auckland","NZL","Australia/New Zealand","Open midrise",8,0.0286151808831593
"303","Auckland","NZL","Australia/New Zealand","Sparsely built",8,4.36924418754973
"304","Auckland","NZL","Australia/New Zealand","Compact midrise",9,-0.338912935920317
"305","Auckland","NZL","Australia/New Zealand","Large lowrise",9,-0.420293479654018
"306","Auckland","NZL","Australia/New Zealand","Open lowrise",9,-0.27049863626383
"307","Auckland","NZL","Australia/New Zealand","Open midrise",9,0.069719717298856
"308","Auckland","NZL","Australia/New Zealand","Sparsely built",9,4.29824225199211
"309","Auckland","NZL","Australia/New Zealand","Compact midrise",10,-0.269057390415715
"310","Auckland","NZL","Australia/New Zealand","Large lowrise",10,-0.351669870403418
"311","Auckland","NZL","Australia/New Zealand","Open lowrise",10,-0.221098629347749
"312","Auckland","NZL","Australia/New Zealand","Open midrise",10,0.228821877916645
"313","Auckland","NZL","Australia/New Zealand","Sparsely built",10,4.0861978775774
"314","Auckland","NZL","Australia/New Zealand","Compact midrise",11,-0.0352889866066875
"315","Auckland","NZL","Australia/New Zealand","Large lowrise",11,-0.326955229301419
"316","Auckland","NZL","Australia/New Zealand","Open lowrise",11,-0.120817451120816
"317","Auckland","NZL","Australia/New Zealand","Open midrise",11,0.365948602902231
"318","Auckland","NZL","Australia/New Zealand","Sparsely built",11,3.58797227610741
"319","Auckland","NZL","Australia/New Zealand","Compact midrise",12,-0.070450815367176
"320","Auckland","NZL","Australia/New Zealand","Large lowrise",12,-0.189389477592526
"321","Auckland","NZL","Australia/New Zealand","Open lowrise",12,0.0339596569189479
"322","Auckland","NZL","Australia/New Zealand","Open midrise",12,0.277369638411095
"323","Auckland","NZL","Australia/New Zealand","Sparsely built",12,3.21962358600409
"324","Barcelona","ESP","Southern Europe","Compact lowrise",1,9.13394900544954
"325","Barcelona","ESP","Southern Europe","Compact midrise",1,-1.30058373712602
"326","Barcelona","ESP","Southern Europe","Large lowrise",1,-4.13131020189942
"327","Barcelona","ESP","Southern Europe","Open lowrise",1,-2.43787305366235
"328","Barcelona","ESP","Southern Europe","Open midrise",1,-3.32896090436623
"329","Barcelona","ESP","Southern Europe","Sparsely built",1,-3.10249031883879
