"","UC_NM_MN","x","y","lcz_frac_3","lcz_frac_5","lcz_frac_6","lcz_frac_8","lcz_frac_9","lcz_frac_10","lcz_frac_11","lcz_frac_12","lcz_frac_13","lcz_frac_14","lcz_frac_15","lcz_frac_16","lcz_frac_17","lcz_frac_NA","lcz_frac_2","lcz_frac_4","lcz_frac_1","lcz_frac_7","CTR_MN_ISO","GRGN_L2"
"1","Accra",-0.215573785691225,5.62109392401427,0.312254290356204,7.05809030699195e-05,0.521311558852864,0.0575412545846849,0.025422567316271,0.000282323612279678,0.00121163883603362,0.000484284380346817,0.000129398322294853,0.0399507308796964,0.000258796644589705,0.00214796412401304,0.00999527310443024,0.0289393380832221,0,0,0,0,"GHA","Western Africa"
"2","Addis Ababa",38.7591065000855,8.99260418369816,0.431288755668434,0.00163778555908964,0.314878654354646,0.142314909601794,0.0494467665546433,0,0.0173976519249928,0.0142073539135558,0,0.020993086292225,0.0039895862156792,0.000292715086761336,0,0,0.00345194802454279,0.000100786803636286,0,0,"ETH","Eastern Africa"
"3","Amaba",7.54642114491074,5.45782771878622,0,0,0.365561289193199,0,0.182892992610418,0,0.450320068938719,0.00122564925766446,0,0,0,0,0,0,0,0,0,0,"NGA","Western Africa"
"4","Amman",35.9472245063377,31.9768638599185,0.308388294887342,0.123900223428118,0.247640180121131,0.0663038593362785,0.0450445562751615,0,8.33398429521833e-05,0,0.00371634061513646,0.000281688314490412,0.0129736994323916,0.0591853659630267,1.56506145048991e-05,0,0.132372897482437,9.39036870293946e-05,0,0,"JOR","Western Asia"
"5","Amsterdam",4.85058236169508,52.3558333225844,0.000318654968749798,0.0703085974662399,0.242335850618125,0.223215658819437,0.00126385298185505,0.0327860556735904,0.0395170283984548,0.0864637461874235,0,0.112729811084327,0,0.000537213718592597,0.0872478001014748,0.00448989707673383,0.0127461987499919,0.0854377303251443,0.00060190382986073,0,"NLD","Western Europe"
"6","Antwerp",4.39612071446071,51.216487899019,0.000516434029763401,0.0639378647171591,0.296295674669989,0.222991430481843,0.00437459749818766,0.0270663409167342,0.0505281789768789,0.102837533948363,0,0.0933005794503603,0.000732247437236029,0.000399819894010375,0.0906901677610222,0,0.0294367396965138,0.016725798899434,0.000166591622504323,0,"BEL","Western Europe"
"7","Athens",23.7427433068931,37.9999806976187,0.304977841415136,0.00872566348950798,0.356246898523759,0.112905521969006,0.00175415610560232,0.00440780939160712,0.0166678498122189,0.00219352650576821,0.000159255792963468,0.00260388986617154,0.000593704938461367,0.00321010608016262,0.00266267669370553,0.0709147498103683,0.111976349605562,0,0,0,"GRC","Southern Europe"
"8","Auckland",174.796611925265,-36.9201860505814,0,0.00940867661221443,0.585591448727764,0.119323002104436,0.00998301750087872,0.00167575687341853,0.0359428900105552,0.0597346221277753,0,0.0366113514275196,0,1.74558007647763e-05,0.0116255470502788,0.123924334094429,0.000994980643592249,0.00270564911854033,0.00246126790783346,0,"NZL","Australia/New Zealand"
"9","Barcelona",2.12875714597186,41.4424685418692,0.0133405930710548,0.043055374552373,0.215552327785134,0.345900194145046,0.0105206530586582,0.00937346294093776,0.044572454159078,0.018143326639901,0,0.0798051360447026,0.0054132069933262,0.00314452647034598,0.00417994775520625,0.0613050946232399,0.140447648427796,0.0049888938560821,0.000257159477117634,0,"ESP","Southern Europe"
"10","Bari",16.8562457160164,41.1068453141715,0.00734647905533109,0.00762903594207459,0.180562466098734,0.507737266432027,0.00364012724310693,0.00310812575417854,0,0.000525495710961307,0,0.010966775033268,0,9.41856289145011e-05,0.00149380300600534,0.165851383605202,0.111044856490197,0,0,0,"ITA","Southern Europe"
"11","Basel",7.60708295748605,47.5590775452726,9.5720487770755e-05,0.111717057911233,0.435208871598047,0.128802505779501,0.0365359234037582,0.000287161463312265,0.0984695333944341,0.084930258950701,0,0.0588175239979758,0.00116034525434739,0.000279702729717785,0.0180423043066395,0,0.0199577217002024,0.00569536902235992,0,0,"CHE","Western Europe"
"12","Belgrade",20.4565545559578,44.7976347259151,0.0177549550384883,0.130408002376734,0.446168606556665,0.0998296834313275,0.0102774920300877,0,0.0738520453529604,0.090737034392643,0,0.0353857223810849,0,0.000296918927059242,0.056366366578658,0,0.0373662460169198,0.00155692691737166,0,0,"SRB","Southern Europe"
"13","Berlin",13.4097944678756,52.5070651394556,0.0017922737755941,0.148779738545882,0.498616767764766,0.0906083376813645,0.00650869457899688,0.00201408983693001,0.0655581617656454,0.0549517358396127,0,0.0393712135762021,0.000167633250647495,4.32901776310501e-05,0.0147243616326095,0.000159707564161851,0.0406633203640979,0.0311695929389212,0.00487108070693645,0,"DEU","Western Europe"
"14","Bilbao",-2.97230050353585,43.2975634324852,0.00701044189338167,0.0564280083828201,0.152087324172634,0.214564505647365,0.00559514303032626,0.0230648889774618,0.122907092677634,0.212146757355209,0,0.0043910408622133,0.000214059294454402,0.00095058580923308,0.0127150319627985,0.0793435428224735,0.0803257502440144,0.0282558268679811,0,0,"ESP","Southern Europe"
"15","Birmingham",-1.96557011375449,52.5122508844286,0.00177657664181801,0.118666324426874,0.59492060878843,0.0814174061607327,0.00838928497875445,0,0.0204814834642689,0.128668658442603,0,0.0333407554920783,0,1.21929050565878e-05,0.00216833456796249,0,0.00854578917961688,0.000683298708391542,0.000929286243412497,0,"GBR","Northern Europe"
"16","Bogota",-74.1238454485223,4.65089476888849,0.306022480726047,0.0194509363995484,0.0483682673860806,0.319103830748488,0.0585860887397698,0,0.0572324896615527,0.0909583933559163,0.00100500781821796,0.0409601979991002,0.00264950630875159,0.00319887394268706,0.00124398499174363,0.00679415994542875,0.0419248008424099,0.00238982390710233,0.000111157227156191,0,"COL","South America"
"17","Bologna",11.3289968720153,44.4937170178781,0.0256352135915862,0.0633821367931102,0.257906813107416,0.344497522683109,0.0171719656711641,0,0.023921841949207,0.11336536285303,0,0.0845696943029005,0,0,0.000148609933864268,0,0.0694008391146131,0,0,0,"ITA","Southern Europe"
"18","Bordeaux",-0.595441052127926,44.8371655757375,0.0409019518932208,0.0165955183644607,0.661326143265701,0.146055440964201,0.000906701128668578,0.00193726849896399,0.0124996372689467,0.0296211236202834,0,0.00744349690618872,0,0,0.0339885877286292,0,0.0419619667322766,0.00676216362845921,0,0,"FRA","Western Europe"
"19","Brasov",25.608759716874,45.6510951315521,0.0383008664037125,0.177318668490813,0.318838481208729,0.162876528742787,0.00730763956654752,0,0.164632128280827,0.0226834610709472,0,0.108042226235636,0,0,0,0,0,0,0,0,"ROU","Eastern Europe"
"20","Bratislava",17.1324938098341,48.1523986482728,0.00478980688374455,0.182469511615349,0.363758097382904,0.175228318270078,0.00430172518002278,0,0.0787698552632585,0.0504840261819757,0,0.0659283254999582,0,0,0.0316649395696244,0,0.0328547158540336,0.00918046319384371,0.000570215105207684,0,"SVK","Eastern Europe"
"21","Brussels",4.3703214721469,50.8500084273497,0,0.1958141363287,0.304596741867185,0.173900411014722,0.00815798433005813,0.00486569280112955,0.0465202560440594,0.0815620888361545,0,0.0445269206332661,0.00102019930644306,0.000148072689194043,0.00233954158860848,0,0.115756018493214,0.011558987288537,0.00923294877872875,0,"BEL","Western Europe"
"22","Bucharest",26.1049630637812,44.4352739880898,0.0392728876871456,0.255412286000647,0.263032458982937,0.200753272716987,0.0134476805699222,0,0.0106206216748888,0.0397484897466725,0,0.0834489964180408,0.000566701322388833,0.000453361057911066,0.0291776593264011,0,0.0462994980391676,0.0171143799361427,0.000651706520747157,0,"ROU","Eastern Europe"
"23","Budapest",19.1097446068827,47.4830842871152,0.00243281319955498,0.104945318022943,0.530142341889344,0.135871311065596,0.00731025313511092,0,0.0406334968879882,0.0598247570369336,0,0.059974234842446,0.000327759024164458,9.36454354755593e-05,0.0304069562518707,9.59674142952121e-05,0.0255339887396692,0.00223547375623649,0.000171683298371859,0,"HUN","Eastern Europe"
"24","Buenos Aires",-58.5387649857458,-34.6508195848859,0.236465446184038,0.0213366849397815,0.419840576196075,0.0774650377746121,0.00369657168486178,0.00181504805585501,0.00981241344018264,0.0763198936110846,0,0.0259807494025001,0,4.37196691081217e-05,0.0067912102994789,0.0079329618769026,0.106765810640375,0.00539094087818543,0.000342935346958782,0,"ARG","South America"
"25","Cairo",31.2608552808733,30.0596261028802,0.193510023373196,0.000262108213239333,0.224516842681506,0.191214810228602,0.0251101733610554,0.000382241144307361,0.00130221224324296,0.00694203171479116,0.000609253763394026,0.211687355592315,0.00100526424235526,0.0685159938385242,0.0180314438038811,0,0.0569047852118144,5.46058777581944e-06,0,0,"EGY","Northern Africa"
"26","Cape Town",18.5784251338724,-33.9477240935972,0.0695161222502435,0.00321300098686999,0.337741934878761,0.410716168228363,0.0167317280716554,0.00260646349020472,0.00309418465250863,0.0250030304760808,0.000337251946871574,0.0905644270425884,0.000305813147772454,0.00519871001741957,0.0055881621163968,0.0278228736232253,0.00102354274044569,0.000536586330593385,0,0,"ZAF","Southern Africa"
"27","Charleroi",4.44028219703474,50.4276225344736,0,0.18159989609207,0.465807228414382,0.124247344889684,0.00313421541677034,0.0121245637998093,0.0415854580112945,0.0988417710309996,0,0.0544158619408513,0.00010275054067635,0.000154125811014525,0.00126000054556857,0,0.00996680244560592,0.00675998106127281,0,0,"BEL","Western Europe"
"28","Chennai",80.1734268577898,13.0164156927029,0.217649599802946,0.000134735867166643,0.484434440428215,0.101792277017736,0.0499221422661269,0.00124371569692285,0.00255714892803421,0.000812738789673053,2.21250207247501e-05,0.0810123206641382,0,0.00629524446573284,0.0177530098323419,0.03462929924455,0.001741201975692,0,0,0,"IND","South-Central Asia"
"29","Cluj-Napoca",23.6041132931066,46.7722407826633,0.0132489178720186,0.23569048362451,0.38515481466378,0.100909323702766,0.0131827276862573,0,0.0267124666658988,0.074699008820939,0,0.135020038756487,0.000224557930034214,0.00179646344027371,0.000561394825085535,0,0.0127998020119502,0,0,0,"ROU","Eastern Europe"
"30","Cologne",6.97969402676397,50.9331085826118,0.000654214864508771,0.0833853203768448,0.391039031834227,0.115739352221258,0.0187158368115867,0.00566986215907601,0.0928549156159714,0.0984369844122436,0,0.124570599190458,0.000600649739306506,0.00138081483301639,0.0340890245810122,0,0.022079751677171,0.00766521749582777,0.00311842418749181,0,"DEU","Western Europe"
"31","Copenhagen",12.4696276064292,55.6807064738264,0.0021889047413905,0.0498330398676822,0.505712933653806,0.0873803016323614,0.00958555520529516,0.0174674269450604,0.033991431821044,0.068512255147547,0,0.0686574737718659,0.000608494196652237,0.00128610619485988,0.0275200896908837,0.0773105034925104,0.0188031237799658,0.030372216458505,0.00077014340057047,0,"DNK","Northern Europe"
"32","Curitiba",-49.2614982110372,-25.442803941502,0.252888738879765,0.033323563443533,0.473443314121653,0.0446516065043111,0.00668543136347093,0,0.105988631311133,0.0598470657236112,0,0.00600307196388284,0,5.46173877577743e-05,0.00264035154507202,9.10289795962905e-05,0.013963845470071,0.000345910122465904,7.28231836770324e-05,0,"BRA","South America"
"33","Dakar",-17.3794722881315,14.7429283537686,0.277171261081869,0,0.177993789942768,0.236724158229479,0.0184883235100458,0.00219949482909154,0,6.98252326695726e-05,0.00115211633904795,0.0250513518483918,0.000349126163347863,0.0615338180014886,0.00869506585282268,0.190571668968978,0,0,0,0,"SEN","Western Africa"
"34","Dalian",121.639423496404,38.9985040709821,0.0201809863503968,0.070875503899582,0.103291834535659,0.465773034911465,0.0031529380899082,0.0249359460011988,0.0187957572219002,0.0160968157619352,0,0.0434868857561604,0.00122781727387997,0.00723611765177914,0.0089600739480711,0.100027881721626,0.0784785174742955,0.0227460821155831,0.0147338072865597,0,"CHN","Eastern Asia"
"35","Debrecen",21.6279534633807,47.5323433525477,0.00133317979552752,0.0978888122838211,0.621041621471716,0.121380753984416,0.0167765576984616,0,0.0466821933313192,0.0290601491348091,0,0.0571945589094352,0,0,0,0,0.00864217339049435,0,0,0,"HUN","Eastern Europe"
