region_gea,mat,eneff,year,value
FSU,perm,s52_low,2055,1
LAC,perm,s51_std,2055,1
LAC,perm,s52_low,2055,0
MEA,perm,s51_std,2055,1
MEA,perm,s52_low,2055,0
NAM,perm,s51_std,2055,0
NAM,perm,s52_low,2055,1
PAO,perm,s51_std,2055,0
PAO,perm,s52_low,2055,1
PAS,perm,s51_std,2055,1
PAS,perm,s52_low,2055,0
SAS,perm,s51_std,2055,1
SAS,perm,s52_low,2055,0
WEU,perm,s51_std,2055,0
WEU,perm,s52_low,2055,1
AFR,perm,s51_std,2060,1
AFR,perm,s52_low,2060,0
CPA,perm,s51_std,2060,0
CPA,perm,s52_low,2060,1
EEU,perm,s51_std,2060,0
EEU,perm,s52_low,2060,1
FSU,perm,s51_std,2060,0
FSU,perm,s52_low,2060,1
LAC,perm,s51_std,2060,1
LAC,perm,s52_low,2060,0
MEA,perm,s51_std,2060,1
MEA,perm,s52_low,2060,0
NAM,perm,s51_std,2060,0
NAM,perm,s52_low,2060,1
PAO,perm,s51_std,2060,0
PAO,perm,s52_low,2060,1
PAS,perm,s51_std,2060,1
PAS,perm,s52_low,2060,0
SAS,perm,s51_std,2060,1
SAS,perm,s52_low,2060,0
WEU,perm,s51_std,2060,0
WEU,perm,s52_low,2060,1
AFR,perm,s51_std,2065,1
AFR,perm,s52_low,2065,0
CPA,perm,s51_std,2065,0
CPA,perm,s52_low,2065,1
EEU,perm,s51_std,2065,0
EEU,perm,s52_low,2065,1
FSU,perm,s51_std,2065,0
FSU,perm,s52_low,2065,1
LAC,perm,s51_std,2065,1
LAC,perm,s52_low,2065,0
MEA,perm,s51_std,2065,1
MEA,perm,s52_low,2065,0
NAM,perm,s51_std,2065,0
NAM,perm,s52_low,2065,1
PAO,perm,s51_std,2065,0
PAO,perm,s52_low,2065,1
PAS,perm,s51_std,2065,1
PAS,perm,s52_low,2065,0
SAS,perm,s51_std,2065,1
SAS,perm,s52_low,2065,0
WEU,perm,s51_std,2065,0
WEU,perm,s52_low,2065,1
AFR,perm,s51_std,2070,1
AFR,perm,s52_low,2070,0
CPA,perm,s51_std,2070,0
CPA,perm,s52_low,2070,1
EEU,perm,s51_std,2070,0
EEU,perm,s52_low,2070,1
FSU,perm,s51_std,2070,0
FSU,perm,s52_low,2070,1
LAC,perm,s51_std,2070,1
LAC,perm,s52_low,2070,0
MEA,perm,s51_std,2070,1
MEA,perm,s52_low,2070,0
NAM,perm,s51_std,2070,0
NAM,perm,s52_low,2070,1
PAO,perm,s51_std,2070,0
PAO,perm,s52_low,2070,1
PAS,perm,s51_std,2070,1
PAS,perm,s52_low,2070,0
SAS,perm,s51_std,2070,1
SAS,perm,s52_low,2070,0
WEU,perm,s51_std,2070,0
WEU,perm,s52_low,2070,1
AFR,perm,s51_std,2075,1
