mat,eneff_i,eneff_f,fuel_heat_f,year,value
perm,s1,sr11_std,electricity,2020,1
perm,s1,sr12_low,electricity,2020,1
perm,s2,sr21_std,electricity,2020,1
perm,s2,sr22_low,electricity,2020,1
perm,s3,sr31_std,electricity,2020,1
perm,s3,sr32_low,electricity,2020,1
perm,s1,sr11_std,electricity,2025,1
perm,s1,sr12_low,electricity,2025,1
perm,s2,sr21_std,electricity,2025,1
perm,s2,sr22_low,electricity,2025,1
perm,s3,sr31_std,electricity,2025,1
perm,s3,sr32_low,electricity,2025,1
perm,s1,sr11_std,electricity,2030,1
perm,s1,sr12_low,electricity,2030,1
perm,s2,sr21_std,electricity,2030,1
perm,s2,sr22_low,electricity,2030,1
perm,s3,sr31_std,electricity,2030,1
perm,s3,sr32_low,electricity,2030,1
perm,s1,sr11_std,electricity,2035,1
perm,s1,sr12_low,electricity,2035,1
perm,s2,sr21_std,electricity,2035,1
perm,s2,sr22_low,electricity,2035,1
perm,s3,sr31_std,electricity,2035,1
perm,s3,sr32_low,electricity,2035,1
perm,s1,sr11_std,electricity,2040,1
perm,s1,sr12_low,electricity,2040,1
perm,s2,sr21_std,electricity,2040,1
perm,s2,sr22_low,electricity,2040,1
perm,s3,sr31_std,electricity,2040,1
perm,s3,sr32_low,electricity,2040,1
perm,s1,sr11_std,electricity,2045,1
perm,s1,sr12_low,electricity,2045,1
perm,s2,sr21_std,electricity,2045,1
perm,s2,sr22_low,electricity,2045,1
perm,s3,sr31_std,electricity,2045,1
perm,s3,sr32_low,electricity,2045,1
perm,s1,sr11_std,electricity,2050,1
perm,s1,sr12_low,electricity,2050,1
perm,s2,sr21_std,electricity,2050,1
perm,s2,sr22_low,electricity,2050,1
perm,s3,sr31_std,electricity,2050,1
perm,s3,sr32_low,electricity,2050,1
perm,s1,sr11_std,electricity,2055,1
perm,s1,sr12_low,electricity,2055,1
perm,s2,sr21_std,electricity,2055,1
perm,s2,sr22_low,electricity,2055,1
perm,s3,sr31_std,electricity,2055,1
perm,s3,sr32_low,electricity,2055,1
perm,s1,sr11_std,electricity,2060,1
perm,s1,sr12_low,electricity,2060,1
perm,s2,sr21_std,electricity,2060,1
perm,s2,sr22_low,electricity,2060,1
perm,s3,sr31_std,electricity,2060,1
perm,s3,sr32_low,electricity,2060,1
perm,s1,sr11_std,electricity,2065,1
perm,s1,sr12_low,electricity,2065,1
perm,s2,sr21_std,electricity,2065,1
perm,s2,sr22_low,electricity,2065,1
perm,s3,sr31_std,electricity,2065,1
perm,s3,sr32_low,electricity,2065,1
perm,s1,sr11_std,electricity,2070,1
perm,s1,sr12_low,electricity,2070,1
perm,s2,sr21_std,electricity,2070,1
perm,s2,sr22_low,electricity,2070,1
perm,s3,sr31_std,electricity,2070,1
perm,s3,sr32_low,electricity,2070,1
perm,s1,sr11_std,electricity,2075,1
perm,s1,sr12_low,electricity,2075,1
perm,s2,sr21_std,electricity,2075,1
perm,s2,sr22_low,electricity,2075,1
perm,s3,sr31_std,electricity,2075,1
perm,s3,sr32_low,electricity,2075,1
perm,s1,sr11_std,electricity,2080,1
perm,s1,sr12_low,electricity,2080,1
perm,s2,sr21_std,electricity,2080,1
perm,s2,sr22_low,electricity,2080,1
perm,s3,sr31_std,electricity,2080,1
perm,s3,sr32_low,electricity,2080,1
perm,s1,sr11_std,electricity,2085,1
perm,s1,sr12_low,electricity,2085,1
perm,s2,sr21_std,electricity,2085,1
perm,s2,sr22_low,electricity,2085,1
perm,s3,sr31_std,electricity,2085,1
perm,s3,sr32_low,electricity,2085,1
perm,s1,sr11_std,electricity,2090,1
perm,s1,sr12_low,electricity,2090,1
perm,s2,sr21_std,electricity,2090,1
perm,s2,sr22_low,electricity,2090,1
perm,s3,sr31_std,electricity,2090,1
perm,s3,sr32_low,electricity,2090,1
perm,s1,sr11_std,electricity,2095,1
perm,s1,sr12_low,electricity,2095,1
perm,s2,sr21_std,electricity,2095,1
perm,s2,sr22_low,electricity,2095,1
perm,s3,sr31_std,electricity,2095,1
perm,s3,sr32_low,electricity,2095,1
perm,s1,sr11_std,electricity,2100,1
perm,s1,sr12_low,electricity,2100,1
perm,s2,sr21_std,electricity,2100,1
perm,s2,sr22_low,electricity,2100,1
perm,s3,sr31_std,electricity,2100,1
perm,s3,sr32_low,electricity,2100,1
