region_bld,value
C-WEU-BEL,0.052
C-EEU-BGR,0.392
C-EEU-CZE,0.05
C-WEU-DNK,0.036
C-WEU-DEU,0.041
C-EEU-EST,0.02
C-WEU-IRL,0.09
C-WEU-GRC,0.292
C-WEU-ESP,0.106
C-WEU-FRA,0.055
C-WEU-HRV,0.099
C-WEU-ITA,0.17
C-WEU-CYP,0.283
C-EEU-LVA,0.145
C-EEU-LTU,0.311
C-WEU-LUX,0.009
C-EEU-HUN,0.096
C-WEU-MLT,0.141
C-WEU-NLD,0.029
C-WEU-AUT,0.026
C-EEU-POL,0.075
C-WEU-PRT,0.238
C-EEU-ROU,0.131
C-EEU-SVN,0.056
C-EEU-SVK,0.058
C-WEU-FIN,0.017
C-WEU-SWE,0.012
C-WEU-ISL,0.014
C-WEU-NOR,0.005
C-WEU-CHE,0.006
C-WEU-GBR,0.078
