region_bld,year,fuel,value
C-EEU-BGR,2015,electricity,0.0942
C-EEU-CZE,2015,electricity,0.1385
C-EEU-EST,2015,electricity,0.1302
C-EEU-HUN,2015,electricity,0.1127
C-EEU-LTU,2015,electricity,0.1256
C-EEU-LVA,2015,electricity,0.1635
C-EEU-POL,2015,electricity,0.1444
C-EEU-ROU,2015,electricity,0.1303
C-EEU-SVK,2015,electricity,0.1506
C-EEU-SVN,2015,electricity,0.1589
C-WEU-AUT,2015,electricity,0.2009
C-WEU-BEL,2015,electricity,0.2126
C-WEU-CYP,2015,electricity,0.1957
C-WEU-DEU,2015,electricity,0.2951
C-WEU-DNK,2015,electricity,0.3068
C-WEU-ESP,2015,electricity,0.2309
C-WEU-FIN,2015,electricity,0.1552
C-WEU-FRA,2015,electricity,0.1676
C-WEU-GBR,2015,electricity,0.2125
C-WEU-GRC,2015,electricity,0.1767
C-WEU-IRL,2015,electricity,0.2426
C-WEU-ITA,2015,electricity,0.245
C-WEU-LUX,2015,electricity,0.1767
C-WEU-MLT,2015,electricity,0.1257
C-WEU-NLD,2015,electricity,0.1986
C-WEU-PRT,2015,electricity,0.2279
C-WEU-SWE,2015,electricity,0.1872
C-EEU-HRV,2015,electricity,0.1317
C-EEU-BGR,2015,gas,0.047724982
C-EEU-CZE,2015,gas,0.057412887
C-EEU-EST,2015,gas,0.045608351
C-EEU-HUN,2015,gas,0.035287617
C-EEU-LTU,2015,gas,0.042296616
C-EEU-LVA,2015,gas,0.049568035
C-EEU-POL,2015,gas,0.050060115
C-EEU-ROU,2015,gas,0.031142189
C-EEU-SVK,2015,gas,0.049604032
C-EEU-SVN,2015,gas,0.062922966
C-WEU-AUT,2015,gas,0.07300216
C-WEU-BEL,2015,gas,0.058423326
C-WEU-CYP,2015,gas,0.046935162
C-WEU-DEU,2015,gas,0.067602592
C-WEU-DNK,2015,gas,0.09200288
C-WEU-ESP,2015,gas,0.073146148
C-WEU-FIN,2015,gas,0.068212435
C-WEU-FRA,2015,gas,0.070050396
C-WEU-GBR,2015,gas,0.063517999
C-WEU-GRC,2015,gas,0.068106551
C-WEU-IRL,2015,gas,0.067314615
C-WEU-ITA,2015,gas,0.076565875
C-WEU-LUX,2015,gas,0.049568035
C-WEU-MLT,2015,gas,0.04067714
C-WEU-NLD,2015,gas,0.075593952
C-WEU-PRT,2015,gas,0.097588193
C-WEU-SWE,2015,gas,0.113143269
C-EEU-HRV,2015,gas,0.04725162
C-EEU-BGR,2015,oil,0.076
C-EEU-CZE,2015,oil,0.083
C-EEU-EST,2015,oil,0.095
C-EEU-HUN,2015,oil,0.123
C-EEU-LTU,2015,oil,0.066
C-EEU-LVA,2015,oil,0.088
C-EEU-POL,2015,oil,0.093
C-EEU-ROU,2015,oil,0.101
C-EEU-SVK,2015,oil,0.101
C-EEU-SVN,2015,oil,0.101
C-WEU-AUT,2015,oil,0.088
C-WEU-BEL,2015,oil,0.078
C-WEU-CYP,2015,oil,0.093
C-WEU-DEU,2015,oil,0.075
C-WEU-DNK,2015,oil,0.147
C-WEU-ESP,2015,oil,0.083
C-WEU-FIN,2015,oil,0.101
C-WEU-FRA,2015,oil,0.087
C-WEU-GBR,2015,oil,0.076
C-WEU-GRC,2015,oil,0.119
C-WEU-IRL,2015,oil,0.098
C-WEU-ITA,2015,oil,0.144
C-WEU-LUX,2015,oil,0.072
C-WEU-MLT,2015,oil,0.098
C-WEU-NLD,2015,oil,0.105
C-WEU-PRT,2015,oil,0.125
C-WEU-SWE,2015,oil,0.149
C-EEU-HRV,2015,oil,0.075
C-EEU-BGR,2015,district_heat,0.041
C-EEU-CZE,2015,district_heat,0.081
C-EEU-EST,2015,district_heat,0.046
C-EEU-HUN,2015,district_heat,0.045
C-EEU-LTU,2015,district_heat,0.077
C-EEU-LVA,2015,district_heat,0.06
C-EEU-POL,2015,district_heat,0.054
C-EEU-ROU,2015,district_heat,0.075
C-EEU-SVK,2015,district_heat,0.099
C-EEU-SVN,2015,district_heat,0.072
C-WEU-AUT,2015,district_heat,0.082
C-WEU-BEL,2015,district_heat,0.082
C-WEU-CYP,2015,district_heat,0.055357143
C-WEU-DEU,2015,district_heat,0.091
C-WEU-DNK,2015,district_heat,0.13
C-WEU-ESP,2015,district_heat,0.06052381
C-WEU-FIN,2015,district_heat,0.073
C-WEU-FRA,2015,district_heat,0.071
C-WEU-GBR,2015,district_heat,0.055
C-WEU-GRC,2015,district_heat,0.053880952
C-WEU-IRL,2015,district_heat,0.07602381
C-WEU-ITA,2015,district_heat,0.083
