region_bld,inc_cl,urt,year,value
C-WEU-AUT,q1,rur,2015,17208.04695
C-WEU-AUT,q2,rur,2015,27438.42968
C-WEU-AUT,q3,rur,2015,45319.12764
C-WEU-AUT,q1,urb,2015,28895.7546
C-WEU-AUT,q2,urb,2015,47413.2098
C-WEU-AUT,q3,urb,2015,81337.63179
C-WEU-AUT,q1,rur,2020,18270.52528
C-WEU-AUT,q2,rur,2020,29525.94423
C-WEU-AUT,q3,rur,2020,49353.50439
C-WEU-AUT,q1,urb,2020,30967.56738
C-WEU-AUT,q2,urb,2020,50947.0039
C-WEU-AUT,q3,urb,2020,87963.1077
C-WEU-AUT,q1,rur,2025,19226.51135
C-WEU-AUT,q2,rur,2025,31110.83755
C-WEU-AUT,q3,rur,2025,53443.17346
C-WEU-AUT,q1,urb,2025,32705.76201
C-WEU-AUT,q2,urb,2025,54252.88652
C-WEU-AUT,q3,urb,2025,94733.37103
C-WEU-AUT,q1,rur,2030,20083.22974
C-WEU-AUT,q2,rur,2030,33104.85326
C-WEU-AUT,q3,rur,2030,56799.74335
C-WEU-AUT,q1,urb,2030,34320.97033
C-WEU-AUT,q2,urb,2030,57214.1916
C-WEU-AUT,q3,urb,2030,101666.9786
C-WEU-AUT,q1,rur,2035,21566.95276
C-WEU-AUT,q2,rur,2035,35182.50133
C-WEU-AUT,q3,rur,2035,59944.68577
C-WEU-AUT,q1,urb,2035,36256.43752
C-WEU-AUT,q2,urb,2035,60913.52853
C-WEU-AUT,q3,urb,2035,107301.5347
C-WEU-AUT,q1,rur,2040,22875.913
C-WEU-AUT,q2,rur,2040,37721.54875
C-WEU-AUT,q3,rur,2040,65837.541
C-WEU-AUT,q1,urb,2040,38981.70683
C-WEU-AUT,q2,urb,2040,65935.13437
C-WEU-AUT,q3,urb,2040,117800.556
C-WEU-AUT,q1,rur,2045,24130.82461
C-WEU-AUT,q2,rur,2045,39995.86035
C-WEU-AUT,q3,rur,2045,69627.26241
C-WEU-AUT,q1,urb,2045,41605.87075
C-WEU-AUT,q2,urb,2045,70360.98063
C-WEU-AUT,q3,urb,2045,125539.797
C-WEU-AUT,q1,rur,2050,25483.14081
C-WEU-AUT,q2,rur,2050,42039.13349
C-WEU-AUT,q3,rur,2050,73475.99405
C-WEU-AUT,q1,urb,2050,43638.20427
C-WEU-AUT,q2,urb,2050,74699.32003
C-WEU-AUT,q3,urb,2050,135008.4941
C-WEU-AUT,q1,rur,2055,27661.71399
C-WEU-AUT,q2,rur,2055,45784.15086
C-WEU-AUT,q3,rur,2055,80295.39303
C-WEU-AUT,q1,urb,2055,46829.19489
C-WEU-AUT,q2,urb,2055,80045.31371
C-WEU-AUT,q3,urb,2055,143898.0178
C-WEU-AUT,q1,rur,2060,29212.98722
C-WEU-AUT,q2,rur,2060,48558.40074
C-WEU-AUT,q3,rur,2060,84471.71603
C-WEU-AUT,q1,urb,2060,49995.60696
C-WEU-AUT,q2,urb,2060,84482.97039
C-WEU-AUT,q3,urb,2060,153202.7486
C-WEU-AUT,q1,rur,2065,30989.48347
C-WEU-AUT,q2,rur,2065,51688.31582
C-WEU-AUT,q3,rur,2065,90564.8814
C-WEU-AUT,q1,urb,2065,53870.00731
C-WEU-AUT,q2,urb,2065,91283.96563
C-WEU-AUT,q3,urb,2065,165362.26
C-WEU-AUT,q1,rur,2070,33099.13844
C-WEU-AUT,q2,rur,2070,54669.8042
C-WEU-AUT,q3,rur,2070,96623.46175
C-WEU-AUT,q1,urb,2070,57415.87646
C-WEU-AUT,q2,urb,2070,98324.89989
C-WEU-AUT,q3,urb,2070,176358.4056
C-WEU-AUT,q1,rur,2075,35551.69397
C-WEU-AUT,q2,rur,2075,58879.82815
C-WEU-AUT,q3,rur,2075,101530.6266
C-WEU-AUT,q1,urb,2075,61561.50376
C-WEU-AUT,q2,urb,2075,103740.1905
C-WEU-AUT,q3,urb,2075,187149.0711
C-WEU-AUT,q1,rur,2080,37391.7877
C-WEU-AUT,q2,rur,2080,62069.38578
C-WEU-AUT,q3,rur,2080,108382.7026
C-WEU-AUT,q1,urb,2080,64808.31112
C-WEU-AUT,q2,urb,2080,110705.9098
C-WEU-AUT,q3,urb,2080,198795.4461
C-WEU-AUT,q1,rur,2085,39698.45825
C-WEU-AUT,q2,rur,2085,65622.40672
C-WEU-AUT,q3,rur,2085,113354.1698
C-WEU-AUT,q1,urb,2085,69549.05355
C-WEU-AUT,q2,urb,2085,118108.0738
C-WEU-AUT,q3,urb,2085,211535.1451
C-WEU-AUT,q1,rur,2090,42352.5897
C-WEU-AUT,q2,rur,2090,70044.22086
C-WEU-AUT,q3,rur,2090,120880.9604
C-WEU-AUT,q1,urb,2090,73433.21802
C-WEU-AUT,q2,urb,2090,124578.6253
C-WEU-AUT,q3,urb,2090,221515.5285
C-WEU-AUT,q1,rur,2095,44502.1328
C-WEU-AUT,q2,rur,2095,73491.19087
C-WEU-AUT,q3,rur,2095,127810.8494
C-WEU-AUT,q1,urb,2095,78913.33761
C-WEU-AUT,q2,urb,2095,133476.139
C-WEU-AUT,q3,urb,2095,236768.4588
