node,commodity,level,year,time,value,mrg
R11_AFR,coal,final,2020,year,75.12328945,0
R11_AFR,coal,final,2025,year,55.32963362,0
R11_AFR,coal,final,2030,year,64.87993977,0
R11_AFR,coal,final,2035,year,69.45640035,0
R11_AFR,coal,final,2040,year,71.79102742,0
R11_AFR,coal,final,2045,year,64.27374733,0
R11_AFR,coal,final,2050,year,65.92082886,0
R11_AFR,coal,final,2055,year,74.44427948,0
R11_AFR,coal,final,2060,year,110.6875542,0
R11_AFR,coal,final,2070,year,106.5303478,0
R11_AFR,coal,final,2080,year,136.8946454,0
R11_AFR,coal,final,2090,year,126.1712569,0
R11_AFR,coal,final,2100,year,141.3813153,0
R11_AFR,coal,final,2110,year,102.3090237,0
R11_AFR,electr,final,2020,year,363.1441986,0
R11_AFR,electr,final,2025,year,490.063701,0
R11_AFR,electr,final,2030,year,420.5190816,0
R11_AFR,electr,final,2035,year,477.2626437,0
R11_AFR,electr,final,2040,year,479.0451184,0
R11_AFR,electr,final,2045,year,485.4562763,0
R11_AFR,electr,final,2050,year,476.7839828,0
R11_AFR,electr,final,2055,year,515.5823431,0
R11_AFR,electr,final,2060,year,700.1614001,0
R11_AFR,electr,final,2070,year,525.2980169,0
R11_AFR,electr,final,2080,year,551.6786725,0
R11_AFR,electr,final,2090,year,549.2116806,0
R11_AFR,electr,final,2100,year,589.2508284,0
R11_AFR,electr,final,2110,year,460.7179094,0
R11_AFR,gas,final,2020,year,141.5735493,0
R11_AFR,gas,final,2025,year,133.9381198,0
R11_AFR,gas,final,2030,year,168.8048442,0
R11_AFR,gas,final,2035,year,138.2696986,0
R11_AFR,gas,final,2040,year,143.6043066,0
R11_AFR,gas,final,2045,year,148.0685058,0
R11_AFR,gas,final,2050,year,158.154418,0
R11_AFR,gas,final,2055,year,169.2140887,0
R11_AFR,gas,final,2060,year,203.6992672,0
R11_AFR,gas,final,2070,year,210.4900625,0
R11_AFR,gas,final,2080,year,243.0455325,0
R11_AFR,gas,final,2090,year,260.874791,0
R11_AFR,gas,final,2100,year,283.9741462,0
R11_AFR,gas,final,2110,year,208.3137518,0
R11_AFR,lightoil,final,2020,year,98.90131408,0
R11_AFR,lightoil,final,2025,year,133.9381198,0
R11_AFR,lightoil,final,2030,year,143.2629899,0
R11_AFR,lightoil,final,2035,year,146.1190232,0
R11_AFR,lightoil,final,2040,year,156.3058112,0
R11_AFR,lightoil,final,2045,year,174.4311003,0
R11_AFR,lightoil,final,2050,year,199.9945731,0
R11_AFR,lightoil,final,2055,year,199.2557575,0
R11_AFR,lightoil,final,2060,year,256.1992672,0
R11_AFR,lightoil,final,2070,year,214.5114962,0
R11_AFR,lightoil,final,2080,year,242.8637544,0
R11_AFR,lightoil,final,2090,year,264.6014418,0
R11_AFR,lightoil,final,2100,year,260.7862415,0
R11_AFR,lightoil,final,2110,year,168.971686,0
R11_AFR,biomass,final,2020,year,113.92639,0
R11_AFR,biomass,final,2025,year,65.07549758,0
R11_AFR,biomass,final,2030,year,36.24534638,0
R11_AFR,biomass,final,2035,year,69.80787767,0
R11_AFR,biomass,final,2040,year,63.17942431,0
R11_AFR,biomass,final,2045,year,63.83277543,0
R11_AFR,biomass,final,2050,year,70.1573109,0
R11_AFR,biomass,final,2055,year,81.58436898,0
R11_AFR,biomass,final,2060,year,120.1965467,0
R11_AFR,biomass,final,2070,year,95.39632809,0
R11_AFR,biomass,final,2080,year,132.5456727,0
R11_AFR,biomass,final,2090,year,150.6156562,0
R11_AFR,biomass,final,2100,year,122.3143185,0
R11_AFR,biomass,final,2110,year,127.1443436,0
R11_AFR,d_heat,final,2020,year,187.2198312,0
R11_AFR,d_heat,final,2025,year,214.7754804,0
R11_AFR,d_heat,final,2030,year,142.0452142,0
R11_AFR,d_heat,final,2035,year,209.2471862,0
R11_AFR,d_heat,final,2040,year,188.6088486,0
R11_AFR,d_heat,final,2045,year,184.8625713,0
R11_AFR,d_heat,final,2050,year,191.3087471,0
R11_AFR,d_heat,final,2055,year,207.4045823,0
R11_AFR,d_heat,final,2060,year,267.0775778,0
R11_AFR,d_heat,final,2070,year,218.0135817,0
R11_AFR,d_heat,final,2080,year,223.7310551,0
R11_AFR,d_heat,final,2090,year,208.2821034,0
R11_AFR,d_heat,final,2100,year,221.6727746,0
R11_AFR,d_heat,final,2110,year,187.7933822,0
R11_CPA,coal,final,2020,year,99.07431877,0
R11_CPA,coal,final,2025,year,95.97783158,0
R11_CPA,coal,final,2030,year,94.78593533,0
R11_CPA,coal,final,2035,year,92.1484836,0
R11_CPA,coal,final,2040,year,92.24599268,0
R11_CPA,coal,final,2045,year,91.01659693,0
R11_CPA,coal,final,2050,year,94.0362181,0
R11_CPA,coal,final,2055,year,91.63822509,0
R11_CPA,coal,final,2060,year,95.8778148,0
R11_CPA,coal,final,2070,year,94.16848889,0
R11_CPA,coal,final,2080,year,95.28355556,0
R11_CPA,coal,final,2090,year,96.4099,0
R11_CPA,coal,final,2100,year,97.54773333,0
R11_CPA,coal,final,2110,year,68.11111111,0
R11_CPA,electr,final,2020,year,637.9604179,0
R11_CPA,electr,final,2025,year,451.202937,0
R11_CPA,electr,final,2030,year,491.8043182,0
R11_CPA,electr,final,2035,year,470.5401853,0
R11_CPA,electr,final,2040,year,506.0868412,0
R11_CPA,electr,final,2045,year,489.8808714,0
R11_CPA,electr,final,2050,year,505.722268,0
R11_CPA,electr,final,2055,year,504.8297105,0
R11_CPA,electr,final,2060,year,727.1621088,0
R11_CPA,electr,final,2070,year,489.6807488,0
R11_CPA,electr,final,2080,year,473.7031793,0
R11_CPA,electr,final,2090,year,477.4792913,0
R11_CPA,electr,final,2100,year,511.3968814,0
R11_CPA,electr,final,2110,year,396.6010621,0
R11_CPA,gas,final,2020,year,350.9537805,0
R11_CPA,gas,final,2025,year,158.0204717,0
R11_CPA,gas,final,2030,year,157.6482764,0
R11_CPA,gas,final,2035,year,182.5973821,0
R11_CPA,gas,final,2040,year,205.714443,0
R11_CPA,gas,final,2045,year,193.5256497,0
R11_CPA,gas,final,2050,year,169.5853919,0
R11_CPA,gas,final,2055,year,190.9075788,0
R11_CPA,gas,final,2060,year,276.0189969,0
R11_CPA,gas,final,2070,year,181.5337091,0
R11_CPA,gas,final,2080,year,200.4404148,0
R11_CPA,gas,final,2090,year,230.174773,0
R11_CPA,gas,final,2100,year,273.3860694,0
R11_CPA,gas,final,2110,year,156.8099988,0
R11_CPA,lightoil,final,2020,year,107.6701436,0
