ssp,region_gea,fuel,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2070,y2080,y2090,y2100
SSP2,CPA,electricity,14.90869094,19.27624027,15.92443613,17.0031328,18.20420364,18.22261258,17.81848095,18.57097105,18.44019966,21.72766241,18.22099717,17.30760874,17.34662694,18.63356688
SSP2,CPA,gas,4.697031948,5.73595421,5.49161865,7.410038428,5.801481638,5.537884024,7.025348219,6.964603563,7.21255045,7.799156098,7.381396805,7.422275865,7.462949788,8.034411035
SSP2,CPA,oil,1.622474172,3.713021308,4.757648509,4.869628849,5.236838296,5.826205694,6.276047524,6.720528236,7.366109596,8.340710622,7.87551222,8.008172332,9.2012275,8.143853101
SSP2,CPA,biomass_solid,10.27741247,70.97464754,3.082472558,2.51200324,2.830673624,3.337241277,4.008804994,4.574640922,3.690519682,7.460798741,4.426186634,4.808339697,5.092753742,6.022180156
SSP2,CPA,coal,3.313716543,3.476584072,3.382089357,3.323425685,3.391866434,3.389212027,3.400375518,3.483552097,3.469740214,3.563267568,3.569994427,3.633029257,3.695245805,3.750775517
SSP2,EEU,electricity,20.47050908,36.58444074,18.18509278,19.26388889,21.21300471,20.46489039,20.74390056,20.75657262,20.25500541,25.02690428,21.1990967,21.93244233,22.81393053,24.06742922
SSP2,EEU,gas,1.488285029,14.60331377,5.938867881,5.691089185,5.007818744,6.154035418,7.032137376,5.779721912,5.524581499,7.563440689,7.381428388,8.033126593,9.222227187,8.166838104
SSP2,EEU,oil,0.252038927,13.13494448,5.204553823,4.946842582,5.26270504,5.833431076,5.994030911,7.278648522,7.137400889,8.999359788,7.483148509,8.989893965,10.04333393,10.00112228
SSP2,EEU,biomass_solid,0.702528708,8.060383248,3.041576846,2.152485439,1.806043818,1.312204298,0.997628347,1.565157409,1.962883791,2.527498459,2.481387137,3.365982772,3.794173398,2.85864337
SSP2,EEU,coal,3.910956348,10.11464277,3.746538405,2.556836045,2.600406345,2.456923853,2.317820148,2.774282418,2.622557247,3.621763125,3.600887519,4.395198076,4.523510088,3.92324846
SSP2,FSU,electricity,20.44963003,16.16117331,17.97909448,18.25915723,18.49427426,20.17447167,19.95219582,18.27415576,18.21699778,22.77613401,19.38414344,19.64935707,21.27190891,24.19524632
