region_bld,inc_cl,urt,value
C-WEU-AUT,q1,rur,17208.04695
C-WEU-AUT,q2,rur,27438.42968
C-WEU-AUT,q3,rur,45319.12764
C-WEU-AUT,q1,urb,28895.7546
C-WEU-AUT,q2,urb,47413.2098
C-WEU-AUT,q3,urb,81337.63179
C-WEU-BEL,q1,rur,15479.33281
C-WEU-BEL,q2,rur,24907.05683
C-WEU-BEL,q3,rur,41933.38143
C-WEU-BEL,q1,urb,26074.97046
C-WEU-BEL,q2,urb,42769.32075
C-WEU-BEL,q3,urb,73776.70537
C-EEU-BGR,q1,rur,5195.091131
C-EEU-BGR,q2,rur,9876.495568
C-EEU-BGR,q3,rur,20248.70367
C-EEU-BGR,q1,urb,8205.324071
C-EEU-BGR,q2,urb,15923.78239
C-EEU-BGR,q3,urb,34570.64311
C-WEU-CHE,q1,rur,16735.58027
C-WEU-CHE,q2,rur,29113.83276
C-WEU-CHE,q3,rur,52957.75659
C-WEU-CHE,q1,urb,28364.3866
C-WEU-CHE,q2,urb,50039.11793
C-WEU-CHE,q3,urb,94270.17882
C-WEU-CYP,q1,rur,7347.744755
C-WEU-CYP,q2,rur,12926.98671
C-WEU-CYP,q3,rur,24398.21762
C-WEU-CYP,q1,urb,11889.60877
C-WEU-CYP,q2,urb,21453.813
C-WEU-CYP,q3,urb,41901.38778
C-EEU-CZE,q1,rur,11818.50363
C-EEU-CZE,q2,rur,19101.40233
C-EEU-CZE,q3,rur,31784.72069
C-EEU-CZE,q1,urb,19545.52566
C-EEU-CZE,q2,urb,31961.9759
C-EEU-CZE,q3,urb,54910.96405
C-WEU-DEU,q1,rur,15257.70264
C-WEU-DEU,q2,rur,25561.94198
C-WEU-DEU,q3,rur,45045.5105
C-WEU-DEU,q1,urb,25914.74645
C-WEU-DEU,q2,urb,44190.29571
C-WEU-DEU,q3,urb,80020.28306
C-WEU-DNK,q1,rur,16121.0369
C-WEU-DNK,q2,rur,24440.71787
C-WEU-DNK,q3,rur,38455.03603
C-WEU-DNK,q1,urb,26860.88145
C-WEU-DNK,q2,urb,41405.73856
C-WEU-DNK,q3,urb,66436.74008
C-WEU-ESP,q1,rur,11397.96535
C-WEU-ESP,q2,rur,19713.56093
C-WEU-ESP,q3,rur,36572.90008
C-WEU-ESP,q1,urb,18610.45858
C-WEU-ESP,q2,urb,33406.52632
C-WEU-ESP,q3,urb,64232.52697
C-EEU-EST,q1,rur,8131.060287
C-EEU-EST,q2,rur,14947.29691
C-EEU-EST,q3,rur,29512.95121
C-EEU-EST,q1,urb,13163.29894
C-EEU-EST,q2,urb,24942.97672
C-EEU-EST,q3,urb,51810.15954
C-WEU-FIN,q1,rur,16074.09573
C-WEU-FIN,q2,rur,24767.65607
C-WEU-FIN,q3,rur,39735.71247
C-WEU-FIN,q1,urb,26408.04967
C-WEU-FIN,q2,urb,41967.64837
C-WEU-FIN,q3,urb,69661.57617
C-WEU-FRA,q1,rur,13356.44753
C-WEU-FRA,q2,rur,21812.09175
C-WEU-FRA,q3,rur,37557.00513
C-WEU-FRA,q1,urb,22272.0952
C-WEU-FRA,q2,urb,37357.18523
C-WEU-FRA,q3,urb,65633.12346
C-WEU-GBR,q1,rur,13584.14184
C-WEU-GBR,q2,rur,24343.02157
C-WEU-GBR,q3,rur,46615.27148
C-WEU-GBR,q1,urb,22643.38341
C-WEU-GBR,q2,urb,41374.27146
C-WEU-GBR,q3,urb,82588.43858
C-WEU-GRC,q1,rur,9258.189814
C-WEU-GRC,q2,rur,16309.66163
C-WEU-GRC,q3,rur,30684.89048
C-WEU-GRC,q1,urb,14955.26634
C-WEU-GRC,q2,urb,27158.84739
C-WEU-GRC,q3,urb,52161.22216
C-EEU-HUN,q1,rur,8326.465695
C-EEU-HUN,q2,rur,13146.2384
C-EEU-HUN,q3,rur,21880.10786
C-EEU-HUN,q1,urb,13216.70898
C-EEU-HUN,q2,urb,21627.90082
C-EEU-HUN,q3,urb,37051.82738
C-WEU-IRL,q1,rur,15641.38352
C-WEU-IRL,q2,rur,26559.37581
C-WEU-IRL,q3,rur,48438.31171
C-WEU-IRL,q1,urb,26201.19692
C-WEU-IRL,q2,urb,45996.34552
C-WEU-IRL,q3,urb,85640.48407
C-WEU-ISL,q1,rur,15533.18656
C-WEU-ISL,q2,rur,24609.12513
C-WEU-ISL,q3,rur,41068.13787
C-WEU-ISL,q1,urb,26118.15431
