region_bld,fuel,year,value
C-EEU-BGR,electricity,2015,0.0942
C-EEU-CZE,electricity,2015,0.1385
C-EEU-EST,electricity,2015,0.1302
C-EEU-HUN,electricity,2015,0.1127
C-EEU-LTU,electricity,2015,0.1256
C-EEU-LVA,electricity,2015,0.1635
C-EEU-POL,electricity,2015,0.1444
C-EEU-ROU,electricity,2015,0.1303
C-EEU-SVK,electricity,2015,0.1506
C-EEU-SVN,electricity,2015,0.1589
C-WEU-AUT,electricity,2015,0.2009
C-WEU-BEL,electricity,2015,0.2126
C-WEU-CHE,electricity,2015,0.181515385
C-WEU-CYP,electricity,2015,0.1957
C-WEU-DEU,electricity,2015,0.2951
C-WEU-DNK,electricity,2015,0.3068
C-WEU-ESP,electricity,2015,0.2309
C-WEU-FIN,electricity,2015,0.1552
C-WEU-FRA,electricity,2015,0.1676
C-WEU-GBR,electricity,2015,0.2125
C-WEU-GRC,electricity,2015,0.1767
C-WEU-IRL,electricity,2015,0.2426
C-WEU-ISL,electricity,2015,0.181515385
C-WEU-ITA,electricity,2015,0.245
C-WEU-LUX,electricity,2015,0.1767
C-WEU-MLT,electricity,2015,0.1257
C-WEU-NLD,electricity,2015,0.1986
C-WEU-NOR,electricity,2015,0.181515385
C-WEU-PRT,electricity,2015,0.2279
C-WEU-SWE,electricity,2015,0.1872
C-EEU-BGR,gas,2015,0.047724982
C-EEU-CZE,gas,2015,0.057412887
C-EEU-EST,gas,2015,0.045608351
C-EEU-HUN,gas,2015,0.035287617
C-EEU-LTU,gas,2015,0.042296616
C-EEU-LVA,gas,2015,0.049568035
C-EEU-POL,gas,2015,0.050060115
C-EEU-ROU,gas,2015,0.031142189
C-EEU-SVK,gas,2015,0.049604032
C-EEU-SVN,gas,2015,0.062922966
C-WEU-AUT,gas,2015,0.07300216
C-WEU-BEL,gas,2015,0.058423326
C-WEU-CHE,gas,2015,0.061225045
C-WEU-CYP,gas,2015,0.062580216
C-WEU-DEU,gas,2015,0.067602592
