region_bld,inc_cl,urt,year,value
C-WEU-AUT,q1,rur,2015,17332.30522
C-WEU-AUT,q2,rur,2015,27300.71193
C-WEU-AUT,q3,rur,2015,45478.38368
C-WEU-AUT,q1,urb,2015,28809.18166
C-WEU-AUT,q2,urb,2015,46663.57652
C-WEU-AUT,q3,urb,2015,79362.35769
C-WEU-AUT,q1,rur,2020,18352.68994
C-WEU-AUT,q2,rur,2020,29404.75796
C-WEU-AUT,q3,rur,2020,49617.21825
C-WEU-AUT,q1,urb,2020,31021.21868
C-WEU-AUT,q2,urb,2020,50928.03405
C-WEU-AUT,q3,urb,2020,87620.14369
C-WEU-AUT,q1,rur,2025,19359.01567
C-WEU-AUT,q2,rur,2025,31361.87967
C-WEU-AUT,q3,rur,2025,52634.41544
C-WEU-AUT,q1,urb,2025,32959.1987
C-WEU-AUT,q2,urb,2025,54224.58614
C-WEU-AUT,q3,urb,2025,94687.7001
C-WEU-AUT,q1,rur,2030,20923.45618
C-WEU-AUT,q2,rur,2030,33515.27426
C-WEU-AUT,q3,rur,2030,56775.34944
C-WEU-AUT,q1,urb,2030,35252.11305
C-WEU-AUT,q2,urb,2030,58291.3739
C-WEU-AUT,q3,urb,2030,101381.5788
C-WEU-AUT,q1,rur,2035,22505.54024
C-WEU-AUT,q2,rur,2035,35974.25883
C-WEU-AUT,q3,rur,2035,60534.8991
C-WEU-AUT,q1,urb,2035,38150.54563
C-WEU-AUT,q2,urb,2035,62359.16975
C-WEU-AUT,q3,urb,2035,108361.3487
C-WEU-AUT,q1,rur,2040,24285.15472
C-WEU-AUT,q2,rur,2040,38762.02321
C-WEU-AUT,q3,rur,2040,64392.3908
C-WEU-AUT,q1,urb,2040,40576.03182
C-WEU-AUT,q2,urb,2040,66515.67014
C-WEU-AUT,q3,urb,2040,114950.7816
C-WEU-AUT,q1,rur,2045,25990.73559
C-WEU-AUT,q2,rur,2045,40938.82396
C-WEU-AUT,q3,rur,2045,67629.66436
C-WEU-AUT,q1,urb,2045,44558.10997
C-WEU-AUT,q2,urb,2045,72170.64115
C-WEU-AUT,q3,urb,2045,122899.8693
C-WEU-AUT,q1,rur,2050,27732.73303
C-WEU-AUT,q2,rur,2050,43840.81218
C-WEU-AUT,q3,rur,2050,72186.15248
C-WEU-AUT,q1,urb,2050,47657.25415
C-WEU-AUT,q2,urb,2050,76065.46809
C-WEU-AUT,q3,urb,2050,128506.9846
C-WEU-AUT,q1,rur,2055,29418.81792
C-WEU-AUT,q2,rur,2055,45511.42512
C-WEU-AUT,q3,rur,2055,74043.46338
C-WEU-AUT,q1,urb,2055,50383.90034
C-WEU-AUT,q2,urb,2055,80974.3595
C-WEU-AUT,q3,urb,2055,134894.5829
C-WEU-AUT,q1,rur,2060,30957.10638
C-WEU-AUT,q2,rur,2060,47704.81569
C-WEU-AUT,q3,rur,2060,76385.262
C-WEU-AUT,q1,urb,2060,53764.70243
C-WEU-AUT,q2,urb,2060,84815.70175
C-WEU-AUT,q3,urb,2060,138746.914
C-WEU-AUT,q1,rur,2065,33058.86482
