region_gea,mat,arch,bld_age,p_dem_hist,p_ren_hist,dem_k,dem_lambda,n_yrs_nodem,ren_tau,ren_sd,l_new,l_ren
PAS,sub,inf,ns,0.01,0.01,1.88,41.23,0,50,10,20,20
CPA,sub,inf,ns,0.01,0.01,2,33.85,0,40,10,20,20
EEU,sub,inf,ns,0.01,0.01,2.5,73.26,0,40,10,20,20
NAM,sub,inf,ns,0.01,0.01,4.16,85.19,0,40,10,20,20
WEU,sub,inf,ns,0.01,0.01,2.95,150,0,40,10,20,20
LAC,sub,inf,ns,0.01,0.01,1.97,68.24,0,40,10,20,20
PAO,sub,inf,ns,0.01,0.01,1.97,94,0,40,10,20,20
FSU,sub,inf,ns,0.01,0.01,2.5,73.26,0,40,10,20,20
AFR,sub,inf,ns,0.01,0.01,1.97,67.34,0,40,10,20,20
MEA,sub,inf,ns,0.01,0.01,1.97,67.34,0,40,10,20,20
SAS,sub,inf,ns,0.01,0.01,1.97,67.34,0,40,10,20,20
PAS,perm,mfh,p1,0.01,0.01,1.9,43.95,0,50,10,20,20
CPA,perm,mfh,p1,0.01,0.01,2,31.03,0,40,10,20,20
EEU,perm,mfh,p1,0.01,0.01,2.5,150,0,40,10,20,20
NAM,perm,mfh,p1,0.01,0.01,4.16,150,0,40,10,20,20
WEU,perm,mfh,p1,0.01,0.01,2.95,150,0,40,10,20,20
LAC,perm,mfh,p1,0.01,0.01,1.97,68.24,0,40,10,20,20
PAO,perm,mfh,p1,0.01,0.01,1.97,94,0,40,10,20,20
FSU,perm,mfh,p1,0.01,0.01,2.5,53.6,0,40,10,20,20
AFR,perm,mfh,p1,0.01,0.01,1.97,67.34,0,40,10,20,20
MEA,perm,mfh,p1,0.01,0.01,1.97,67.34,0,40,10,20,20
SAS,perm,mfh,p1,0.01,0.01,1.97,67.34,0,40,10,20,20
PAS,perm,sfh,p1,0.01,0.01,1.88,41.23,0,50,10,20,20
CPA,perm,sfh,p1,0.01,0.01,2,33.85,0,40,10,20,20
EEU,perm,sfh,p1,0.01,0.01,2.5,150,0,40,10,20,20
NAM,perm,sfh,p1,0.01,0.01,4.16,150,0,40,10,20,20
WEU,perm,sfh,p1,0.01,0.01,2.95,150,0,40,10,20,20
LAC,perm,sfh,p1,0.01,0.01,1.97,68.24,0,40,10,20,20
PAO,perm,sfh,p1,0.01,0.01,1.97,94,0,40,10,20,20
FSU,perm,sfh,p1,0.01,0.01,2.5,73.26,0,40,10,20,20
AFR,perm,sfh,p1,0.01,0.01,1.97,67.34,0,40,10,20,20
MEA,perm,sfh,p1,0.01,0.01,1.97,67.34,0,40,10,20,20
SAS,perm,sfh,p1,0.01,0.01,1.97,67.34,0,40,10,20,20
PAS,perm,mfh,p2,0.01,0.01,1.9,43.95,0,50,10,20,20
CPA,perm,mfh,p2,0.01,0.01,2,31.03,0,40,10,20,20
