region_gea,hh_group,year,d_beh
AFR,g1,2035,-0.053342521
AFR,g2,2035,-0.086315124
AFR,g3,2035,-0.090747385
AFR,g4,2035,-0.091867532
CPA,g1,2035,0.029654605
CPA,g2,2035,0.026684927
CPA,g3,2035,0.009621893
CPA,g4,2035,0.013065646
EEU,g1,2035,0.096022576
EEU,g2,2035,0.098105875
EEU,g3,2035,0.08766442
EEU,g4,2035,0.090327434
FSU,g1,2035,0.018785226
FSU,g2,2035,0.023603305
FSU,g3,2035,0.018730776
FSU,g4,2035,0.019908353
LAC,g1,2035,-0.046282828
LAC,g2,2035,-0.097908804
LAC,g3,2035,-0.107743257
LAC,g4,2035,-0.109022244
MEA,g1,2035,-0.057987858
MEA,g2,2035,-0.107898643
MEA,g3,2035,-0.139011966
MEA,g4,2035,-0.138500725
NAM,g1,2035,0.17376122
NAM,g2,2035,0.17319892
NAM,g3,2035,0.120617693
NAM,g4,2035,0.151543937
PAO,g1,2035,0.136902732
PAO,g2,2035,0.137295658
PAO,g3,2035,0.129207735
PAO,g4,2035,0.129421362
PAS,g1,2035,0.071112254
PAS,g2,2035,0.073786967
PAS,g3,2035,0.037931679
PAS,g4,2035,0.059547529
SAS,g1,2035,-0.038073954
SAS,g2,2035,-0.047965132
SAS,g3,2035,-0.082597171
SAS,g4,2035,-0.056741697
WEU,g1,2035,0.155902498
WEU,g2,2035,0.161308964
WEU,g3,2035,0.102834763
WEU,g4,2035,0.152345029
