region_gea,hh_group,year,d_beh
AFR,g1,2040,-0.047112095
AFR,g2,2040,-0.031747455
AFR,g3,2040,-0.083419115
AFR,g4,2040,-0.084676504
CPA,g1,2040,0.041908131
CPA,g2,2040,0.048562708
CPA,g3,2040,0.023619763
CPA,g4,2040,0.028644566
EEU,g1,2040,0.080830034
EEU,g2,2040,0.084731177
EEU,g3,2040,0.079300997
EEU,g4,2040,0.084149718
FSU,g1,2040,0.009509525
FSU,g2,2040,0.016839089
FSU,g3,2040,0.015273937
FSU,g4,2040,0.014398868
LAC,g1,2040,-0.022432392
LAC,g2,2040,-0.020078793
LAC,g3,2040,-0.084436294
LAC,g4,2040,-0.084920216
MEA,g1,2040,-0.02629732
MEA,g2,2040,-0.026761371
MEA,g3,2040,-0.108930255
MEA,g4,2040,-0.099843633
NAM,g1,2040,0.1522639
NAM,g2,2040,0.152952534
NAM,g3,2040,0.096243025
NAM,g4,2040,0.131793877
PAO,g1,2040,0.126818208
PAO,g2,2040,0.127890516
PAO,g3,2040,0.120882617
PAO,g4,2040,0.121225494
PAS,g1,2040,0.078765653
PAS,g2,2040,0.081895159
PAS,g3,2040,0.045212583
PAS,g4,2040,0.072920589
SAS,g1,2040,-0.017986248
SAS,g2,2040,-0.022184502
SAS,g3,2040,-0.065757379
SAS,g4,2040,-0.03427871
WEU,g1,2040,0.13517298
WEU,g2,2040,0.142287285
WEU,g3,2040,0.101803387
WEU,g4,2040,0.138956589
