region_gea,hh_group,year,d_beh
AFR,g1,2030,-0.096685293
AFR,g2,2030,-0.08427005
AFR,g3,2030,-0.086527924
AFR,g4,2030,-0.087292216
CPA,g1,2030,0.011293672
CPA,g2,2030,0.001835085
CPA,g3,2030,-0.005543072
CPA,g4,2030,-0.003718766
EEU,g1,2030,0.103706423
EEU,g2,2030,0.103173497
EEU,g3,2030,0.099786544
EEU,g4,2030,0.100511047
FSU,g1,2030,0.027610937
FSU,g2,2030,0.028470276
FSU,g3,2030,0.019828565
FSU,g4,2030,0.023467592
LAC,g1,2030,-0.146363852
LAC,g2,2030,-0.131173002
LAC,g3,2030,-0.133757897
LAC,g4,2030,-0.13526067
MEA,g1,2030,-0.161334359
MEA,g2,2030,-0.168044289
MEA,g3,2030,-0.166526893
MEA,g4,2030,-0.167793191
NAM,g1,2030,0.195866703
NAM,g2,2030,0.191338163
NAM,g3,2030,0.146913317
NAM,g4,2030,0.172927368
PAO,g1,2030,0.146701301
PAO,g2,2030,0.139325866
PAO,g3,2030,0.133314037
PAO,g4,2030,0.133877201
PAS,g1,2030,0.061214002
PAS,g2,2030,0.061656594
PAS,g3,2030,0.030010927
PAS,g4,2030,0.037832713
SAS,g1,2030,-0.065011912
SAS,g2,2030,-0.076284052
SAS,g3,2030,-0.104670359
SAS,g4,2030,-0.08365393
WEU,g1,2030,0.174572533
WEU,g2,2030,0.175811478
WEU,g3,2030,0.101748606
WEU,g4,2030,0.163525045
