region_gea,hh_group,year,d_beh
AFR,g1,2025,-0.121550891
AFR,g2,2025,-0.107477009
AFR,g3,2025,-0.106533688
AFR,g4,2025,-0.104618898
CPA,g1,2025,-0.020788987
CPA,g2,2025,-0.019171669
CPA,g3,2025,-0.02218272
CPA,g4,2025,-0.021061662
EEU,g1,2025,0.100936101
EEU,g2,2025,0.098493308
EEU,g3,2025,0.083749252
EEU,g4,2025,0.087710189
FSU,g1,2025,0.011096228
FSU,g2,2025,0.010099646
FSU,g3,2025,0.000192693
FSU,g4,2025,0.004735775
LAC,g1,2025,-0.189832833
LAC,g2,2025,-0.172365635
LAC,g3,2025,-0.170150323
LAC,g4,2025,-0.169814498
MEA,g1,2025,-0.229800264
MEA,g2,2025,-0.205082934
MEA,g3,2025,-0.197895509
MEA,g4,2025,-0.19796027
NAM,g1,2025,0.164413649
NAM,g2,2025,0.160362531
NAM,g3,2025,0.120192822
NAM,g4,2025,0.130072585
PAO,g1,2025,0.11824691
PAO,g2,2025,0.114523626
PAO,g3,2025,0.110640605
PAO,g4,2025,0.111711322
PAS,g1,2025,0.012064817
PAS,g2,2025,0.020688383
PAS,g3,2025,0.014371103
PAS,g4,2025,0.014535348
SAS,g1,2025,-0.119301017
SAS,g2,2025,-0.140336232
SAS,g3,2025,-0.147867825
SAS,g4,2025,-0.139940273
WEU,g1,2025,0.178217434
WEU,g2,2025,0.176690711
WEU,g3,2025,0.103498026
WEU,g4,2025,0.164768703
