region_gea,hh_group,year,d_beh
AFR,g1,2020,-0.106293466
AFR,g2,2020,-0.195611165
AFR,g3,2020,-0.199392076
AFR,g4,2020,-0.199752606
CPA,g1,2020,0.031998632
CPA,g2,2020,0.018740378
CPA,g3,2020,0.006503258
CPA,g4,2020,-0.004254427
EEU,g1,2020,0.088919602
EEU,g2,2020,0.087675178
EEU,g3,2020,0.06273452
EEU,g4,2020,0.076346285
FSU,g1,2020,0.00122578
FSU,g2,2020,-0.001329707
FSU,g3,2020,-0.022013045
FSU,g4,2020,-0.011715844
LAC,g1,2020,-0.174662036
LAC,g2,2020,-0.322166579
LAC,g3,2020,-0.359160595
LAC,g4,2020,-0.334534946
MEA,g1,2020,-0.092376511
MEA,g2,2020,-0.318183392
MEA,g3,2020,-0.349160861
MEA,g4,2020,-0.343004271
NAM,g1,2020,0.135426444
NAM,g2,2020,0.130204931
NAM,g3,2020,0.073194216
NAM,g4,2020,0.090706838
PAO,g1,2020,0.084701218
PAO,g2,2020,0.070483241
PAO,g3,2020,0.053400524
PAO,g4,2020,0.056418199
PAS,g1,2020,0.03685436
PAS,g2,2020,0.033356257
PAS,g3,2020,-0.012440334
PAS,g4,2020,-0.012316675
SAS,g1,2020,-0.146808188
SAS,g2,2020,-0.162572159
SAS,g3,2020,-0.187678852
SAS,g4,2020,-0.179979297
WEU,g1,2020,0.169402973
WEU,g2,2020,0.169355106
WEU,g3,2020,0.120527542
WEU,g4,2020,0.162795858
